Crack_length,Load,u,Specimen_name
65.72408,122.796084,12.072012,
65.72408,123.357071,12.076552,
65.72408,123.19178,12.090253,
65.72408,122.154956,12.12268,
65.72408,123.301974,12.128476,
65.72408,123.161727,12.135002,
65.72408,123.422186,12.145217,
65.72408,123.211816,12.153364,
65.96841,122.455485,12.208328,
65.96841,122.791075,12.190169,
65.96841,122.445467,12.193777,
65.96841,122.585714,12.231109,
65.96841,122.069806,12.230501,
65.96841,121.819365,12.241039,
66.21274,121.899506,12.249835,
66.21274,122.720952,12.259847,
66.21274,121.75926,12.270994,
66.21274,122.0097,12.301557,
66.21274,122.139929,12.308812,
66.21274,122.360317,12.313028,
66.21274,122.109877,12.33289,
66.21274,121.999683,12.344361,
66.21274,121.649066,12.365114,
66.45706,121.699154,12.368316,
66.45706,122.485538,12.381166,
66.45706,120.972876,12.39973,
66.45706,122.18,12.412255,
66.45706,121.854427,12.424902,
66.45706,121.383598,12.442615,
66.45706,121.829383,12.453803,
66.70139,121.879471,12.46572,
66.70139,121.473757,12.47861,
66.70139,121.964621,12.491256,
66.70139,121.298449,12.51051,
66.70139,121.478766,12.517441,
66.70139,121.488784,12.530898,
66.94572,120.967867,12.552341,
66.94572,121.50381,12.555543,
66.94572,120.842647,12.576134,
67.19005,121.03799,12.58947,
67.19005,120.862682,12.599847,
67.19005,120.5321,12.615493,
67.19005,120.311712,12.623884,
67.19005,120.146421,12.636814,
67.43437,119.565399,12.660162,
67.43437,119.52032,12.670538,
67.43437,120.036228,12.677024,
67.43437,119.360038,12.693116,
67.43437,119.164694,12.702398,
67.6787,118.533583,12.716869,
67.6787,117.516794,12.737217,
67.92303,118.16794,12.734582,
67.92303,118.087799,12.755619,
67.92303,116.860639,12.769725,
67.92303,117.091045,12.785007,
68.16736,116.655278,12.813826,
68.16736,117.296406,12.800207,
68.16736,116.830587,12.81338,
68.16736,115.42311,12.862548,
68.16736,115.863885,12.852253,
68.16736,116.104309,12.854725,
68.41168,116.424873,12.872317,
68.41168,116.454926,12.882775,
