N_cycles,Load,exx,eyy,Specimen_name
3000,208.872916,0.002941,-0.000546141,
3000,403.639545,0.00475397,-0.000931833,
3500,570.622463,0.00606686,-0.00137543,
3500,654.630804,0.00669866,-0.00149237,
3500,639.183546,0.00634319,-0.00143016,
3500,516.001601,0.00502467,-0.0010843,
3500,317.187152,0.00323422,-0.000548071,
3500,156.58995,0.0018627,-0.000335298,
3500,76.822682,0.0012927,-0.000203951,
3500,85.005179,0.00158965,-0.000271712,
3500,211.529571,0.00298481,-0.000555578,
3500,403.301425,0.00478855,-0.000939964,
4000,570.255361,0.00608229,-0.00138423,
4000,655.326366,0.00671425,-0.00148734,
4000,637.251431,0.00635304,-0.00142699,
4000,519.247552,0.00504332,-0.00108456,
4000,314.395249,0.00323938,-0.000551857,
4000,157.700915,0.00190469,-0.000339758,
4000,76.320332,0.00130634,-0.000199904,
4000,84.17437,0.00160211,-0.000274217,
4000,215.268209,0.00304178,-0.000563864,
4000,404.769831,0.00480487,-0.000935872,
4500,572.235778,0.00611536,-0.00138573,
4500,656.543598,0.00674799,-0.00148412,
4500,637.763441,0.00637582,-0.00145185,
4500,514.484891,0.00505151,-0.00109025,
4500,312.598384,0.00324667,-0.000560687,
4500,156.406399,0.00191536,-0.000336413,
4500,75.576469,0.00133286,-0.000192855,
4500,85.864969,0.00164543,-0.000282281,
4500,214.42774,0.0030678,-0.000559119,
4500,405.900117,0.00484133,-0.000947416,
5000,573.926378,0.00615503,-0.00138878,
5000,656.021927,0.00676962,-0.00149225,
5000,637.840726,0.00638318,-0.00145611,
5000,515.450948,0.00506255,-0.00109178,
5000,310.946427,0.00324794,-0.000560239,
5000,154.252094,0.00191843,-0.000333402,
5000,73.422163,0.00133855,-0.000199006,
5000,85.932593,0.00167497,-0.000281417,
5000,213.529307,0.00308669,-0.000570261,
5000,409.947894,0.00488054,-0.000957038,
5500,573.849094,0.00616158,-0.00139587,
5500,654.601823,0.00678171,-0.00149476,
5500,636.749081,0.00640386,-0.00145089,
5500,513.151733,0.00506448,-0.00108739,
5500,310.946427,0.00327106,-0.000551622,
5500,153.730423,0.00192816,-0.000335397,
5500,74.252972,0.00137026,-0.000204663,
5500,86.724759,0.00170417,-0.000289188,
5500,215.886485,0.00313001,-0.000571543,
5500,409.02048,0.00490258,-0.000971465,
6000,574.148572,0.00620281,-0.00139816,
