stress_ratio,cycles_to_failure,stress,stress_lowerbound,stress_upperbound
0.1000000,860000.0,12.79127,12.07062,13.41534
0.1000000,870000.0,12.78104,12.05985,13.40551
0.1000000,880000.0,12.77095,12.04921,13.39580
0.1000000,890000.0,12.76097,12.03871,13.38621
0.1000000,900000.0,12.75112,12.02832,13.37673
0.1000000,910000.0,12.74138,12.01806,13.36736
0.1000000,920000.0,12.73175,12.00792,13.35811
0.1000000,930000.0,12.72224,11.99790,13.34896
0.1000000,940000.0,12.71283,11.98799,13.33991
0.1000000,950000.0,12.70353,11.97819,13.33097
0.1000000,960000.0,12.69434,11.96851,13.32213
0.1000000,970000.0,12.68525,11.95893,13.31339
0.1000000,980000.0,12.67625,11.94945,13.30475
0.1000000,990000.0,12.66736,11.94008,13.29620
0.1000000,1000000.,12.65856,11.93081,13.28773
0.1000000,1010000.,12.64985,11.92164,13.27937
0.1000000,1020000.,12.64124,11.91256,13.27109
0.1000000,1030000.,12.63271,11.90358,13.26289
0.1000000,1040000.,12.62427,11.89470,13.25478
0.1000000,1050000.,12.61592,11.88590,13.24676
0.1000000,1060000.,12.60766,11.87719,13.23881
0.1000000,1070000.,12.59947,11.86857,13.23095
0.1000000,1080000.,12.59137,11.86003,13.22316
0.1000000,1090000.,12.58335,11.85158,13.21545
0.1000000,1100000.,12.57541,11.84321,13.20782
0.1000000,1110000.,12.56754,11.83493,13.20026
0.1000000,1120000.,12.55975,11.82672,13.19277
0.1000000,1130000.,12.55203,11.81859,13.18536
0.1000000,1140000.,12.54438,11.81054,13.17801
0.1000000,1150000.,12.53681,11.80256,13.17074
0.1000000,1160000.,12.52931,11.79465,13.16353
0.1000000,1170000.,12.52187,11.78682,13.15638
0.1000000,1180000.,12.51451,11.77906,13.14931
0.1000000,1190000.,12.50721,11.77137,13.14229
0.1000000,1200000.,12.49997,11.76375,13.13534
0.1000000,1210000.,12.49280,11.75620,13.12846
0.1000000,1220000.,12.48569,11.74871,13.12163
0.1000000,1230000.,12.47865,11.74129,13.11486
0.1000000,1240000.,12.47166,11.73393,13.10815
0.1000000,1250000.,12.46474,11.72664,13.10150
0.1000000,1260000.,12.45787,11.71941,13.09490
0.1000000,1270000.,12.45106,11.71223,13.08836
0.1000000,1280000.,12.44431,11.70512,13.08188
0.1000000,1290000.,12.43762,11.69807,13.07545
0.1000000,1300000.,12.43098,11.69108,13.06907
0.1000000,1310000.,12.42439,11.68414,13.06275
0.1000000,1320000.,12.41786,11.67726,13.05647
0.1000000,1330000.,12.41138,11.67044,13.05025
0.1000000,1340000.,12.40495,11.66367,13.04408
0.1000000,1350000.,12.39858,11.65696,13.03796
0.1000000,1360000.,12.39225,11.65030,13.03188
0.1000000,1370000.,12.38598,11.64368,13.02585
0.1000000,1380000.,12.37975,11.63712,13.01987
0.1000000,1390000.,12.37357,11.63062,13.01394
0.1000000,1400000.,12.36744,11.62416,13.00805
0.1000000,1410000.,12.36135,11.61775,13.00221
0.1000000,1420000.,12.35531,11.61139,12.99641
0.1000000,1430000.,12.34932,11.60508,12.99065
0.1000000,1440000.,12.34337,11.59881,12.98494
0.1000000,1450000.,12.33746,11.59260,12.97927
0.1000000,1460000.,12.33160,11.58642,12.97364
0.1000000,1470000.,12.32578,11.58029,12.96806
0.1000000,1480000.,12.32001,11.57421,12.96251
0.1000000,1490000.,12.31427,11.56817,12.95700
0.1000000,1500000.,12.30858,11.56217,12.95153
0.1000000,1510000.,12.30292,11.55622,12.94611
0.1000000,1520000.,12.29731,11.55031,12.94072
0.1000000,1530000.,12.29173,11.54444,12.93537
0.1000000,1540000.,12.28620,11.53861,12.93005
0.1000000,1550000.,12.28070,11.53282,12.92477
0.1000000,1560000.,12.27524,11.52707,12.91953
0.1000000,1570000.,12.26982,11.52136,12.91432
0.1000000,1580000.,12.26443,11.51569,12.90915
0.1000000,1590000.,12.25908,11.51006,12.90402
0.1000000,1600000.,12.25377,11.50446,12.89892
0.1000000,1610000.,12.24849,11.49890,12.89385
0.1000000,1620000.,12.24325,11.49338,12.88882
0.1000000,1630000.,12.23804,11.48790,12.88382
0.1000000,1640000.,12.23286,11.48245,12.87885
0.1000000,1650000.,12.22772,11.47704,12.87392
0.1000000,1660000.,12.22262,11.47166,12.86901
0.1000000,1670000.,12.21754,11.46632,12.86414
0.1000000,1680000.,12.21250,11.46101,12.85930
0.1000000,1690000.,12.20749,11.45574,12.85449
0.1000000,1700000.,12.20251,11.45049,12.84971
0.1000000,1710000.,12.19756,11.44528,12.84496
0.1000000,1720000.,12.19264,11.44011,12.84024
0.1000000,1730000.,12.18776,11.43496,12.83555
0.1000000,1740000.,12.18290,11.42985,12.83089
0.1000000,1750000.,12.17807,11.42477,12.82626
0.1000000,1760000.,12.17328,11.41972,12.82165
0.1000000,1770000.,12.16851,11.41470,12.81707
0.1000000,1780000.,12.16377,11.40971,12.81253
0.1000000,1790000.,12.15906,11.40475,12.80801
0.1000000,1800000.,12.15437,11.39982,12.80351
0.1000000,1810000.,12.14972,11.39492,12.79904
0.1000000,1820000.,12.14509,11.39005,12.79460
0.1000000,1830000.,12.14049,11.38521,12.79018
0.1000000,1840000.,12.13592,11.38039,12.78580
0.1000000,1850000.,12.13137,11.37560,12.78143
0.1000000,1860000.,12.12685,11.37084,12.77709
0.1000000,1870000.,12.12235,11.36611,12.77277
0.1000000,1880000.,12.11788,11.36141,12.76849
0.1000000,1890000.,12.11344,11.35673,12.76422
0.1000000,1900000.,12.10902,11.35208,12.75998
0.1000000,1910000.,12.10462,11.34745,12.75576
0.1000000,1920000.,12.10025,11.34285,12.75157
0.1000000,1930000.,12.09591,11.33828,12.74740
0.1000000,1940000.,12.09159,11.33373,12.74325
0.1000000,1950000.,12.08729,11.32921,12.73913
0.1000000,1960000.,12.08301,11.32471,12.73502
0.1000000,1970000.,12.07876,11.32023,12.73094
0.1000000,1980000.,12.07453,11.31578,12.72688
0.1000000,1990000.,12.07033,11.31136,12.72285
0.1000000,2000000.,12.06615,11.30696,12.71883
0.1000000,2000000.,12.06615,11.30696,12.71883
0.1000000,3000000.,11.73254,10.95608,12.39874
0.1000000,4000000.,11.50146,10.71332,12.17702
0.1000000,5000000.,11.32535,10.52851,12.00803
0.1000000,6000000.,11.18347,10.37975,11.87183
0.1000000,7000000.,11.06490,10.25554,11.75799
0.1000000,8000000.,10.96320,10.14908,11.66032
0.1000000,9000000.,10.87427,10.05606,11.57489
0.1000000,1.0000000E+07,10.79534,9.973536,11.49904
0.1000000,1.1000000E+07,10.72442,9.899443,11.43088
0.1000000,1.2000000E+07,10.66009,9.832262,11.36903
0.1000000,1.3000000E+07,10.60125,9.770848,11.31245
0.1000000,1.4000000E+07,10.54707,9.714317,11.26033
0.1000000,1.5000000E+07,10.49687,9.661970,11.21204
0.1000000,1.6000000E+07,10.45013,9.613250,11.16707
0.1000000,1.7000000E+07,10.40641,9.567699,11.12499
0.1000000,1.8000000E+07,10.36536,9.524944,11.08548
0.1000000,1.9000000E+07,10.32668,9.484670,11.04823
0.1000000,2.0000000E+07,10.29012,9.446616,11.01303
0.1000000,3.0000000E+07,10.00562,9.150946,10.73882
0.1000000,1.3000000E+08,9.040848,8.154975,9.805192
0.1000000,2.3000000E+08,8.691113,7.796822,9.464989
0.1000000,3.3000000E+08,8.476838,7.578235,9.256013
0.1000000,4.3000000E+08,8.323098,7.421813,9.105803
0.1000000,5.3000000E+08,8.203627,7.300503,8.988910
0.1000000,6.3000000E+08,8.106162,7.201702,8.893440
0.1000000,7.3000000E+08,8.024002,7.118531,8.812884
0.1000000,8.3000000E+08,7.953086,7.046827,8.743293
0.1000000,9.3000000E+08,7.890771,6.983887,8.682096
0.1000000,1.0300000E+09,7.835242,6.927855,8.627527
0.1000000,1.1300000E+09,7.785201,6.877404,8.578321
0.1000000,1.2300000E+09,7.739686,6.831552,8.533542
0.1000000,1.3300000E+09,7.697966,6.789552,8.492473
10.00000,1.000000,29.74553,27.93573,32.65248
10.00000,51.00000,25.86728,24.77672,27.45661
10.00000,101.0000,25.24684,24.24907,26.65985
10.00000,151.0000,24.88866,23.94002,26.20588
10.00000,201.0000,24.63700,23.72067,25.88986
10.00000,251.0000,24.44331,23.55043,25.64841
10.00000,301.0000,24.28605,23.41128,25.45358
10.00000,351.0000,24.15380,23.29355,25.29060
10.00000,401.0000,24.03978,23.19152,25.15076
10.00000,451.0000,23.93963,23.10146,25.02846
10.00000,501.0000,23.85036,23.02083,24.91989
10.00000,551.0000,23.76989,22.94785,24.82236
10.00000,601.0000,23.69664,22.88119,24.73388
10.00000,651.0000,23.62945,22.81982,24.65299
10.00000,701.0000,23.56741,22.76296,24.57851
10.00000,751.0000,23.50978,22.70999,24.50953
10.00000,801.0000,23.45601,22.66042,24.44533
10.00000,851.0000,23.40560,22.61383,24.38529
10.00000,901.0000,23.35817,22.56986,24.32895
10.00000,951.0000,23.31339,22.52825,24.27587
10.00000,1000.000,23.27180,22.48953,24.22671
10.00000,10000.00,21.44369,20.68648,22.18134
10.00000,20000.00,20.92203,20.13387,21.64163
10.00000,30000.00,20.62278,19.80998,21.34011
10.00000,40000.00,20.41306,19.58033,21.13198
10.00000,50000.00,20.25185,19.40246,20.97365
10.00000,60000.00,20.12109,19.25737,20.84619
10.00000,70000.00,20.01118,19.13491,20.73972
10.00000,80000.00,19.91647,19.02903,20.64841
