MD_N_cycles--1,MD_Load--1,MD_index--1,eyy--1,exx--1,exy--1
75000,138.907901,265,-0.000276845,0.000860556,6.66e-06
75000,308.231072,266,-0.000486808,0.00148836,4.61e-05
75000,514.920414,267,-0.00087233,0.00256569,7.42e-05
80000,730.291047,268,-0.00142731,0.00404415,0.000179133
80000,765.112426,269,-0.00164333,0.00465924,0.000194399
80000,664.594293,270,-0.00159992,0.00454554,0.000191577
80000,467.294722,271,-0.00130681,0.0036958,0.000144812
80000,262.844146,272,-0.00088877,0.0025287,9.82e-05
80000,110.142455,273,-0.000518187,0.00144336,5.85e-05
80000,80.169055,274,-0.000296124,0.00085643,2.42e-05
80000,374.12104,275,-0.000625805,0.00178551,7.08e-05
80000,579.070956,276,-0.000985591,0.00281263,0.000111537
85000,638.953396,277,-0.00116282,0.00331874,0.000142309
85000,754.804524,278,-0.00151279,0.00431309,0.000167155
85000,742.273982,279,-0.00164991,0.00469596,0.00019874
85000,600.669221,280,-0.00154379,0.00440022,0.000177866
85000,393.544973,281,-0.00116671,0.00330644,0.000138288
85000,198.72586,282,-0.000742006,0.00213492,8.98e-05
85000,85.43574,283,-0.000402327,0.00117037,2.84e-05
85000,99.142008,284,-0.000261439,0.000809143,2.38e-05
85000,234.143119,285,-0.000401448,0.00117576,3.14e-05
85000,441.943748,286,-0.000740418,0.0021517,7.97e-05
90000,693.391986,287,-0.00130016,0.00371354,0.000144058
90000,767.512234,288,-0.00159385,0.00454268,0.000181895
90000,714.36212,289,-0.0016609,0.00469575,0.000189325
90000,539.949271,290,-0.00142892,0.00406442,0.000167288
90000,330.972854,291,-0.00103574,0.00295139,0.000114919
90000,151.905502,292,-0.000624146,0.00179133,6.82e-05
90000,76.980053,293,-0.000343331,0.00100639,2.7e-05
90000,139.93869,294,-0.00029525,0.000872128,2.42e-05
90000,306.169494,295,-0.000515528,0.0014835,5.48e-05
90000,511.715303,296,-0.000895501,0.00255586,9.05e-05
95000,728.922029,297,-0.00144207,0.00404861,0.000174919
95000,764.983577,298,-0.00166552,0.00467287,0.000189579
95000,664.690929,299,-0.0016255,0.00456845,0.00019196
95000,474.687415,300,-0.00134202,0.00373098,0.000158371
95000,263.552814,301,-0.000911398,0.00255718,0.000100419
95000,111.962441,302,-0.000530143,0.00147025,5.92e-05
95000,82.552753,303,-0.000317587,0.000881413,2.89e-05
95000,180.13945,304,-0.000349056,0.000993726,3.76e-05
95000,372.896978,305,-0.000628417,0.00178178,7e-05
95000,576.783892,306,-0.00103348,0.00293822,0.000117052
100000,636.231467,307,-0.00117838,0.00332488,0.000130302
100000,753.483824,308,-0.00151575,0.00431612,0.000167493
100000,750.874637,309,-0.00166298,0.00471378,0.000183457
100000,605.033971,310,-0.00153194,0.00435963,0.00016485
100000,399.359268,311,-0.00117697,0.00334118,0.00013757
100000,199.643906,312,-0.000760954,0.00215893,7.08e-05
100000,90.702426,313,-0.000418603,0.00119723,2.11e-05
100000,99.383599,314,-0.000268625,0.000827645,6.56e-06
