MD_N_cycles--1,MD_Load--1,MD_index--1,eyy--1,exx--1,exy--1
1,359.303447,34,-0.00175028,0.0047804,-0.000136179
1,369.869035,35,-0.00181704,0.00492284,-0.000143541
1,375.941027,36,-0.00186106,0.00500408,-0.000129784
1,367.71082,37,-0.00186193,0.00498891,-0.00012624
1,355.905064,38,-0.00182944,0.00491309,-0.000125579
1,343.261792,39,-0.00176749,0.00476155,-0.000123669
1,337.882362,40,-0.00171381,0.00461619,-0.000114527
1,332.583462,41,-0.00167935,0.00452831,-0.000110028
1,331.246657,42,-0.00167991,0.0045268,-0.000104328
1,348.23857,43,-0.00171308,0.00461026,-0.000112971
1,359.851054,44,-0.0017711,0.00475932,-0.000122026
1,369.176474,45,-0.00181272,0.00489219,-0.000122454
1,370.223369,46,-0.00184047,0.00498705,-0.000120131
1,368.355064,47,-0.00183808,0.00499021,-0.000124213
1,358.981325,48,-0.00179593,0.00489548,-0.000121757
1,347.433266,49,-0.0017457,0.00474253,-0.000120346
1,336.690512,50,-0.00168366,0.00459815,-0.000115013
1,330.489672,51,-0.00165186,0.00451086,-0.000104504
1,333.968584,52,-0.00165097,0.00450948,-0.00010684
1,343.922141,53,-0.00167977,0.00459749,-0.000110326
1,361.88042,54,-0.00174033,0.00474429,-0.000124309
1,369.756293,55,-0.00179444,0.00489191,-0.000122476
1,370.38443,56,-0.00182153,0.00497916,-0.000121336
1,361.574404,57,-0.00181476,0.00497604,-0.000125416
1,355.631261,58,-0.00178782,0.00489657,-0.000124305
1,346.241417,59,-0.0017299,0.00473719,-0.000120756
1,335.46645,60,-0.00166289,0.00457804,-0.000114075
1,328.927382,61,-0.0016325,0.00448759,-0.000105386
1,331.552673,62,-0.00162903,0.0044891,-0.000108903
1,347.546009,63,-0.001666,0.00458005,-0.0001139
1,357.982748,64,-0.00171484,0.00473026,-0.000123826
1,366.116319,65,-0.00177687,0.00488144,-0.000123474
1,368.918776,66,-0.00180864,0.00497305,-0.000123363
1,369.321428,67,-0.00180898,0.00497718,-0.000127249
1,353.956229,68,-0.00177623,0.00488407,-0.00012917
1,339.911728,69,-0.00171222,0.00472034,-0.000120656
1,331.3594,70,-0.00165116,0.00456312,-0.000110318
1,327.155713,71,-0.00161734,0.00445899,-0.000101235
1,329.764898,72,-0.00160891,0.00445436,-9.93965e-05
1,343.052413,73,-0.00164232,0.0045479,-0.000114458
1,367.469229,74,-0.00177112,0.0048734,-0.000125597
1,371.109203,75,-0.00180524,0.00496933,-0.000123088
1,350.203512,76,-0.00176261,0.00487059,-0.000127157
1,339.798985,77,-0.00170088,0.00470159,-0.000117293
1,330.634626,78,-0.00163408,0.00453987,-0.000109028
1,325.512893,79,-0.00159781,0.00442828,-0.000101577
1,340.47544,80,-0.00162665,0.00452286,-0.000106401
1,357.676733,81,-0.00170395,0.00469982,-0.000118013
1,367.388699,82,-0.00175616,0.00485724,-0.000119731
1,368.467806,83,-0.00179738,0.00495726,-0.00012542
1,361.687147,84,-0.0017945,0.00495575,-0.000126647
1,349.88139,85,-0.00175759,0.00485753,-0.000126238
1,336.722724,86,-0.00169457,0.00468331,-0.000117276
1,328.218714,87,-0.00162133,0.00451494,-0.000101025
1,324.288831,88,-0.00159046,0.00440649,-9.79208e-05
1,329.748792,89,-0.00159137,0.00441113,-0.00010275
1,345.387794,90,-0.00162998,0.00452138,-0.000105258
1,357.789475,91,-0.00169361,0.0046813,-0.000117257
1,366.341804,92,-0.00176791,0.00487681,-0.000125995
1,372.719811,93,-0.0018027,0.00497683,-0.000122456
1,364.006422,94,-0.00180125,0.00497699,-0.000121242
1,351.379256,95,-0.00176596,0.00487885,-0.000123059
1,331.72984,96,-0.00168985,0.00467323,-0.000122544
1,327.171819,97,-0.0016191,0.00448411,-0.000103833
1,317.878612,98,-0.0015738,0.00437376,-0.000100404
1,325.545105,99,-0.00157269,0.00437466,-0.00010203
1,338.107847,100,-0.0016107,0.00448322,-0.000102876
1,349.784754,101,-0.0016792,0.00466855,-0.000117531
1,365.149954,102,-0.00175631,0.00485766,-0.000131867
10,362.895103,103,-0.00179037,0.00496797,-0.000127728
10,363.023951,104,-0.00178021,0.00495604,-0.000127156
10,341.409593,105,-0.00173026,0.00479348,-0.000125673
10,320.922661,106,-0.00163234,0.00454201,-0.000111759
10,302.98049,107,-0.00153658,0.0042864,-0.000100295
10,299.276092,108,-0.00148583,0.00414246,-9.75033e-05
10,307.53851,109,-0.00149225,0.00414726,-0.000100249
10,326.769167,110,-0.00154637,0.00430646,-0.000101107
10,345.307264,111,-0.00163807,0.00456578,-0.000115252
10,362.927315,112,-0.00172756,0.00480362,-0.00012564
25,377.293938,113,-0.00186426,0.00507751,-0.000116534
25,369.289216,114,-0.00186392,0.0050734,-0.000119784
25,341.087471,115,-0.00178782,0.00484248,-0.000114773
25,314.02926,116,-0.00164831,0.00448485,-9.22309e-05
25,288.629975,117,-0.00153059,0.00413906,-7.99638e-05
25,288.40449,118,-0.00145015,0.00394675,-8.59193e-05
25,295.974346,119,-0.0014611,0.00396065,-9.07865e-05
25,326.817486,120,-0.00155442,0.00420362,-8.36691e-05
25,350.106876,121,-0.00168831,0.00457157,-9.62326e-05
25,372.752023,122,-0.00181485,0.00490464,-0.00011617
50,389.437923,123,-0.00189116,0.00507775,-0.000113663
50,399.117677,124,-0.00198399,0.00534952,-0.000130043
50,383.575309,125,-0.00197651,0.00533648,-0.000130017
50,343.68055,126,-0.00185862,0.00497803,-0.000106217
50,300.226351,127,-0.00165569,0.00446087,-9.36803e-05
50,272.314519,128,-0.00147155,0.00396664,-8.4939e-05
