Machine_Time,Machine_Displacement,Machine_Load,MD_index--1,MD_Displacement--1,MD_Load--1,u--1,v--1,MD_index--2,MD_Displacement--2,MD_Load--2,u--2,v--2
0.05001216,0.000366174,0.000108419,0,-0.026348,-0.009384,0,0,0,-0.026348,-0.009384,0,0
0.10002432,0.000861188,-4.07E-05,1,-0.005456,-0.01436,0.00037217,-0.000592507,1,-0.005456,-0.01436,0.000574395,-0.000690365
0.15003648,0.001532507,-0.000467081,2,-0.050323,-0.00494,0.00108066,0.000413904,2,-0.050323,-0.00494,0.00104099,-0.000201317
0.20004864,0.002366571,-0.000357115,3,-0.032621,-0.009108,0.00138554,-0.000633097,3,-0.032621,-0.009108,0.00122231,-0.000719277
0.2500608,0.003078577,-0.000223144,4,-0.025285,-0.009746,-0.000875246,0.000804823,4,-0.025285,-0.009746,0.000439903,0.000459507
0.30007296,0.004007575,-0.000291321,5,0.004166,-0.013392,0.000808622,0.000342825,5,0.004166,-0.013392,-0.000324468,9.63E-05
0.35008512,0.004773828,4.30E-05,6,0.013415,-0.010352,0.000385905,-0.00623778,6,0.013415,-0.010352,0.000584377,-0.00754229
0.40009728,0.00572995,-0.000318943,7,0.024898,-0.002133,0.00233569,-0.0204385,7,0.024898,-0.002133,0.00020127,-0.0218593
0.45010944,0.006523327,-0.000471165,8,0.047384,0.014644,-6.38E-05,-0.0255445,8,0.047384,0.014644,-0.00130847,-0.0313255
0.5001216,0.007445544,-0.00016518,9,0.06094,0.045615,-0.000271807,-0.037374,9,0.06094,0.045615,-0.00148735,-0.0413609
0.55001088,0.008279609,-0.000187737,10,0.081513,0.085389,-0.0012756,-0.0460733,10,0.081513,0.085389,-0.00190025,-0.0499218
0.60002304,0.009181482,-0.000332314,11,0.066681,0.134816,-0.00265375,-0.054414,11,0.066681,0.134816,-0.00269087,-0.0573358
0.6500352,0.010022326,-0.000547971,12,0.112983,0.181086,-0.00265894,-0.0625375,12,0.112983,0.181086,-0.00238761,-0.0642312
0.70004736,0.010863171,-0.000448773,13,0.123349,0.232949,-0.00261226,-0.0694126,13,0.123349,0.232949,-0.0023623,-0.0695973
0.75005952,0.011765045,-0.000255619,14,0.14355,0.289553,-0.00186631,-0.077021,14,0.14355,0.289553,-0.00168567,-0.0755133
0.80007168,0.012565204,-0.000324372,15,0.157903,0.349336,-0.00305611,-0.0837097,15,0.157903,0.349336,-0.00206502,-0.0805775
0.85008384,0.013507764,-5.57E-05,16,0.172522,0.412107,-0.00391827,-0.0908943,16,0.172522,0.412107,-0.00267776,-0.086061
0.900096,0.014301142,-0.000206661,17,0.18007,0.486679,-0.00355916,-0.0985927,17,0.18007,0.486679,-0.00157645,-0.0921735
0.95010816,0.015250483,-0.000156941,18,0.2117,0.564111,-0.00421963,-0.108157,18,0.2117,0.564111,-0.00213103,-0.099346
1.00012032,0.015989611,-0.000185094,19,0.226904,0.64518,-0.00520132,-0.115591,19,0.226904,0.64518,-0.00284172,-0.10433
1.0500096,0.016932171,-0.000265214,20,0.23121,0.731032,-0.00618637,-0.125148,20,0.23121,0.731032,-0.00257226,-0.111741
1.10002176,0.017684864,-0.000342461,21,0.279904,0.817778,-0.00500571,-0.133348,21,0.279904,0.817778,-0.00172988,-0.117649
1.15003392,0.01860708,-0.000329116,22,0.276077,0.924894,-0.00542361,-0.142484,22,0.276077,0.924894,-0.00124318,-0.12504
1.20004608,0.019393677,-0.000261136,23,0.290004,1.035498,-0.00538211,-0.153742,23,0.290004,1.035498,-0.000632204,-0.134052
1.25005824,0.020275207,-0.00019514,24,0.307387,1.150546,-0.00763208,-0.160738,24,0.307387,1.150546,-0.00177706,-0.140308
1.3000704,0.02110249,-0.000107685,25,0.346938,1.264998,-0.00481898,-0.172107,25,0.346938,1.264998,0.000751725,-0.149652
1.35008256,0.021909431,7.67E-05,26,0.345556,1.388913,-0.0063811,-0.181384,26,0.345556,1.388913,0.000771584,-0.157274
1.40009472,0.022804523,0.000211228,27,0.360653,1.513275,-0.00516506,-0.188956,27,0.360653,1.513275,0.00201689,-0.163364
1.45010688,0.023584338,0.00064779,28,0.365278,1.641846,-0.0065684,-0.200168,28,0.365278,1.641846,0.00166051,-0.173031
