Machine_Time,Machine_Displacement,Machine_Load,MD_index--1,MD_Displacement--1,MD_Load--1,u--1,v--1,MD_index--2,MD_Displacement--2,MD_Load--2,u--2,v--2
0.05001216,0.000420422,0.000489018,0,-0.01662,-0.009926,0,0,0,-0.01662,-0.009926,0,0
0.10002432,0.000969684,0.00045856,1,-0.01747,-0.011574,-0.000823062,0.001676,1,-0.01747,-0.011574,0.000626808,0.00190591
0.15003648,0.001783404,0.000396207,2,-0.023265,-0.010011,0.00031734,-7.56E-05,2,-0.023265,-0.010011,-0.000895574,-6.00E-05
0.20004864,0.00249541,0.000356115,3,-0.017045,-0.010873,0.001758,0.00149704,3,-0.017045,-0.010873,1.52E-05,0.00124523
0.2500608,0.003295569,0.000347824,4,-0.016035,-0.010968,0.00233615,0.00251804,4,-0.016035,-0.010968,0.00343987,0.00489748
0.30007296,0.004156757,0.000691996,5,0.002996,-0.012159,0.00318487,-0.00915688,5,0.002996,-0.012159,-0.000684003,-0.0101275
0.35008512,0.00492301,0.000817338,6,0.031649,-0.005323,0.00351054,-0.0196942,6,0.031649,-0.005323,0.00648295,-0.0210465
0.40009728,0.005858789,0.000724467,7,0.020326,0.017461,0.00636868,-0.0361432,7,0.020326,0.017461,0.00450187,-0.0359945
0.45010944,0.006625043,0.000810758,8,0.053551,0.041819,0.00391134,-0.0423651,8,0.053551,0.041819,0.00404834,-0.0419721
0.5001216,0.007581165,0.000718414,9,0.070349,0.07599,0.00160137,-0.0497122,9,0.070349,0.07599,0.00538636,-0.0507298
0.55001088,0.008347418,0.000525696,10,0.08449,0.115605,0.00483153,-0.0569445,10,0.08449,0.115605,0.00447941,-0.0546936
0.60002304,0.009296759,0.000589251,11,0.111069,0.15759,0.000873674,-0.0657642,11,0.111069,0.15759,0.00295852,-0.0623846
0.6500352,0.010083356,0.000400441,12,0.099693,0.206316,0.00330679,-0.0724646,12,0.099693,0.206316,0.00595876,-0.06682
0.70004736,0.011019135,0.000558382,13,0.133981,0.251799,0.00166666,-0.0783356,13,0.133981,0.251799,0.00308215,-0.0756585
0.75005952,0.011805731,0.0005997,14,0.150461,0.301546,0.00270481,-0.0824092,14,0.150461,0.301546,0.00634962,-0.0766196
0.80007168,0.012700824,0.000423573,15,0.167418,0.355343,0.00235774,-0.0898501,15,0.167418,0.355343,0.00608825,-0.08311
0.85008384,0.013528107,0.000662417,16,0.193786,0.411405,0.00164209,-0.0956001,16,0.193786,0.411405,0.00617775,-0.0873579
0.900096,0.014368951,0.000783281,17,0.176243,0.480672,0.00261705,-0.101944,17,0.176243,0.480672,0.00773921,-0.0935832
0.95010816,0.015257264,0.000488881,18,0.215687,0.554617,0.00361574,-0.110825,18,0.215687,0.554617,0.00826157,-0.10148
1.00012032,0.016057422,0.000329714,19,0.235409,0.634994,0.00230282,-0.11835,19,0.235409,0.634994,0.00808087,-0.107915
1.0500096,0.016979638,0.000480415,20,0.250294,0.721272,0.00273856,-0.124158,20,0.250294,0.721272,0.00899657,-0.113093
1.10002176,0.017739112,0.000427362,21,0.272993,0.811484,0.00118574,-0.132522,21,0.272993,0.811484,0.00847003,-0.120337
1.15003392,0.01866811,0.000667677,22,0.292875,0.906916,0.000448979,-0.139772,22,0.292875,0.906916,0.00883866,-0.126481
1.20004608,0.019400457,0.000416099,23,0.297659,1.012034,0.000685492,-0.147392,23,0.297659,1.012034,0.00959182,-0.133357
1.25005824,0.020322675,0.001043856,24,0.319774,1.121181,0.0013283,-0.155041,24,0.319774,1.121181,0.0111821,-0.139374
1.3000704,0.021082148,0.001212748,25,0.340134,1.237887,0.00127405,-0.162431,25,0.340134,1.237887,0.0115344,-0.145712
1.35008256,0.021963678,0.001565128,26,0.345024,1.353573,0.0010724,-0.169931,26,0.345024,1.353573,0.0123284,-0.152376
1.40009472,0.022784179,0.002194306,27,0.367192,1.476499,0.000940025,-0.177195,27,0.367192,1.476499,0.0132525,-0.1587
1.45010688,0.023625024,0.002569442,28,0.387712,1.601998,0.000108388,-0.183401,28,0.387712,1.601998,0.0134331,-0.163702
1.50011904,0.024492994,0.002973599,29,0.40754,1.734599,-0.00114621,-0.191285,29,0.40754,1.734599,0.0133897,-0.17023
1.55000832,0.025279589,0.003326798,30,0.387127,1.878278,-0.00157271,-0.19883,30,0.387127,1.878278,0.014212,-0.177028
1.60002048,0.026201807,0.003879633,31,0.432206,2.013484,-0.00207761,-0.205151,31,0.432206,2.013484,0.0147827,-0.182933
1.65003264,0.026934156,0.0043553,32,0.449483,2.165,-0.00260025,-0.213692,32,0.449483,2.165,0.0154616,-0.191235
1.7000448,0.027883496,0.005283688,33,0.462401,2.322873,-0.00293235,-0.220204,33,0.462401,2.322873,0.0155632,-0.197567
1.75005696,0.028622625,0.005533821,34,0.483186,2.478513,-0.00438426,-0.227457,34,0.483186,2.478513,0.016288,-0.204152
1.80006912,0.029544843,0.006395769,35,0.501898,2.640841,-0.00355583,-0.233875,35,0.501898,2.640841,0.0184107,-0.211135
1.85008128,0.030304315,0.006538683,36,0.498602,2.809931,-0.00319525,-0.240948,36,0.498602,2.809931,0.0198544,-0.217886
1.90009344,0.031158721,0.00739155,37,0.534857,2.982285,-0.00384386,-0.245913,37,0.534857,2.982285,0.0200155,-0.223496
1.9501056,0.031992786,0.007784199,38,0.551549,3.158987,-0.00483404,-0.256075,38,0.551549,3.158987,0.0205155,-0.23317
2.00011776,0.032792944,0.008574108,39,0.584295,3.335721,-0.00545617,-0.261901,39,0.584295,3.335721,0.0209611,-0.238877
2.05000704,0.033694819,0.009199805,40,0.586156,3.515943,-0.00586848,-0.267889,40,0.586156,3.515943,0.0221571,-0.245264
2.1000192,0.034474634,0.009727461,41,0.567391,3.702107,-0.00824914,-0.275745,41,0.567391,3.702107,0.0210558,-0.253578
2.15003136,0.035403632,0.010613052,42,0.612576,3.887411,-0.00869448,-0.282301,42,0.612576,3.887411,0.0222164,-0.26052
2.20004352,0.036149543,0.011534384,43,0.633734,4.073948,-0.00954183,-0.29059,43,0.633734,4.073948,0.0221959,-0.268967
2.25005568,0.037085321,0.012169315,44,0.649097,4.262143,-0.00929236,-0.297657,44,0.649097,4.262143,0.0246411,-0.27549
2.30006784,0.037851576,0.012978018,45,0.673338,4.449849,-0.0129,-0.304994,45,0.673338,4.449849,0.0208962,-0.284298
2.35008,0.038739886,0.013729502,46,0.641282,4.650644,-0.0132742,-0.311701,46,0.641282,4.650644,0.0230425,-0.29103
2.40009216,0.039526485,0.014479673,47,0.704755,4.82573,-0.0133849,-0.319484,47,0.704755,4.82573,0.0239121,-0.299231
2.45010432,0.040360548,0.015282869,48,0.735641,5.014818,-0.0145198,-0.326268,48,0.735641,5.014818,0.0244657,-0.305692
2.50011648,0.041208174,0.01613201,49,0.737767,5.206023,-0.0146529,-0.334011,49,0.737767,5.206023,0.0249723,-0.313812
2.55000576,0.041947301,0.016905386,50,0.749143,5.393687,-0.0158514,-0.341236,50,0.749143,5.393687,0.0244848,-0.320905
2.60001792,0.042869519,0.017862225,51,0.763709,5.585295,-0.0164763,-0.346761,51,0.763709,5.585295,0.0259189,-0.326633
2.65003008,0.043608647,0.0189847,52,0.786195,5.780146,-0.017501,-0.354576,52,0.786195,5.780146,0.0269114,-0.335009
2.70004224,0.044551209,0.019845223,53,0.820908,5.972499,-0.017998,-0.362101,53,0.820908,5.972499,0.0268111,-0.342788
2.7500544,0.045324244,0.020787805,54,0.814529,6.17022,-0.0191045,-0.369969,54,0.814529,6.17022,0.0272372,-0.350442
2.80006656,0.046239678,0.021908171,55,0.835421,6.364338,-0.0200271,-0.37712,55,0.835421,6.364338,0.0277385,-0.35809
2.85007872,0.047012713,0.022752047,56,0.848392,6.559508,-0.0212641,-0.384992,56,0.848392,6.559508,0.0273385,-0.366264
2.90009088,0.047867119,0.023663897,57,0.870506,6.755093,-0.0219462,-0.391584,57,0.870506,6.755093,0.0279747,-0.373297
2.95010304,0.048694402,0.02507492,58,0.907346,6.958949,-0.0233847,-0.399313,58,0.907346,6.958949,0.0276091,-0.380907
3.0001152,0.049467437,0.025917169,59,0.915479,7.140755,-0.0241542,-0.406146,59,0.915479,7.140755,0.0281448,-0.388148
3.05000448,0.050362531,0.027180476,60,0.919413,7.335425,-0.0250381,-0.414006,60,0.919413,7.335425,0.0279238,-0.396249
3.10001664,0.051101658,0.028614467,61,0.935095,7.528469,-0.0256719,-0.420362,61,0.935095,7.528469,0.0285545,-0.403002
3.1500288,0.05203744,0.02974374,62,0.956465,7.721269,-0.0269376,-0.428014,62,0.956465,7.721269,0.0279504,-0.410906
3.20004096,0.052763008,0.030927062,63,0.940411,7.914578,-0.0271197,-0.43551,63,0.940411,7.914578,0.0290483,-0.418794
3.25005312,0.053685222,0.031947479,64,0.987457,8.106314,-0.0293103,-0.442454,64,0.987457,8.106314,0.0275871,-0.425971
3.30006528,0.054465041,0.033653494,65,1.003618,8.297859,-0.0283556,-0.450536,65,1.003618,8.297859,0.0284879,-0.434213
3.35007744,0.055353351,0.034478076,66,1.013771,8.488936,-0.0295663,-0.457561,66,1.013771,8.488936,0.029153,-0.44151
3.4000896,0.056173854,0.036070548,67,1.045773,8.674432,-0.0314272,-0.463966,67,1.045773,8.674432,0.0280899,-0.448453
3.45010176,0.05702148,0.037454545,68,1.011751,8.868613,-0.0308863,-0.471386,68,1.011751,8.868613,0.0293806,-0.455952
3.50011392,0.057875887,0.038699564,69,1.085483,9.038533,-0.0303841,-0.480327,69,1.085483,9.038533,0.0301961,-0.465157
3.5500032,0.058635358,0.040672194,70,1.086281,9.216841,-0.0317083,-0.487519,70,1.086281,9.216841,0.0295723,-0.472362
3.60001536,0.059557576,0.041696906,71,1.101112,9.393405,-0.0325445,-0.495638,71,1.101112,9.393405,0.0286673,-0.480719
3.65002752,0.060296703,0.043268133,72,1.117645,9.568163,-0.0338166,-0.504107,72,1.117645,9.568163,0.0278322,-0.489091
3.70003968,0.061232481,0.044802696,73,1.137633,9.743909,-0.0348019,-0.512946,73,1.137633,9.743909,0.0269911,-0.4972
3.75005184,0.061971612,0.046215735,74,1.150976,9.914083,-0.0353675,-0.520516,74,1.150976,9.914083,0.0277716,-0.504919
3.800064,0.06288705,0.047667928,75,1.165223,10.081547,-0.0352242,-0.528669,75,1.165223,10.081547,0.0275661,-0.512508
3.85007616,0.063646518,0.049348045,76,1.183191,10.244652,-0.0353124,-0.536161,76,1.183191,10.244652,0.0268817,-0.52041
3.90008832,0.064494148,0.050833102,77,1.201265,10.401962,-0.0355051,-0.545166,77,1.201265,10.401962,0.0267374,-0.529127
3.95010048,0.065334991,0.052198086,78,1.219764,10.557656,-0.0358586,-0.553918,78,1.219764,10.557656,0.0265086,-0.537978
4.00011264,0.066141933,0.054054175,79,1.238742,10.708481,-0.0356733,-0.561477,79,1.238742,10.708481,0.0265043,-0.546173
4.05000192,0.067023464,0.05548466,80,1.255488,10.854532,-0.0337926,-0.569018,80,1.255488,10.854532,0.0272443,-0.553233
4.10001408,0.067776151,0.057256054,81,1.269787,10.994565,-0.0342069,-0.577895,81,1.269787,10.994565,0.0277142,-0.5637
4.15002624,0.068705149,0.058897294,82,1.292699,11.126997,-0.0341092,-0.585854,82,1.292699,11.126997,0.0273034,-0.572035
4.2000384,0.069437496,0.060720433,83,1.290413,11.26029,-0.0361073,-0.594714,83,1.290413,11.26029,0.024006,-0.581979
4.25005056,0.070366494,0.06222726,84,1.294879,11.389606,-0.0352042,-0.602598,84,1.294879,11.389606,0.025106,-0.590941
4.30006272,0.071119189,0.063700944,85,1.414275,11.527301,-0.0353147,-0.611498,85,1.414275,11.527301,0.0242445,-0.600443
4.35007488,0.07202106,0.065224402,86,1.352769,11.636066,-0.03495,-0.621053,86,1.352769,11.636066,0.0241825,-0.609939
4.40008704,0.072828002,0.06715358,87,1.3659,11.748701,-0.0350089,-0.629927,87,1.3659,11.748701,0.0238407,-0.619601
4.4500992,0.073662065,0.068644069,88,1.386951,11.851225,-0.033889,-0.639878,88,1.386951,11.851225,0.0245704,-0.629905
