n_cycles,hysteresis_area,stiffness,creep
1,0.0116,,
2,0.00012,2.9677361762,0.491261453
3,0.00023,2.9917008132,0.4859674955
4,5e-05,2.9856591479,0.485378143
5,0.00037,2.989264038,0.4872165445
6,0.0012,2.9850860077,0.4863537765
7,0.00221,2.9924359372,0.4907913535
8,0.00308,2.9801627993,0.4921566725
9,0.00394,2.9860465932,0.4952922465
10,0.00396,2.9911465051,0.500018534
11,0.0046,2.9853868566,0.5017984655
12,0.00475,2.9889193205,0.5061153355
13,0.00622,2.9788573612,0.5110811615
14,0.00597,2.9799921997,0.5146052865
15,0.00711,2.9791090293,0.52138904
16,0.00763,2.9789018188,0.5266096265
17,0.00801,2.9736040501,0.530930236
18,0.00844,2.9730516533,0.537756452
19,0.0085,2.9738420466,0.5419246735
20,0.00945,2.9747426542,0.546932584
21,0.00974,2.9755932405,0.552858066
22,0.00909,2.9760930032,0.5571507065
23,0.00937,2.9741193329,0.561219058
24,0.00854,2.9775638725,0.562436122
25,0.00849,2.9825278709,0.56372807
26,0.00858,2.9765222676,0.5664437925
27,0.00948,2.9736815185,0.568497897
28,0.01001,2.9737646227,0.5720231565
29,0.00986,2.9754846397,0.573573634
30,0.01019,2.9739987308,0.576377279
31,0.01099,2.9716682998,0.579635438
32,0.01147,2.9711012342,0.58200433
33,0.01181,2.9715278217,0.5854606575
34,0.01165,2.9726108103,0.586666196
35,0.0118,2.9699961908,0.5891505865
36,0.0126,2.9726466619,0.591361866
37,0.01225,2.9661833579,0.5936257515
38,0.01238,2.9667424499,0.5970154015
39,0.01299,2.9670807275,0.59897716
40,0.01434,2.9646586916,0.602182743
41,0.01395,2.9653029513,0.6032265665
42,0.01424,2.9669695302,0.605077672
43,0.01351,2.9650819012,0.6060994925
44,0.01385,2.9627765482,0.608134651
45,0.01491,2.963797662,0.611101088
46,0.01421,2.9675267566,0.611783209
47,0.01455,2.9644707124,0.6129599785
48,0.01396,2.9619731296,0.6139304315
49,0.01405,2.9618609574,0.615172481
50,0.01415,2.9604852553,0.6170690175
51,0.01513,2.9621082128,0.6181318165
52,0.01448,2.9581693116,0.6192423605
53,0.01467,2.9610624869,0.620756284
54,0.01455,2.9581017717,0.621354586
55,0.02004,2.9423001984,0.623869928
56,0.01627,2.938564877,0.625941917
57,0.01557,2.9360605791,0.628076843
58,0.01552,2.9346643445,0.630047929
59,0.01612,2.9324531908,0.6305210265
60,0.01564,2.9330735976,0.632910436
61,0.01527,2.9342177073,0.633247924
62,0.0161,2.9309380873,0.634100259
63,0.0154,2.9332276501,0.635565826
64,0.0152,2.9332032661,0.636488199
65,0.01577,2.9320195428,0.6378297115
66,0.01613,2.9311419971,0.6386444145
67,0.01527,2.9268741932,0.638956204
68,0.01518,2.9307344583,0.641464081
69,0.01633,2.9283123795,0.640453043
70,0.01642,2.9283490941,0.6425898755
71,0.01558,2.931493856,0.6427209735
72,0.01621,2.9263688954,0.6428300985
73,0.01705,2.9293437575,0.6440490545
74,0.01605,2.9300740075,0.6434108945
75,0.01659,2.9280457725,0.6444875035
76,0.01707,2.93062602,0.645005668
77,0.01644,2.9284461852,0.645033244
78,0.01718,2.9289722116,0.6465524495
79,0.01733,2.9273636708,0.6460718725
80,0.01671,2.9282968663,0.6473321555
81,0.01678,2.9259316138,0.648053741
82,0.0159,2.9286439877,0.6471611415
83,0.01726,2.9280921464,0.6485544435
84,0.01635,2.9291115017,0.647740031
85,0.01661,2.9281194749,0.6484784245
86,0.01763,2.9271715212,0.6481252785
87,0.01783,2.9279176262,0.6485625925
88,0.01634,2.9294369406,0.6494786645
89,0.01781,2.928486144,0.6493639085
90,0.01719,2.9240757712,0.650790738
91,0.01705,2.9255448128,0.6503857585
92,0.01748,2.9239404188,0.6503052865
93,0.01647,2.9279050831,0.6511013925
94,0.01796,2.9267002046,0.650651753
95,0.01805,2.9253256382,0.6531462135
96,0.01747,2.9260917406,0.6516519935
97,0.01765,2.9262723582,0.651268696
98,0.0173,2.9252173203,0.652429124
99,0.01753,2.9257113438,0.652043891
100,1.70079,2.9266693233,0.6522558395
200,1.72566,2.9178603859,0.6615515595
300,1.83158,2.9158541748,0.6657943305
400,1.8298,2.9112060761,0.668502573
500,1.82741,2.9061935808,0.670708396
600,1.80211,2.9026227996,0.67332873
700,1.83767,2.9007731008,0.6752319605
800,1.8235,2.8953842861,0.677870601
900,1.7761,2.8915104468,0.6788149475
1000,17.54562,2.8895256404,0.6805948795
1916,0.01833,2.869611766,0.693568276
1917,0.01881,2.8676611463,0.6923433245
1918,0.01821,2.8689291599,0.693929585
1919,0.01893,2.8704315946,0.692138448
1920,0.01905,2.8669194514,0.6932661345
1921,0.01896,2.8686680316,0.693121925
1922,0.01928,2.8689797366,0.6914533735
1923,0.01968,2.8674575347,0.692122019
1924,0.01838,2.8703630648,0.691833295
1925,0.01913,2.8697552318,0.6927635695
1926,0.01883,2.870552238,0.6923857585
1927,0.01864,2.8660435127,0.6919670705
1928,0.01898,2.8694863821,0.6923656765
1929,0.0189,2.8700991632,0.691254085
1930,0.01914,2.8660764108,0.6926733915
1931,0.01913,2.8685618447,0.6922095925
1932,0.01911,2.8671627737,0.691596797
1933,0.01937,2.8695643722,0.693586495
1934,0.01991,2.8696146019,0.692084461
1935,0.0188,2.8690165052,0.692651389
1936,0.01979,2.8677971414,0.6924472835
1937,0.01847,2.8667023336,0.692101967
1938,0.01898,2.8705976501,0.693650538
1939,0.01906,2.867686657,0.692204354
1940,0.01861,2.8676914239,0.693221038
1941,0.01863,2.8690151818,0.6929353255
1942,0.01885,2.8662049874,0.6924089105
1943,0.01822,2.8702715405,0.6927150825
1944,0.01855,2.8697132634,0.692041984
1945,0.01934,2.8663626748,0.6937797735
1946,0.01861,2.86772655,0.6935041455
1947,0.01954,2.8660842791,0.691998386
1948,0.01875,2.8706824979,0.6928924415
1949,0.01921,2.8677791849,0.691724563
1950,0.01893,2.8679304543,0.6934184205
1951,0.01824,2.8696816025,0.694116214
1952,0.01852,2.8677826855,0.691884401
1953,0.0188,2.8678786732,0.69379693
1954,0.01841,2.8696091902,0.69278742
1955,0.01894,2.8674644042,0.69409718
1956,0.01897,2.8657289912,0.6932045945
1957,0.01874,2.8642596402,0.6920512535
1958,0.01848,2.8696347894,0.6942085895
1959,0.0188,2.867007552,0.6919462615
1960,0.01861,2.8672797571,0.693651295
1961,0.01892,2.8701475861,0.6924379705
1962,0.01839,2.8686854419,0.6918109865
1963,0.01817,2.8675161781,0.693892347
1964,0.01834,2.8677675169,0.6929646915
1965,0.01848,2.8682750594,0.6939385055
1966,0.01831,2.8673954981,0.6926655625
1967,0.01877,2.8662479744,0.692288959
1968,0.01899,2.8694131341,0.693218055
1969,0.01897,2.8680888357,0.693121154
1970,0.01906,2.8663477722,0.6937161235
1971,0.01901,2.8691768144,0.693012014
1972,0.01869,2.8679049081,0.6927270445
1973,0.01855,2.8701086927,0.694360904
1974,0.01893,2.8675009696,0.6937261495
1975,0.01889,2.8665508469,0.694220158
1976,0.01844,2.8676255442,0.693539143
1977,0.0192,2.8670353408,0.6921764435
