Crack_length,Load,u,Specimen_name
62.6666,672.299576,1.979558,DCB_DC_830_2
63.0629,682.745599,2.024472,
63.4591,691.780338,2.071237,
63.8554,701.995348,2.123244,
64.2516,709.463395,2.163914,
64.6479,721.476114,2.252369,
65.0441,723.223418,2.283702,
65.4404,729.002964,2.332032,
65.8367,743.355225,2.407769,
66.2329,755.745969,2.489163,
66.6292,760.492254,2.527346,
67.0254,769.379988,2.591911,
67.4217,782.883801,2.674851,
67.8179,792.015152,2.728258,
68.2142,800.138442,2.781539,
68.6104,808.324736,2.858598,
69.0067,813.633857,2.914672,
69.403,817.6577,2.958423,
69.7992,827.847517,3.030479,
70.1955,831.392532,3.09257,
70.5917,833.589265,3.116985,
70.988,841.611751,3.184895,
71.3842,846.076622,3.241638,
71.7805,850.743105,3.304495,
72.1767,854.850955,3.367651,
72.573,860.588503,3.436292,
72.9693,861.369751,3.467793,
73.3655,862.003989,3.513623,
73.7618,865.901826,3.584688,
74.158,867.392917,3.622889,
74.5543,867.086298,3.656152,
74.9505,868.144763,3.689448,
75.3468,867.863346,3.734976,
75.743,868.09856,3.782085,
76.1393,867.28371,3.822314,
76.53555,864.036913,3.851155,
76.9318,860.949725,3.878884,
77.32806,859.21922,3.91337,
77.72431,858.979805,3.960454,
78.12057,859.593043,4.013735,
78.51682,860.118075,4.086291,
78.91308,859.147816,4.121049,
79.30933,855.056767,4.181548,
79.70559,850.197072,4.229136,
80.10184,848.004539,4.262903,
80.4981,845.845608,4.298303,
80.89435,843.808484,4.33298,
81.29061,841.09932,4.360894,
81.68687,840.956511,4.395576,
82.08312,835.781798,4.437276,
82.47938,833.438056,4.491897,
82.87563,831.018709,4.534128,
83.27189,828.179337,4.581909,
83.66814,826.646244,4.617158,
84.0644,824.449511,4.631046,
84.46065,821.803351,4.645412,
84.85691,817.355282,4.694937,
85.25316,813.499449,4.763482,
85.64942,812.386382,4.824868,
86.04567,811.348919,4.906691,
86.44193,810.487867,4.960753,
86.83818,808.866569,5.022446,
87.23444,804.376498,5.070517,
87.63069,801.734538,5.09187,
88.02695,795.950789,5.134573,
88.4232,792.590586,5.184186,
88.81946,790.582865,5.204913,
89.21571,789.784817,5.239575,
89.61197,784.278285,5.281768,
90.00822,772.971204,5.324869,
90.40448,768.518937,5.34803,
90.80073,761.811133,5.383446,
91.19699,755.548557,5.432963,
91.59325,748.748348,5.494948,
91.9895,747.034646,5.531159,
92.38576,745.266339,5.592733,
92.78201,742.43537,5.680199,
93.17827,742.77139,5.748992,
93.57452,737.806692,5.853654,
93.97078,736.61382,5.893954,
94.36703,735.143732,5.921748,
94.76329,732.157353,5.957371,
95.15954,730.494054,6.019093,
95.5558,728.893758,6.066817,
95.95205,725.063128,6.134623,
96.3483,722.668985,6.176327,
96.7446,718.271322,6.219114,
97.1408,714.22648,6.247134,
97.5371,711.004887,6.302887,
97.9333,706.968446,6.352407,
98.3296,706.346808,6.400341,
98.7258,704.019869,6.489739,
99.1221,703.125216,6.530595,
99.5183,702.201161,6.578682,
99.9146,699.912024,6.674092,
100.3109,700.697471,6.722283,
100.7071,698.521741,6.824052,
101.1034,694.334091,6.878333,
101.4996,693.334431,6.968839,
101.8959,692.670791,7.057424,
102.2921,690.196844,7.111353,
102.6884,689.150981,7.145954,
103.0846,688.151322,7.167168,
103.4809,685.143942,7.223199,
103.8772,682.186966,7.264608,
104.2734,679.301394,7.32718,
104.6697,677.449083,7.375238,
105.0659,676.966055,7.416748,
105.4622,674.924733,7.485251,
105.8584,671.064703,7.554391,
106.2547,668.053123,7.59678,
106.6509,662.991822,7.678996,
107.0472,661.95436,7.748232,
107.4435,661.462931,7.829264,
107.8397,660.551477,7.923406,
108.236,656.708248,7.992275,
108.6322,654.855938,8.020451,
109.0285,651.155518,8.055425,
109.4247,648.219543,8.091586,
109.821,644.456119,8.147709,
110.2172,643.137241,8.194991,
110.6135,639.949251,8.257671,
111.0097,638.138944,8.319993,
111.406,636.345437,8.396044,
111.8023,633.842089,8.477111,
112.1985,631.023721,8.539935,
112.5948,630.179471,8.574256,
112.991,628.587577,8.602323,
113.3873,623.324664,8.637757,
113.7835,622.127593,8.666301,
114.1798,619.762853,8.695195,
114.576,617.01589,8.71086,
114.9723,614.100917,8.738857,
115.3686,610.719716,8.781384,
115.7648,609.081619,8.843486,
116.1611,606.532068,8.912732,
116.5573,606.191848,8.960308,
116.9536,605.570211,9.014942,
117.3498,603.478487,9.090946,
117.7461,602.571234,9.165504,
118.1423,600.975139,9.213546,
118.5386,598.488592,9.217892,
118.9349,595.733229,9.222724,
