eyy,exx,Load,Specimen_name
-0.00503227,0.0141348,901.732683,
-0.00506284,0.0142337,903.067601,
-0.00509086,0.0143307,907.933026,
-0.00511693,0.014429,910.418432,
-0.00516268,0.0145205,913.184874,
-0.00517384,0.0146098,916.732946,
-0.00522057,0.0146993,921.686195,
-0.00524726,0.0147946,922.678601,
-0.00527619,0.0148886,923.662225,
-0.00530342,0.014988,930.494898,
-0.00533207,0.0150929,930.828628,
-0.00537797,0.0151825,934.657735,
-0.0053945,0.0152781,935.167112,
-0.00542694,0.0153693,939.602202,
-0.0054614,0.0154727,941.964657,
-0.00549678,0.015568,945.846459,
-0.00553345,0.0156824,945.222911,
-0.00555625,0.0157843,949.438443,
-0.00559226,0.0158872,951.572556,
-0.00562156,0.0159816,954.576123,
-0.0056454,0.0160777,956.473112,
-0.00569106,0.0161846,957.553342,
-0.00571385,0.0162878,963.964464,
-0.00575866,0.0163907,963.630735,
-0.00579224,0.0165033,965.158865,
-0.00581865,0.0165963,969.699345,
-0.00585791,0.0166888,971.490946,
-0.00588666,0.0167901,973.414283,
-0.0059115,0.0168922,974.810678,
-0.00594191,0.0170023,977.076527,
-0.00598445,0.0171042,979.5795,
-0.00601502,0.0171995,980.931983,
