Machine_Displacement,Machine_Load,Th_chamber
0.003902,12.765147,20
0.005706,10.027115,20
0.005835,10.300919,20
0.011569,11.202858,20
0.011311,11.959844,20
0.005191,15.825301,20
0.020459,20.769864,20
0.026773,21.768441,20
0.025033,22.928078,20
0.028383,30.079173,20
0.023423,32.189068,20
0.037081,34.298964,20
0.038047,38.132209,20
0.05164,44.445788,20
0.046422,45.170562,20
0.056794,51.53246,20
0.061046,53.78731,20
0.060402,58.45807,20
0.07071,60.986724,20
0.076701,67.010394,20
0.073931,68.21835,20
0.073674,71.713367,20
0.098155,78.67119,20
0.09532,83.55133,20
0.089457,82.874875,20
0.097575,89.478364,20
0.108914,93.698155,20
0.109107,97.160961,20
0.118062,99.898993,20
0.120059,104.038254,20
0.112843,107.790968,20
0.120639,110.174667,20
0.134877,112.510048,20
0.124633,117.438506,20
0.141834,123.12395,20
0.133846,122.205903,20
0.138678,123.526601,20
0.154848,128.068514,20
0.141899,132.191669,20
0.158585,136.250399,20
0.153753,137.361718,20
0.157747,140.92116,20
0.176946,147.283059,20
0.161613,145.914043,20
0.175593,148.861454,20
0.167089,153.983186,20
0.164254,153.918761,20
0.176817,159.620311,20
0.179394,160.973222,20
0.185321,162.535511,20
0.188606,168.059894,20
0.182035,166.239908,20
0.194405,168.333697,20
0.200396,172.183049,20
0.195307,176.918235,20
0.196402,178.351675,20
0.204648,180.880329,20
0.207161,183.714998,20
0.20774,185.518878,20
0.195564,186.404712,20
0.216953,189.996367,20
0.222171,189.030003,20
0.209738,193.459173,20
0.216631,197.61454,20
0.215214,197.131358,20
0.219144,200.336467,20
0.223396,203.364409,20
0.235185,210.402764,20
0.228292,207.825792,20
0.238664,212.915311,20
0.239373,211.578507,20
0.229516,217.038467,20
0.236731,215.749981,20
0.239051,219.921454,20
0.249938,222.385684,20
0.253868,224.640534,20
0.252451,227.136976,20
0.249681,231.566147,20
0.263532,233.418345,20
0.265593,234.416922,20
0.260246,235.190014,20
0.25535,238.556183,20
0.255865,238.217956,20
0.258442,243.484643,20
0.259538,247.752753,20
0.273582,249.218406,20
0.272938,253.422091,20
0.276739,259.188067,20
0.271327,256.047382,20
0.280798,261.410705,20
0.290783,256.208443,20
0.294133,266.11368,20
0.301285,267.531014,20
0.30515,262.666979,20
0.294327,272.990974,20
0.296002,269.18994,20
0.29568,272.298413,20
0.307469,279.723315,20
0.309466,281.849317,20
0.302315,279.964906,20
0.321771,283.878682,20
0.313654,289.741295,20
0.309209,287.711929,20
0.313783,290.546598,20
0.317197,294.122148,20
0.33092,295.42674,20
0.333046,301.62758,20
0.323704,305.042068,20
0.324799,301.643686,20
0.339037,303.157657,20
0.34709,307.361343,20
0.339424,312.289803,20
0.344513,313.046789,20
0.33588,315.67208,20
0.356496,318.66781,20
0.347283,323.902285,20
0.356561,323.870073,20
0.356689,322.195041,20
0.375952,324.933074,20
0.367835,325.496787,20
0.366353,328.315351,20
0.364871,335.611405,20
0.375244,340.39491,20
0.371571,337.962892,20
0.372344,335.91742,20
0.380591,341.393487,20
0.378336,347.014508,20
0.385745,349.784754,20
0.374406,349.945815,20
0.392252,357.998854,20
0.385036,357.177444,20
0.399338,359.255129,20
0.405008,358.465931,20
0.382588,361.864314,20
0.383103,366.986047,20
0.409066,368.90267,20
0.414736,369.418065,20
0.406425,370.09452,20
0.404428,372.462114,20
0.415509,381.851959,20
0.412932,381.127185,20
0.414929,383.446461,20
0.414607,385.105387,20
0.434643,389.180225,20
0.42266,390.130484,20
0.43213,391.435077,20
0.438895,390.742515,20
0.435029,397.941933,20
0.448494,398.666707,20
0.438895,407.637794,20
0.445917,405.737276,20
0.45455,407.476733,20
0.444564,412.115284,20
0.450491,414.43456,20
0.441214,412.034754,20
0.471365,422.117161,20
0.468143,421.005841,20
0.465889,422.390964,20
0.455452,424.661922,20
0.463956,429.252155,20
0.465889,427.416062,20
0.463763,432.795493,20
0.463569,436.322725,20
0.4847,437.868909,20
0.478258,440.880747,20
0.481737,440.300928,20
0.479547,446.099117,20
0.478967,447.613089,20
0.488308,453.813931,20
0.494879,450.351123,20
0.500291,451.220852,20
0.499067,457.614966,20
0.509311,451.784564,20
0.515044,460.884501,20
0.518137,465.780751,20
0.526383,464.347309,20
0.539139,463.976869,20
0.520263,471.78832,20
0.53959,469.630105,20
0.509053,481.709667,20
0.52677,479.438709,20
0.518781,486.05831,20
0.527349,485.172475,20
0.527478,486.380432,20
0.542167,485.2369,20
0.537786,491.985349,20
0.544357,494.932762,20
0.555567,489.617755,20
0.529733,500.666528,20
0.565102,494.44958,20
0.529926,503.485093,20
0.561365,506.142597,20
0.550349,510.700619,20
0.556534,510.088588,20
0.558531,513.599715,20
0.553312,513.90573,20
0.56813,518.447646,20
0.575474,515.918991,20
0.580371,525.196096,20
0.572446,526.436265,20
0.583141,529.576951,20
0.573348,532.476047,20
0.577343,533.684003,20
0.597121,537.6461,20
0.586491,537.27566,20
0.597636,541.318288,20
0.596026,548.066738,20
0.6006,543.975792,20
0.586298,549.757877,20
0.598925,550.418227,20
0.612325,552.785822,20
0.603628,557.923663,20
0.614709,559.95303,20
0.600342,559.808076,20
0.624566,562.562216,20
0.604401,569.294561,20
0.637644,564.849281,20
0.628238,571.066231,20
0.622697,575.624253,20
0.644215,574.754525,20
0.619863,574.335766,20
0.645375,581.5674,20
0.622311,589.797611,20
0.637257,587.446122,20
0.659548,589.604338,20
0.652139,589.298322,20
0.643957,599.251885,20
0.66496,592.825555,20
0.662254,595.40253,20
0.65317,601.587268,20
0.679133,603.922651,20
0.664251,605.468835,20
0.666377,607.562627,20
0.657486,611.138179,20
0.677844,611.927377,20
0.669212,621.671561,20
0.662318,620.47971,20
0.681001,626.116842,20
0.683127,621.768198,20
0.683321,628.130103,20
0.6772,630.352743,20
0.696141,629.450802,20
0.68506,633.815553,20
0.728289,632.011671,20
0.717014,640.934445,20
0.701102,640.241883,20
0.706513,640.612323,20
0.72758,647.779533,20
0.719785,644.075133,20
0.734473,649.696158,20
0.704065,662.033424,20
0.728289,656.976111,20
0.7337,659.392025,20
0.721266,661.550241,20
0.73763,666.575342,20
0.715533,666.011629,20
