Machine_Displacement,Machine_Load,u--1,v--1,exx--1,eyy--1,exy--1,Th_chamber
0.288722,196.293842,0.0174952,-0.14759,-0.00109121,0.00252038,-2.62e-05,50
0.290526,198.532587,0.0132929,-0.149713,-0.00117151,0.00255195,-3.58e-05,50
0.296002,202.494681,0.0129151,-0.151718,-0.00119355,0.00259721,-1.53e-05,50
0.297999,203.589894,0.0152046,-0.153996,-0.00119407,0.00265461,2.58e-05,50
0.316553,203.187242,0.0163325,-0.156547,-0.001182,0.00271268,3.35e-05,50
0.315651,209.726309,0.0178954,-0.158954,-0.00111501,0.00276775,3.46e-05,50
0.306696,210.708779,0.0192142,-0.161201,-0.0010885,0.00282129,6.02e-05,50
0.325701,211.288598,0.0224796,-0.163565,-0.00108745,0.00285783,6.93e-05,50
0.31694,215.766087,0.0216805,-0.166049,-0.00102479,0.00289575,5.49e-05,50
0.330082,218.117574,0.0172798,-0.168449,-0.0010623,0.00294268,8.41e-05,50
0.338457,221.016667,0.0157729,-0.170718,-0.00104698,0.00298264,6.41e-05,50
0.334141,226.29946,0.0157719,-0.173033,-0.00109943,0.00302299,5.57e-05,50
0.339102,228.586523,0.0144773,-0.175516,-0.00115231,0.00306468,3.93e-05,50
0.349732,227.732901,0.0139305,-0.177752,-0.00116028,0.00309455,3.67e-05,50
0.347928,230.986328,0.0153519,-0.180097,-0.00124149,0.0031405,1.77e-05,50
0.363325,229.37572,0.0199643,-0.182338,-0.00121494,0.00317264,2.9e-05,50
0.366417,236.526818,0.0229189,-0.184231,-0.00128501,0.00320977,6.08e-05,50
0.352695,242.759869,0.0210338,-0.186908,-0.00133191,0.00327252,0.000103067,50
0.378529,240.875458,0.0201503,-0.18925,-0.00134655,0.00331925,0.000113216,50
0.381106,242.727657,0.0205618,-0.191492,-0.00136153,0.003353,0.000116194,50
0.370476,246.979661,0.0185614,-0.193761,-0.00139055,0.00340363,0.000114756,50
0.384521,251.569893,0.0149851,-0.19597,-0.00143803,0.00344478,9.7e-05,50
0.392187,252.342984,0.0129612,-0.198387,-0.00141787,0.00348226,0.000121243,50
0.399854,252.922803,0.0149444,-0.200686,-0.00147461,0.00351865,0.000112217,50
0.409002,253.808637,0.0180366,-0.202981,-0.0014913,0.00356344,0.000120685,50
0.397341,261.491236,0.0176837,-0.205359,-0.00153411,0.0036047,0.000114046,50
0.410226,258.318339,0.0189248,-0.207837,-0.00151157,0.0036401,0.000108138,50
0.411772,262.940783,0.0219075,-0.210152,-0.00164344,0.00367253,0.000111223,50
0.416862,265.711028,0.0227759,-0.212272,-0.00165757,0.00371671,0.000121321,50
0.422595,267.998091,0.019939,-0.214504,-0.00158443,0.0037555,0.000125021,50
0.416024,271.154882,0.0169386,-0.216812,-0.0016595,0.00379894,0.000121874,50
