Machine_Displacement,Machine_Load,Th_chamber
0.022392,56.428705,20
0.031927,59.585495,20
0.042428,67.074819,20
0.054024,72.405928,20
0.053895,78.928887,20
0.047904,87.046347,20
0.054862,90.170925,20
0.05731,98.88431,20
0.064719,96.613354,20
0.065685,106.905134,20
0.075606,109.111666,20
0.075993,116.133914,20
0.07348,123.961465,20
0.101956,124.219163,20
0.091004,131.708486,20
0.10041,141.500979,20
0.093323,143.643087,20
0.117418,146.719347,20
0.106208,152.759124,20
0.120768,160.989328,20
0.128241,161.730207,20
0.13842,163.662936,20
0.129916,174.454005,20
0.138678,176.837704,20
0.1524,177.610796,20
0.16419,189.851412,20
0.15633,188.820624,20
0.166638,193.894037,20
0.171598,197.952768,20
0.172694,204.975016,20
0.155814,214.864146,20
0.181906,212.093902,20
0.159036,224.157352,20
0.178234,224.624428,20
0.201427,227.2014,20
0.19041,240.247321,20
0.218048,232.919057,20
0.199236,250.941756,20
0.183903,249.347254,20
0.214956,257.496929,20
0.204584,261.362387,20
0.205614,265.582179,20
0.240275,265.147315,20
0.220174,277.355721,20
0.24472,273.135929,20
0.24021,287.615292,20
0.250003,290.514386,20
0.252773,290.997569,20
0.264627,295.79718,20
0.267784,299.324411,20
0.270103,307.812314,20
0.242143,320.294524,20
0.275257,314.335275,20
0.288915,320.407266,20
0.271714,330.699051,20
0.280926,336.706618,20
0.299159,337.141482,20
0.297226,346.88566,20
0.30631,344.324793,20
0.296646,354.56826,20
0.299223,359.625568,20
0.328021,358.208233,20
0.340261,365.98747,20
0.306567,376.87518,20
0.327505,379.581001,20
0.320354,387.778996,20
0.341679,383.059915,20
0.324799,398.360691,20
0.366482,394.946202,20
0.373762,396.733977,20
0.358493,404.013926,20
0.362874,411.938118,20
0.336202,421.553448,20
0.387871,420.055583,20
0.377627,423.389541,20
0.360426,438.915804,20
0.380655,439.334563,20
0.406296,436.709271,20
0.402559,448.498924,20
0.390512,457.743815,20
0.431873,453.846143,20
0.428651,460.27247,20
0.428394,464.830492,20
0.430777,470.789743,20
0.430906,476.523508,20
0.450878,477.21607,20
0.429102,490.648544,20
0.426396,493.032244,20
0.466597,487.652812,20
0.420663,505.095702,20
0.444049,502.712001,20
0.478129,512.311228,20
0.447399,522.103728,20
0.453519,526.66175,20
0.497134,518.334904,20
0.471365,537.549464,20
0.47581,537.034069,20
0.476712,545.763568,20
0.511179,537.968222,20
0.480191,556.586858,20
0.520327,550.740349,20
0.522067,556.98951,20
0.507636,569.455622,20
0.504479,575.817526,20
0.503448,583.645085,20
0.510277,585.593922,20
0.518459,589.314428,20
0.542425,593.437587,20
0.529669,599.622325,20
0.533083,608.673947,20
0.532374,610.912693,20
0.545581,612.893742,20
0.536047,623.427125,20
0.603628,617.016901,20
0.600149,616.340445,20
0.598152,630.095046,20
0.56536,640.547899,20
0.606849,640.41905,20
0.574766,649.599522,20
0.630235,645.508575,20
0.60949,652.965695,20
0.59332,661.840151,20
0.633392,657.700886,20
0.632103,669.232847,20
0.641638,672.663445,20
0.615675,682.971344,20
0.654781,679.009245,20
0.634551,689.687585,20
0.659741,694.905959,20
0.647179,699.544514,20
0.647565,705.374919,20
0.65433,710.834885,20
0.659161,716.922989,20
0.675461,722.366849,20
0.671595,727.295313,20
0.689634,731.660065,20
0.70297,736.508,20
0.718818,733.78607,20
0.716821,738.311882,20
0.705225,752.130912,20
0.694273,758.219017,20
0.711796,756.640619,20
0.710894,763.453498,20
0.721524,774.679448,20
0.74884,774.759978,20
0.751159,778.705972,20
0.750708,787.983084,20
0.76121,794.489947,20
0.774674,798.290987,20
0.755798,807.020492,20
0.778218,809.227028,20
0.768361,821.741467,20
0.787495,824.302336,20
0.797352,831.292384,20
0.815584,839.039418,20
0.790845,842.051259,20
0.810816,846.271057,20
0.834653,849.653338,20
0.837166,858.946559,20
0.829564,864.88971,20
0.855978,865.598379,20
0.840129,874.215144,20
0.867059,874.843281,20
0.880266,877.983972,20
0.852821,892.41504,20
0.876529,891.996281,20
0.88484,895.92617,20
0.884969,897.971646,20
0.894052,902.787371,20
0.894954,916.171543,20
0.913637,916.703045,20
0.91892,915.575617,20
0.909901,926.672724,20
0.917567,933.147378,20
0.935671,934.99958,20
0.937217,938.446287,20
0.92955,948.287118,20
0.950359,945.855096,20
0.961569,955.244956,20
0.963373,960.02847,20
0.965112,964.038891,20
0.96595,969.418331,20
0.975742,977.084838,20
0.996229,975.135999,20
0.986372,987.7954,20
0.988949,986.442487,20
0.994103,992.627233,20
1.018907,996.444381,20
1.01633,1003.772661,20
1.016072,1007.348217,20
1.009887,1014.982514,20
1.041262,1012.904825,20
1.040424,1018.831874,20
1.057755,1024.114678,20
1.057626,1030.283319,20
1.051699,1036.435854,20
1.047511,1043.087678,20
1.084684,1041.783083,20
1.067225,1049.240213,20
1.059172,1054.812928,20
1.087261,1062.398907,20
1.104913,1060.176264,20
1.100403,1072.320274,20
1.12089,1071.965939,20
1.111162,1076.81388,20
1.11928,1080.58271,20
1.132551,1085.317908,20
1.137254,1093.596451,20
1.135579,1100.522081,20
1.139702,1104.242594,20
1.162702,1105.595508,20
1.166825,1110.717253,20
