Machine_Time,Machine_N_cycles,Machine_Displacement,Machine_Load,MD_index--1,MD_N_cycles--1,MD_Displacement--1,MD_Load--1,u--1,v--1,exx--1,eyy--1,exy--1,Crack_length,Crack_N_cycles,Crack_Displacement,Crack_Load,Th_time,Th_N_cycles,Th_specimen_max,Th_specimen_mean,Th_chamber,Th_uppergrips,Th_lowergrips,Specimen_name
,,0.132171,123.429965,,,,,0.00409995,-0.0720305,-0.000539722,0.00118,0.000167163,,,,,,,,,20,,,
,,0.143703,125.249951,,,,,0.0063128,-0.073696,-0.000558593,0.00120448,0.000160939,,,,,,,,,20,,,
,,0.141577,126.715604,,,,,0.00521417,-0.0755301,-0.000540239,0.00124614,0.000145797,,,,,,,,,20,,,
,,0.134619,128.406741,,,,,0.00362895,-0.0774299,-0.000583841,0.00128502,0.000124353,,,,,,,,,20,,,
,,0.14628,134.124397,,,,,0.00410615,-0.0791821,-0.000580647,0.00131409,0.000105893,,,,,,,,,20,,,
,,0.146666,137.76437,,,,,0.00555412,-0.080974,-0.000558621,0.00134159,6.47e-05,,,,,,,,,20,,,
,,0.14628,141.243282,,,,,0.00573125,-0.0828184,-0.00057742,0.00137187,2.56e-05,,,,,,,,,20,,,
,,0.160389,144.609451,,,,,0.00382539,-0.0848729,-0.000603712,0.00139663,8.35e-06,,,,,,,,,20,,,
,,0.159165,146.687134,,,,,0.00427801,-0.0864718,-0.00057834,0.00141877,-8.76e-06,,,,,,,,,20,,,
,,0.160324,147.798454,,,,,0.00675551,-0.088088,-0.000574819,0.00143872,-1.92e-05,,,,,,,,,20,,,
,,0.167218,150.182152,,,,,0.00639762,-0.0899079,-0.000594306,0.00146886,-1.72e-05,,,,,,,,,20,,,
,,0.169021,156.689006,,,,,0.00484538,-0.0919548,-0.000598463,0.00149766,-4.78e-07,,,,,,,,,20,,,
,,0.176495,157.059446,,,,,0.00585312,-0.0938134,-0.000608216,0.00152112,-1.04e-05,,,,,,,,,20,,,
,,0.180296,159.910221,,,,,0.00702521,-0.0954146,-0.000593899,0.00154628,-1.16e-05,,,,,,,,,20,,,
,,0.177912,162.986481,,,,,0.00684483,-0.0971076,-0.00062888,0.00157426,-4.05e-05,,,,,,,,,20,,,
,,0.184741,166.223802,,,,,0.00537424,-0.0989652,-0.000670646,0.00160258,-5.48e-05,,,,,,,,,20,,,
,,0.188155,169.992623,,,,,0.0056028,-0.100692,-0.00073741,0.00164454,-7.11e-05,,,,,,,,,20,,,
,,0.177976,169.34838,,,,,0.00832031,-0.102564,-0.000744385,0.00169094,-8.86e-05,,,,,,,,,20,,,
,,0.195886,175.210991,,,,,0.00872985,-0.104488,-0.000789345,0.00173633,-8.66e-05,,,,,,,,,20,,,
,,0.203811,176.676644,,,,,0.00728428,-0.106269,-0.000791514,0.00176884,-8.06e-05,,,,,,,,,20,,,
,,0.201878,176.080719,,,,,0.00861282,-0.108144,-0.000779459,0.00179783,-6.17e-05,,,,,,,,,20,,,
,,0.196531,182.796952,,,,,0.0106232,-0.109784,-0.000803848,0.00181714,-4.03e-05,,,,,,,,,20,,,
,,0.202007,186.694622,,,,,0.0102654,-0.111566,-0.000838139,0.00184195,-2.18e-05,,,,,,,,,20,,,
,,0.204326,190.076897,,,,,0.00871753,-0.113354,-0.000835944,0.00185743,-1.25e-05,,,,,,,,,20,,,
,,0.210317,188.756199,,,,,0.00831535,-0.11515,-0.000856724,0.00187491,7.62e-06,,,,,,,,,20,,,
,,0.215149,194.103416,,,,,0.0103685,-0.116855,-0.000884251,0.00189542,1.34e-05,,,,,,,,,20,,,
,,0.22404,192.621657,,,,,0.0105016,-0.118473,-0.000902565,0.00190845,1.59e-05,,,,,,,,,20,,,
,,0.232093,201.88265,,,,,0.00830293,-0.120023,-0.00095377,0.00192399,-1.45e-07,,,,,,,,,20,,,
,,0.232286,203.718743,,,,,0.00894112,-0.121787,-0.000962816,0.00196082,-2.68e-05,,,,,,,,,20,,,
,,0.235378,203.348303,,,,,0.0116539,-0.123559,-0.000980235,0.00200369,-5.44e-05,,,,,,,,,20,,,
,,0.236731,210.273915,,,,,0.0121217,-0.125074,-0.000998045,0.00204221,-7.56e-05,,,,,,,,,20,,,
,,0.246008,210.805416,,,,,0.0112224,-0.126568,-0.00098634,0.00207673,-8.26e-05,,,,,,,,,20,,,
,,0.244011,212.544872,,,,,0.010923,-0.128048,-0.000981755,0.00210513,-6.75e-05,,,,,,,,,20,,,
,,0.250647,214.654767,,,,,0.012409,-0.129502,-0.000970401,0.00214527,-6.83e-05,,,,,,,,,20,,,
,,0.243174,221.435425,,,,,0.0131651,-0.131029,-0.000943128,0.00218182,-7.66e-05,,,,,,,,,20,,,
