exx,Load,Specimen_name
-2.09E-07,1.657975,T1-DC-3
1.30E-07,0.871329,
1.49E-06,-1.019381,
-3.73E-06,0.015679,
-4.11E-06,0.284795,
6.15E-05,17.977428,
0.000147299,32.647685,
0.00022728,49.243153,
0.000315593,64.161823,
0.000396855,77.81772,
0.000476592,94.958319,
0.000565687,109.490566,
0.000638036,124.229825,
0.000717215,139.672924,
0.000791325,155.73016,
0.000873378,170.365913,
0.000953338,185.822813,
0.00103596,200.265355,
0.00111831,215.708454,
0.00119905,230.109593,
0.00127946,245.090367,
0.0013534,262.092958,
0.00143183,273.713235,
0.00150746,290.08789,
0.00158738,305.041063,
0.00166959,319.72512,
0.00175472,334.954309,
0.00183365,350.135196,
0.00191401,363.501277,
0.00199089,377.654004,
0.00206651,393.932056,
0.0021391,407.82257,
0.00222721,422.099506,
0.00230372,436.811168,
0.00238391,450.391164,
0.00246148,465.703163,
0.00254212,481.31188,
0.00262133,495.706126,
0.00269525,508.092355,
0.00277089,523.928788,
0.00285182,539.054479,
0.00293289,552.655182,
0.0030182,566.269686,
0.00309706,580.919252,
0.00317829,594.057629,
0.00325179,609.017716,
0.00332838,622.694327,
0.00340675,636.22603,
0.00347727,650.620286,
0.00356149,664.876534,
0.00363591,678.021817,
0.00372083,692.712794,
0.00380193,706.693029,
0.00388203,719.652004,
0.00395961,734.177374,
0.0040309,747.177754,
0.00410553,760.557658,
0.00418092,773.785753,
0.00426287,786.986248,
0.00434404,802.077459,
0.00442615,813.214732,
0.00449778,827.015567,
0.0045772,840.878507,
0.00465254,854.092808,
0.00472859,867.300211,
0.0048017,880.880238,
0.00488227,892.659256,
0.00496164,905.314629,
0.00503783,919.70201,
0.00512176,931.632841,
0.00519904,945.689004,
0.00527311,956.660678,
0.00534914,968.805426,
0.0054227,982.785689,
0.005504,994.916639,
0.00558856,1006.005625,
0.00566678,1020.537927,
0.00574883,1033.793651,
0.0058224,1044.234001,
0.00589996,1055.812923,
0.00597482,1069.876001,
0.0060523,1080.123143,
0.0061272,1092.323108,
0.00620759,1103.453507,
0.00629557,1115.122142,
0.00637485,1128.115661,
0.00644761,1139.356471,
0.00652602,1150.735292,
0.00659803,1162.735153,
0.00667764,1174.169179,
0.00675238,1186.976395,
0.00683014,1197.665177,
0.00691246,1208.919796,
0.00698632,1220.036408,
0.00707152,1231.256528,
0.00714627,1242.738867,
0.0072179,1253.179239,
0.0072958,1265.179114,
0.00736798,1275.584987,
0.00744231,1286.549798,
0.00751641,1296.90047,
0.00759765,1307.409854,
0.00767496,1317.622519,
0.00775646,1328.056001,
0.00783383,1338.986316,
0.00790204,1349.295592,
0.0079733,1358.990729,
0.00804948,1369.576026,
0.0081193,1380.154424,
0.00819237,1389.539044,
0.00827242,1397.267556,
0.00834629,1407.086907,
0.00842162,1417.078771,
0.00849659,1425.179911,
0.00856928,1433.957296,
0.00863275,1442.113641,
0.0086981,1451.843292,
0.00876502,1459.813326,
0.00882288,1465.637317,
0.00888782,1474.400906,
0.00895208,1481.149561,
0.00901248,1486.890748,
0.00907365,1494.950492,
0.00912646,1498.580138,
0.00917964,1503.948701,
0.00922208,1507.267826,
0.00927186,1511.953243,
0.00930745,1517.294206,
0.00935289,1520.358014,
0.00939484,1523.180306,
0.00942088,1524.601802,
0.00945492,1532.537342,
0.00949364,1533.641418,
0.00952248,1537.264165,
0.00957124,1542.543025,
0.0096154,1549.174378,
0.00966331,1551.98287,
0.0097117,1558.931646,
0.00976883,1565.238678,
0.00982598,1571.794128,
0.00987527,1577.473218,
0.00993943,1584.214982,
0.00999445,1592.129828,
0.0100611,1598.478266,
0.0101159,1605.04062,
0.0101765,1613.907734,
0.0102331,1619.428117,
0.0102985,1626.80473,
0.0103666,1634.340054,
0.0104283,1641.281938,
0.0104969,1648.527444,
0.0105575,1655.669444,
0.0106256,1662.535424,
0.0106879,1669.277197,
0.0107473,1677.364566,
0.0108097,1682.753845,
0.0108704,1690.033858,
0.0109345,1696.230495,
0.0109948,1702.820461,
0.0110709,1709.513935,
0.0111288,1715.517361,
0.0111953,1720.954947,
0.0112571,1727.538015,
