exx,Load,Specimen_name
2.76E-06,35.192341,T1-DC-2
-1.40E-06,34.597845,
-1.74E-06,33.713532,
-1.30E-06,33.260228,
-1.62E-06,33.884449,
-1.14E-06,35.660507,
-3.13E-06,33.89188,
-2.09E-06,34.560689,
-4.36E-06,33.349403,
-1.57E-06,33.081879,
-9.09E-06,33.416283,
-7.01E-06,33.267659,
-5.48E-06,32.621145,
-6.39E-06,34.256009,
1.34E-09,35.326103,
3.78E-06,34.144541,
4.75E-06,33.498027,
-2.67E-06,34.018211,
-8.81E-06,33.95133,
-5.61E-06,33.52032,
-3.55E-06,33.884449,
-6.86E-06,33.044723,
-6.85E-06,33.825,
-2.19E-06,33.616926,
-7.30E-06,33.297384,
-1.06E-05,32.34619,
-2.21E-05,34.151973,
-1.42E-05,34.553257,
1.02E-06,32.34619,
-2.40E-06,32.442796,
-4.79E-07,32.665732,
3.06E-06,35.690232,
9.50E-06,33.163623,
1.22E-06,32.257016,
3.43E-06,2.814589,
-4.18E-06,1.558716,
-3.17E-07,2.569359,
-9.90E-07,1.514129,
-1.61E-05,2.435598,
1.05E-05,10.349829,
9.91E-05,25.680401,
0.000189154,41.24134,
0.000260733,56.482737,
0.000352536,71.776152,
0.000428513,87.89443,
0.000513153,103.09867,
0.000589728,117.440891,
0.000665451,133.180177,
0.000743849,146.831295,
0.000821064,163.075903,
0.000889519,177.841702,
0.000978139,192.614932,
0.00106811,208.658897,
0.00114636,223.253779,
0.00122133,236.169208,
0.00129192,252.971157,
0.0013701,265.626494,
0.00144698,282.012296,
0.0015258,295.559379,
0.00161048,312.012062,
0.00169151,325.120704,
0.00177363,341.417332,
0.00184795,356.242583,
0.00192114,370.428751,
0.00198758,385.410058,
0.00206668,398.793656,
0.00214663,412.994688,
0.00222179,427.232876,
0.00231435,442.117579,
0.00239828,456.957696,
0.00246868,470.868913,
0.00256426,484.549763,
0.00262725,498.052264,
0.00270634,513.182201,
0.00278262,527.242044,
0.00285526,541.257302,
0.00293952,554.796962,
0.00302826,568.953414,
0.00310695,582.894361,
0.00318516,597.162282,
0.00326335,612.455712,
0.0033287,625.542073,
0.00340117,640.81321,
0.00348184,652.680854,
0.00355928,666.614376,
0.00364077,680.755973,
0.0037227,693.121511,
0.00380419,709.797153,
0.0038749,721.813426,
0.00394362,734.721445,
0.00401854,745.7568,
0.00409012,763.012082,
0.00417387,776.031573,
0.0042583,788.909872,
0.00432711,801.877347,
0.00442332,814.213169,
0.00448798,829.298543,
0.00456031,841.314825,
0.00464112,854.401204,
0.0046996,867.740246,
0.00478301,880.120661,
0.0048802,894.46292,
0.00495776,905.230763,
0.00504518,919.075133,
0.00512194,929.73894,
0.00519097,942.810465,
0.00526008,954.247122,
0.00533489,970.023617,
0.00541536,981.876425,
0.00549948,993.000974,
0.00557796,1007.462146,
0.00565906,1019.099453,
0.0057445,1031.323828,
0.00581547,1043.652241,
0.00588719,1056.701486,
0.00595838,1066.852551,
0.00603815,1078.006833,
0.00612633,1090.431859,
0.00620384,1102.871748,
0.00628061,1114.501633,
0.00635685,1125.663353,
0.00643286,1137.798565,
0.00650408,1151.159934,
0.00656998,1161.065778,
0.00665311,1173.431363,
0.00673782,1183.82024,
0.00681487,1195.918304,
0.00689766,1207.250951,
0.00697378,1219.445624,
0.00705012,1230.488456,
0.00712021,1241.382664,
0.00719412,1251.830999,
0.00726748,1263.059616,
0.00734349,1273.270153,
0.00742429,1284.491341,
0.00751529,1295.719962,
0.00759612,1306.316929,
0.00767321,1318.080603,
0.00774825,1328.774179,
0.00782051,1339.333993,
0.00789293,1350.592347,
0.00796482,1358.640399,
0.00805656,1369.876461,
0.0081375,1382.011708,
0.00823043,1390.39417,
0.00830312,1401.868038,
0.00837091,1410.703809,
0.00844527,1421.159597,
0.00851914,1429.987939,
0.00858329,1440.85988,
0.00867191,1450.877227,
0.00875844,1460.983751,
0.00884144,1469.893842,
0.00892111,1480.780651,
0.00899766,1489.059087,
0.00906933,1499.760117,
0.00913487,1508.670213,
0.00921137,1518.851058,
0.00928159,1526.67619,
0.0093651,1536.403729,
0.0094502,1544.986853,
0.00953016,1555.412935,
0.00961217,1562.331455,
0.00968016,1570.647057,
0.00975648,1580.59011,
0.0098282,1590.458851,
0.00989721,1598.410323,
0.00997217,1608.331086,
0.0100559,1616.773025,
0.0101368,1623.50577,
0.0102223,1634.25141,
0.0103013,1639.988363,
0.0103778,1647.976998,
0.010447,1657.221521,
0.0105156,1666.309989,
0.0105929,1671.199778,
0.0106687,1681.499549,
0.0107521,1688.752491,
0.0108316,1697.395085,
0.0109158,1705.495197,
0.0109954,1713.639897,
0.0110793,1720.603022,
0.0111351,1727.372934,
0.0111966,1735.948652,
0.0112754,1743.357658,
0.011354,1751.145661,
0.0114345,1758.10879,
0.0115179,1765.547524,
0.0115908,1771.767524,
0.0116784,1779.429199,
0.0117499,1786.749034,
0.0118221,1794.217496,
0.0118882,1800.60842,
0.0119608,1807.296597,
0.012037,1814.601573,
0.012118,1820.628365,
0.0121989,1828.133989,
0.0122835,1834.621523,
0.0123631,1840.633455,
0.0124329,1847.789809,
0.0125075,1853.682841,
0.0125709,1860.586532,
0.0126468,1867.007189,
0.0127222,1874.29731,
0.0128051,1879.127666,
0.0128855,1885.161897,
0.0129742,1891.916965,
0.0130541,1897.059439,
0.0131297,1903.480099,
0.0131996,1909.44745,
0.0132715,1914.545337,
0.0133455,1920.341769,
0.013423,1926.160495,
0.0135068,1932.001516,
0.0135984,1936.653526,
0.0136789,1942.918134,
