Machine_N_cycles,Machine_Load,Machine_Displacement,index,Camera_N_cycles,exx,eyy,exy,crack_length,Th_time,Th_N_cycles,Th_specimen_max,Th_specimen_mean,Th_chamber,Th_uppergrips,Th_lowergrips
1,35.077697266,0.670871115,,,,,,,,,,,,,
1,3.081164307,0.670607027,,,,,,,,,,,,,
1,3.082980469,0.672702503,,,,,,,,,,,,,
1,3.087126221,0.671588234,,,,,,,,,,,,,
1,3.089600098,0.672728522,,,,,,,,,,,,,
1,3.091049316,0.67279971,,,,,,,,,,,,,
1,3.089323975,0.674348383,,,,,,,,,,,,,
1,3.09382666,0.673577888,,,,,,,,,,,,,
1,3.101068848,0.677018659,,,,,,,,,,,,,
1,3.102393555,0.676226278,,,,,,,,,,,,,
1,3.105646729,0.67836605,,,,,,,,,,,,,
1,3.11434082,0.679704535,,,,,,,,,,,,,
1,3.121709961,0.680390687,,,,,,,,,,,,,
1,3.135327637,0.683333783,,,,,,,,,,,,,
1,3.140125732,0.68606803,,,,,,,,,,,,,
1,3.155526855,0.688681379,,,,,,,,,,,,,
1,3.175650146,0.691618014,,,,,,,,,,,,,
1,3.196357666,0.697024923,,,,,,,,,,,,,
1,3.215774658,0.700454053,,,,,,,,,,,,,
1,3.234461914,0.70577563,,,,,,,,,,,,,
1,3.263478271,0.711262226,,,,,,,,,,,,,
1,3.291562012,0.718611816,,,,,,,,,,,,,
1,3.323419434,0.726910715,,,,,,,,,,,,,
1,3.359250244,0.734354893,,,,,,,,,,,,,
1,3.405052734,0.744396821,,,,,,,,,,,,,
1,3.444974854,0.754635374,,,,,,,,,,,,,
1,3.486486328,0.764636672,,,,,,,,,,,,,
1,3.531050293,0.775953755,,,,,,,,,,,,,
1,3.57989624,0.787026831,,,,,,,,,,,,,
1,3.631906982,0.80126489,,,,,,,,,,,,,
1,3.682553223,0.815725303,,,,,,,,,,,,,
1,3.730997314,0.830279314,,,,,,,,,,,,,
1,3.78488916,0.844927912,,,,,,,,,,,,,
1,3.843261963,0.862127927,,,,,,,,,,,,,
1,3.900183105,0.879712752,,,,,,,,,,,,,
1,3.962667969,0.899495964,,,,,,,,,,,,,
1,4.022240234,0.919031387,,,,,,,,,,,,,
1,4.079729004,0.938521698,,,,,,,,,,,,,
1,4.14254834,0.959371391,,,,,,,,,,,,,
1,4.197734863,0.97925181,,,,,,,,,,,,,
1,4.256267578,1.000602962,,,,,,,,,,,,,
1,4.314992188,1.020161086,,,,,,,,,,,,,
1,4.368151855,1.042369753,,,,,,,,,,,,,
1,4.425497559,1.063009375,,,,,,,,,,,,,
1,4.474282715,1.084078802,,,,,,,,,,,,,
1,4.526633301,1.104877912,,,,,,,,,,,,,
1,4.575966797,1.125403563,,,,,,,,,,,,,
1,4.625223633,1.146495692,,,,,,,,,,,,,
1,4.667012695,1.166731119,,,,,,,,,,,,,
1,4.719480957,1.186917769,,,,,,,,,,,,,
1,4.754709473,1.207330846,,,,,,,,,,,,,
1,4.799629883,1.226727269,,,,,,,,,,,,,
1,4.83870166,1.246180036,,,,,,,,,,,,,
1,4.880802734,1.265277388,,,,,,,,,,,,,
1,4.917236328,1.284587081,,,,,,,,,,,,,
1,4.953928711,1.304066158,,,,,,,,,,,,,
1,4.985812012,1.324686105,,,,,,,,,,,,,
1,5.014326172,1.342254574,,,,,,,,,,,,,
1,5.052025879,1.360358205,,,,,,,,,,,,,
1,5.072156738,1.376848319,,,,,,,,,,,,,
1,5.104387207,1.392176724,,,,,,,,,,,,,
1,5.125120605,1.409528777,,,,,,,,,,,,,
1,5.148271484,1.424142742,,,,,,,,,,,,,
1,5.166506836,1.438301755,,,,,,,,,,,,,
1,5.181825684,1.452281722,,,,,,,,,,,,,
1,5.195810547,1.464500325,,,,,,,,,,,,,
1,5.199058594,1.474488876,,,,,,,,,,,,,
1,5.20017334,1.482755644,,,,,,,,,,,,,
1,5.194483887,1.489087241,,,,,,,,,,,,,
1,5.181294434,1.493447344,,,,,,,,,,,,,
1,5.153175293,1.493636868,,,,,,,,,,,,,
1,5.120037109,1.492878073,,,,,,,,,,,,,
1,5.075601563,1.487668604,,,,,,,,,,,,,
1,5.027672363,1.480871113,,,,,,,,,,,,,
1,4.971324219,1.469873707,,,,,,,,,,,,,
1,4.90401709,1.458235551,,,,,,,,,,,,,
1,4.823130371,1.442681998,,,,,,,,,,,,,
1,4.733488281,1.425122493,,,,,,,,,,,,,
1,4.630382324,1.4045235,,,,,,,,,,,,,
1,4.522089355,1.381554524,,,,,,,,,,,,,
1,4.402304199,1.355765038,,,,,,,,,,,,,
1,4.273895508,1.328094746,,,,,,,,,,,,,
1,4.145401367,1.299386844,,,,,,,,,,,,,
1,4.011734863,1.269398257,,,,,,,,,,,,,
1,3.875425049,1.237803022,,,,,,,,,,,,,
1,3.737173584,1.206444576,,,,,,,,,,,,,
1,3.598525879,1.174553181,,,,,,,,,,,,,
1,3.459029785,1.140024513,,,,,,,,,,,,,
1,3.324898926,1.107889111,,,,,,,,,,,,,
1,3.187310303,1.074600616,,,,,,,,,,,,,
1,3.048856689,1.040536561,,,,,,,,,,,,,
1,2.915487305,1.005727449,,,,,,,,,,,,,
1,2.783109863,0.973607588,,,,,,,,,,,,,
1,2.652602051,0.938971702,,,,,,,,,,,,,
1,2.521469238,0.90583862,,,,,,,,,,,,,
1,2.39487793,0.874137506,,,,,,,,,,,,,
1,2.268867188,0.841109839,,,,,,,,,,,,,
1,2.14957373,0.809758203,,,,,,,,,,,,,
1,2.021860107,0.777981069,,,,,,,,,,,,,
1,1.905220459,0.744635996,,,,,,,,,,,,,
1,1.783826294,0.715848466,,,,,,,,,,,,,
1,1.676558838,0.685008999,,,,,,,,,,,,,
1,1.562176025,0.652608986,,,,,,,,,,,,,
1,1.457033813,0.626029097,,,,,,,,,,,,,
2,1.356088867,0.599858875,,,,,,,,,,,,,
2,1.266329346,0.575186335,,,,,,,,,,,,,
2,1.179165771,0.551583245,,,,,,,,,,,,,
2,1.108508423,0.529528013,,,,,,,,,,,,,
2,1.042350098,0.511305814,,,,,,,,,,,,,
2,0.989144531,0.496115128,,,,,,,,,,,,,
2,0.943244812,0.47963782,,,,,,,,,,,,,
2,0.911343445,0.46845639,,,,,,,,,,,,,
2,0.88810907,0.46065374,,,,,,,,,,,,,
2,0.880297729,0.456265756,,,,,,,,,,,,,
2,0.879437683,0.452405948,,,,,,,,,,,,,
2,0.886250183,0.450351828,,,,,,,,,,,,,
2,0.902439636,0.451287633,,,,,,,,,,,,,
2,0.935357605,0.454524154,,,,,,,,,,,,,
2,0.975576538,0.460265233,,,,,,,,,,,,,
