n_cycles,point_index,fit_x,fit_y
8,0,0.003215825081390186,7.536232058450591
8,1,0.003452292976454805,8.206103128334073
8,2,0.00368237228686952,8.864974934658894
8,3,0.003902285116718207,9.502028820580698
8,4,0.0041084205034145685,10.106804378904954
8,5,0.004297393709607971,10.669371211683899
8,6,0.0044661018004771656,11.180491987076305
8,7,0.004611774593834267,11.631774116080921
8,8,0.004732020146439692,12.015807558615862
8,9,0.0048248640296440284,12.326286496171882
8,10,0.004888781749451869,12.558112873177961
8,11,0.004922723778671067,12.70748010693285
8,12,0.004926132790120226,12.771935591587773
8,13,0.004898952807925594,12.750420969866664
8,14,0.0048416301266433785,12.643289511263376
8,15,0.0047551059831154605,12.45230031136637
8,16,0.00464080110138648,12.180589407557774
8,17,0.004500592364454298,11.83261828536627
8,18,0.00433678199590306,11.41410062099806
8,19,0.004152059757455597,10.931908462931528
8,20,0.003949458783160294,10.393959393071201
8,21,0.003732305775413872,9.809086520271784
8,22,0.0035041663806000102,9.186893440934957
8,23,0.0032687866412742976,8.53759654822198
8,24,0.0030300314862490383,7.871857279160413
8,25,0.002791821268569004,7.200607054142895
8,26,0.002558067393422825,6.534867783306497
8,27,0.002332608092977926,5.8855708870729995
8,28,0.002119145402714453,5.263377802527771
8,29,0.001921184374105039,4.6785049229175915
8,30,0.0017419755217665221,4.140555844755976
8,31,0.0015844614500998041,3.658363677033933
8,32,0.001451228535806941,3.239846001814536
8,33,0.0013444644596571993,2.8918748677543418
8,34,0.0012659222848293054,2.6201639512544386
8,35,0.0012168916716625172,2.4291747380518984
8,36,0.0011981777014695098,2.322043265747329
8,37,0.0012100876571234762,2.300528630154159
8,38,0.0012524259774818465,2.3649841009940253
8,39,0.0013244974684948432,2.5143513212177053
8,40,0.0014251187182725558,2.746177685198604
8,41,0.00155263752867546,3.056656610449344
8,42,0.001704960044362187,3.440690041600959
8,43,0.0018795851338363433,3.8919721603311146
8,44,0.0020736454579565367,4.403092926726636
8,45,0.002283954551565798,4.965659751933996
8,46,0.002507059145161375,5.570435304236298
8,47,0.0027392958674844845,6.207489185784652
8,48,0.002976851397975115,6.86636098945635
8,49,0.0032158250813901857,7.53623205845059
9410,0,0.004353299994836529,7.723686987998743
