MD_N_cycles--1,MD_Load--1 ,MD_index--1 ,eyy--1 ,exx--1 ,exy--1
0,6.000598,0,0,0,2.14E-19
0,7.111917,1,-4.52E-05,-9.28E-07,4.39E-05
0,7.144129,2,-4.39E-05,-2.50E-05,-2.63E-05
0,4.921491,3,-8.84E-05,-2.16E-05,-9.66E-06
0,21.398001,4,-2.92E-05,8.14E-05,-1.38E-06
0,44.461894,5,-6.92E-05,0.000229495,5.97E-06
0,70.344351,6,-0.000150705,0.000391879,1.14E-06
0,93.569307,7,-0.000185818,0.000536507,1.07E-05
0,115.312504,8,-0.000246725,0.000669279,1.36E-05
0,142.000267,9,-0.000305746,0.000830111,3.48E-06
0,162.390556,10,-0.000348083,0.000959261,3.68E-06
0,183.441195,11,-0.000394401,0.00112257,1.80E-05
0,207.87411,12,-0.000446644,0.001254,1.72E-05
0,233.015693,13,-0.000544639,0.00134983,4.92E-05
0,261.523448,14,-0.000626725,0.00153192,3.28E-05
0,284.877259,15,-0.000652169,0.00173479,3.51E-05
0,313.642714,16,-0.000703297,0.00189786,4.68E-05
0,337.173694,17,-0.000794247,0.00205339,6.86E-05
0,361.187858,18,-0.000839192,0.00222859,0.000104553
0,383.575309,19,-0.000881055,0.00240105,7.35E-05
0,406.268777,20,-0.000941005,0.00252969,7.16E-05
0,432.698857,21,-0.00103673,0.00268988,8.45E-05
0,456.213737,22,-0.00110686,0.00285381,7.41E-05
0,479.615876,23,-0.00115483,0.00299261,6.85E-05
0,505.305081,24,-0.00122565,0.00315657,6.62E-05
0,530.962075,25,-0.00131966,0.00331687,9.68E-05
0,555.620493,26,-0.00136462,0.0034759,0.00011818
0,574.835055,27,-0.0014342,0.00362285,0.000111265
0,603.987075,28,-0.0015044,0.00378701,8.15E-05
0,626.873828,29,-0.00155657,0.00394005,9.12E-05
0,651.161813,30,-0.00161121,0.00410248,8.75E-05
0,675.417587,31,-0.00166713,0.00424543,0.000104861
1,762.068374,32,-0.00180701,0.00465363,0.000109744
1,792.686065,33,-0.00188201,0.00489954,0.000129588
1,801.544419,34,-0.00190271,0.00504005,0.000123432
1,788.417949,35,-0.00188262,0.00505092,0.000126801
1,739.616476,36,-0.00180135,0.00485875,0.000127754
1,692.039074,37,-0.00170681,0.00456084,9.85E-05
1,652.305345,38,-0.00160523,0.00427554,9.63E-05
1,642.142402,39,-0.00154555,0.00409689,0.000101559
1,649.535097,40,-0.00152698,0.00405173,0.000100843
1,689.91307,41,-0.00157422,0.00421302,0.000100445
1,732.207672,42,-0.00166618,0.00447264,9.43E-05
2,763.936681,43,-0.00176725,0.00473174,0.000121845
2,773.890249,44,-0.00179817,0.0048708,0.000127194
2,759.942369,45,-0.00180351,0.00489018,0.000129806
2,666.043841,46,-0.00163328,0.00438544,9.89E-05
2,623.28217,47,-0.00153088,0.00410702,0.000101989
2,613.038697,48,-0.00146821,0.00391986,8.74E-05
2,621.945365,49,-0.00144223,0.00387255,8.28E-05
2,664.288277,50,-0.00150708,0.00404947,0.000100212
2,710.351702,51,-0.0016086,0.00430958,9.10E-05
3,744.206713,52,-0.00170979,0.00458341,0.000102856
3,753.516037,53,-0.0017639,0.00475582,0.000130814
3,742.773271,54,-0.00176201,0.0047811,0.000125371
3,700.704152,55,-0.00170583,0.00459081,0.000104379
3,654.383031,56,-0.00159871,0.00430156,9.25E-05
3,617.355129,57,-0.00150535,0.00403999,9.98E-05
3,607.804218,58,-0.00144043,0.0038724,8.30E-05
3,629.160893,59,-0.00144523,0.00387734,7.97E-05
3,676.818817,60,-0.00152883,0.00409344,0.00010546
3,724.122413,61,-0.00164322,0.00439281,9.23E-05
4,760.47387,62,-0.00173966,0.00468858,0.000114283
4,775.839087,63,-0.00178802,0.00486462,0.000126472
4,756.833892,64,-0.00180152,0.00488008,0.000126133
4,707.339863,65,-0.00173877,0.00466746,0.000116802
4,656.621777,66,-0.00162046,0.00434037,9.37E-05
4,615.519035,67,-0.00150142,0.0040396,9.53E-05
4,600.057189,68,-0.00143231,0.00383752,7.99E-05
4,618.305388,69,-0.00142566,0.00381096,7.55E-05
4,665.319067,70,-0.0015083,0.00402671,9.37E-05
4,716.149896,71,-0.00160906,0.00432598,9.44E-05
5,750.004908,72,-0.00171932,0.00462937,0.000116607
5,764.967471,73,-0.00176975,0.00480397,0.000127546
5,743.095393,74,-0.00178564,0.00482035,0.000126833
5,691.362618,75,-0.00170431,0.00457502,9.47E-05
5,639.339942,76,-0.0015835,0.00426877,0.000100006
5,596.691017,77,-0.00146082,0.00390645,8.73E-05
5,582.098901,78,-0.00139237,0.00371957,7.44E-05
5,603.954863,79,-0.00140207,0.00372037,7.28E-05
5,659.842996,80,-0.00149284,0.00398775,9.40E-05
5,720.562966,81,-0.00161283,0.00433372,9.44E-05
10,777.208105,82,-0.00174495,0.00469523,0.000112252
10,791.30094,83,-0.00182913,0.00496056,0.000116104
10,757.268757,84,-0.00182466,0.00495632,0.000114082
10,687.915914,85,-0.00172221,0.0046388,0.00010566
10,615.66399,86,-0.00155009,0.00417344,9.12E-05
10,559.018877,87,-0.00139984,0.00374009,6.53E-05
10,545.232067,88,-0.0013121,0.00350797,7.35E-05
10,580.230595,89,-0.00131282,0.00351339,7.77E-05
10,650.710842,90,-0.00143165,0.00383565,6.89E-05
10,727.697966,91,-0.0016052,0.00431714,8.01E-05
20,819.873159,92,-0.00181503,0.0049633,0.000132662
20,842.260638,93,-0.00194091,0.00530718,0.000146479
20,796.245512,94,-0.00194972,0.00531098,0.000146475
20,692.828273,95,-0.0017608,0.00480199,0.000136918
20,583.04916,96,-0.00152213,0.00412039,0.000109542
20,501.906697,97,-0.00129411,0.00349077,8.91E-05
20,483.271957,98,-0.00115653,0.00314254,7.64E-05
20,536.00328,99,-0.00116444,0.00316233,7.64E-05
20,633.155203,100,-0.00133622,0.00363397,8.17E-05
20,742.306194,101,-0.00158405,0.00430914,0.000107802
40,908.054067,102,-0.00210782,0.005428,0.000138231
40,937.383284,103,-0.00228057,0.00590538,0.000129553
40,863.021403,104,-0.00225397,0.00586043,0.000136462
40,705.761466,105,-0.00196865,0.00512905,0.000130225
40,537.468934,106,-0.00159258,0.00407293,9.85E-05
40,417.800731,107,-0.00122159,0.00310683,6.34E-05
40,394.769035,108,-0.00104587,0.00263524,3.00E-05
40,476.362447,109,-0.00107091,0.00272831,4.17E-05
40,627.550284,110,-0.00133828,0.00342845,8.69E-05
40,790.318468,111,-0.00172451,0.0044357,0.000102922
60,981.948883,112,-0.00211703,0.00579997,0.000127697
60,1007.428748,113,-0.00233203,0.00640934,0.00015406
60,908.811053,114,-0.00229009,0.00627136,0.000156696
60,716.455912,115,-0.00196512,0.00533971,0.000124964
60,511.425393,116,-0.00150813,0.00404795,8.60E-05
60,369.740186,117,-0.00108801,0.00289159,4.99E-05
60,341.780033,118,-0.000880228,0.00230696,-2.63E-06
60,447.290967,119,-0.000937762,0.00244831,6.46E-06
60,633.364582,120,-0.00124799,0.00332489,6.63E-05
60,836.993943,121,-0.00169105,0.00460926,0.000113535
80,1015.852244,122,-0.00222483,0.00596075,0.000130154
80,1043.458119,123,-0.00249649,0.00667134,0.000151258
80,931.56898,124,-0.002439,0.00650479,0.00015003
80,712.993102,125,-0.0020369,0.00543541,0.000113457
80,473.382822,126,-0.00148954,0.00396471,8.31E-05
80,315.672079,127,-0.00100285,0.0026362,2.71E-05
80,286.665034,128,-0.000758126,0.00198637,-6.82E-06
80,405.833913,129,-0.000827596,0.00217272,-4.23E-06
80,631.286897,130,-0.0012067,0.00319542,6.12E-05
80,867.225095,131,-0.00174418,0.00468412,0.000106417
100,1048.853666,132,-0.00232244,0.00616358,0.000133996
100,1081.178637,133,-0.0026062,0.00691213,0.000139653
100,955.180532,134,-0.00255079,0.00675066,0.000143176
100,716.166002,135,-0.00211836,0.00558572,0.000102928
100,454.490386,136,-0.00149655,0.00395953,6.42E-05
100,279.755527,137,-0.000945103,0.00248526,5.68E-06
100,253.534834,138,-0.000670686,0.00178247,-1.70E-05
100,389.373498,139,-0.000759769,0.00203411,-1.41E-05
100,632.22105,140,-0.0012038,0.00317217,5.28E-05
100,891.770796,141,-0.00180482,0.004788,8.88E-05
120,1093.693088,142,-0.00239134,0.0064409,0.000135275
120,1128.546725,143,-0.00269187,0.00725237,0.000141007
120,981.691185,144,-0.0026126,0.00702682,0.00013586
120,727.955664,145,-0.00213387,0.00575864,0.000111256
120,450.52829,146,-0.00148493,0.00402693,6.26E-05
120,235.818151,147,-0.000601448,0.00169559,-2.48E-05
120,379.291092,148,-0.000690865,0.00196187,-2.13E-05
120,630.28832,149,-0.00115337,0.00315679,4.78E-05
120,905.219392,150,-0.00178667,0.00483467,8.31E-05
140,1138.56473,151,-0.00266152,0.00737693,0.00013384
140,991.693079,152,-0.00256694,0.00710359,0.000112822
140,722.833925,153,-0.00207112,0.00575792,9.65E-05
140,435.968392,154,-0.00142267,0.00398117,3.68E-05
140,236.913364,155,-0.000809519,0.0023187,-2.79E-05
140,209.194808,156,-0.000502498,0.00153058,-3.99E-05
140,363.909786,157,-0.000608596,0.00181511,-4.98E-05
140,632.816976,158,-0.00109324,0.00309351,3.02E-05
140,912.563776,159,-0.00174414,0.00485893,6.43E-05
160,1113.680778,160,-0.00239044,0.00660706,0.000132859
160,1145.055496,161,-0.0026783,0.00742931,0.000153091
160,988.326902,162,-0.00259692,0.00718579,0.000139954
160,716.472018,163,-0.00209681,0.00580036,0.000120213
160,424.17874,164,-0.00143815,0.00397071,5.38E-05
160,221.499849,165,-0.000811279,0.00225986,-1.98E-05
160,194.667129,166,-0.00049499,0.00147023,-2.37E-05
160,357.660627,167,-0.000624411,0.00180321,-2.97E-05
160,641.337097,168,-0.00113681,0.00316582,4.50E-05
160,928.460501,169,-0.00180664,0.00498418,8.81E-05
180,1168.216096,170,-0.00276001,0.00762716,0.000125723
180,1003.273372,171,-0.00266004,0.00730379,0.000132741
180,726.006826,172,-0.00213401,0.00585151,0.000106035
180,426.691288,173,-0.00146823,0.0040048,4.03E-05
180,215.202374,174,-0.000832614,0.00224694,-3.79E-05
180,189.174957,175,-0.000507034,0.00142178,-3.03E-05
180,351.395362,176,-0.00062721,0.00173908,-4.67E-05
180,629.032044,177,-0.00113625,0.00310417,3.38E-05
180,921.937529,178,-0.00179904,0.0049256,7.07E-05
200,1138.339244,179,-0.0024666,0.00676843,0.000147437
200,1168.087247,180,-0.00276802,0.00765344,0.000153385
200,999.76224,181,-0.0026672,0.00733468,0.000158537
200,708.982685,182,-0.00213804,0.0058492,0.00012365
200,415.642516,183,-0.00146092,0.00396544,6.37E-05
200,196.326054,184,-0.000807123,0.00218421,-1.72E-05
200,176.096825,185,-0.000477639,0.00135727,-9.08E-06
200,356.098337,186,-0.000624637,0.0017247,-2.64E-05
200,642.094084,187,-0.00116507,0.00317443,3.96E-05
200,935.949841,188,-0.00184711,0.00504233,9.81E-05
220,1153.801119,189,-0.0025079,0.0068729,0.000118274
220,1181.680813,190,-0.00282991,0.00776525,0.000133873
220,1008.185735,191,-0.00274034,0.00752324,0.000131359
220,718.404749,192,-0.00216303,0.00588922,0.000109342
220,420.635402,193,-0.00148884,0.00400059,3.94E-05
220,197.244101,194,-0.000831053,0.00219451,-3.49E-05
220,176.080719,195,-0.000486035,0.00134724,-3.29E-05
220,348.576798,196,-0.000625512,0.0016848,-5.08E-05
220,636.456952,197,-0.00117278,0.00313158,2.44E-05
220,929.37855,198,-0.0018442,0.00498257,7.00E-05
240,1155.266776,199,-0.00250913,0.00687504,0.000116695
240,1180.005777,200,-0.0028374,0.00778463,0.000137076
240,1003.820979,201,-0.00271025,0.00743411,0.000136657
240,711.591872,202,-0.00215889,0.00588124,0.000104548
240,404.44879,203,-0.00146419,0.0039673,3.62E-05
240,184.149862,204,-0.000801113,0.00214089,-3.56E-05
240,164.516558,205,-0.000453173,0.00129748,-4.01E-05
240,354.149502,206,-0.000616169,0.0016837,-5.28E-05
240,944.969261,207,-0.00188065,0.00509929,7.23E-05
260,1164.125142,208,-0.00254476,0.00694869,0.000114836
260,1189.492282,209,-0.00287242,0.00784997,0.000137343
260,1007.026095,210,-0.00273412,0.00747819,0.000129444
260,715.167425,211,-0.00217572,0.0058933,9.90E-05
260,410.375828,212,-0.00148277,0.00399068,2.43E-05
260,179.656267,213,-0.000804393,0.0021533,-4.56E-05
260,165.434604,214,-0.000449053,0.00129296,-4.44E-05
260,341.151896,215,-0.00056075,0.00154856,-5.99E-05
260,644.606634,216,-0.00117486,0.00316388,1.01E-05
260,933.501713,217,-0.00186587,0.00504877,6.53E-05
280,1171.872186,218,-0.00259507,0.00697904,0.000104197
280,1196.434021,219,-0.00294712,0.00792168,0.000136398
280,1014.289951,220,-0.0028103,0.00754528,0.000124134
280,710.496657,221,-0.00223675,0.00594471,0.000101737
280,408.76522,222,-0.00152824,0.00400285,2.70E-05
280,180.413253,223,-0.000838042,0.00214788,-4.03E-05
280,162.068435,224,-0.000491488,0.00130502,-3.15E-05
280,355.534624,225,-0.00065663,0.00169451,-4.97E-05
280,655.655412,226,-0.00124962,0.00324751,1.77E-05
280,951.00905,227,-0.00194765,0.00514956,8.14E-05
300,1173.547222,228,-0.00254737,0.00700403,0.000105066
300,1191.408911,229,-0.0028802,0.00791903,0.000140949
300,1009.812452,230,-0.00272744,0.00751607,0.000123656
300,706.260755,231,-0.00214548,0.00589754,0.000100927
300,404.174987,232,-0.00144476,0.00397515,3.06E-05
300,172.005882,233,-0.000758372,0.00211291,-4.51E-05
300,155.046187,234,-0.000394484,0.00124518,-4.46E-05
300,343.245686,235,-0.000562631,0.00163637,-5.79E-05
300,648.890854,236,-0.00116678,0.00321151,1.15E-05
300,945.694035,237,-0.00186945,0.0051266,7.71E-05
320,1174.980667,238,-0.00258896,0.00704434,0.000116315
320,1203.633458,239,-0.00294505,0.00799582,0.000168726
320,1014.225527,240,-0.00279468,0.00759232,0.000124633
320,710.206747,241,-0.0022139,0.0059593,0.000110413
320,400.857134,242,-0.00149863,0.00400003,3.43E-05
320,173.423217,243,-0.000795449,0.0021206,-3.68E-05
320,158.170765,244,-0.000443326,0.00127336,-3.77E-05
320,355.437988,245,-0.000613728,0.00168792,-5.76E-05
320,659.585298,246,-0.00192925,0.00519801,8.26E-05
320,1176.510748,247,-0.00259882,0.00706569,0.000119443
340,1178.524014,248,-0.00261917,0.00708072,9.28E-05
340,1196.788356,249,-0.00295295,0.00799832,0.000139947
340,1011.22979,250,-0.0027947,0.00757309,0.000115865
340,701.976534,251,-0.00220224,0.00591769,8.66E-05
340,397.039993,252,-0.00148873,0.00397297,1.54E-05
340,163.292496,253,-0.00078737,0.00209881,-6.22E-05
340,150.14994,254,-0.000433489,0.00123868,-6.13E-05
340,346.740705,255,-0.000601605,0.00164525,-8.06E-05
340,650.324296,256,-0.00121718,0.00324042,-1.06E-05
340,951.959311,257,-0.00193251,0.00516894,5.54E-05
360,1185.014781,258,-0.00262069,0.00711294,0.000115559
360,1205.614511,259,-0.00297238,0.00805994,0.00016823
360,1012.663234,260,-0.00280438,0.00763701,0.000132026
360,709.755777,261,-0.00220902,0.00597782,0.000114499
360,393.561079,262,-0.00148246,0.00399262,4.16E-05
360,167.641136,263,-0.00077198,0.00210259,-4.68E-05
360,153.161776,264,-0.000425241,0.00125837,-3.42E-05
360,352.152348,265,-0.000601479,0.00168939,-5.42E-05
360,959.545287,266,-0.00193646,0.00523162,8.34E-05
380,1174.706863,267,-0.00260717,0.00710074,0.000120343
380,1197.56145,268,-0.00294422,0.0080193,0.000169664
380,1003.176735,269,-0.00277702,0.00757432,0.000135385
380,696.065598,270,-0.0021773,0.00589879,0.000111656
380,389.131907,271,-0.00145793,0.00394349,3.97E-05
380,163.002587,272,-0.000748989,0.00205788,-3.75E-05
380,145.624134,273,-0.000396609,0.00120273,-4.18E-05
380,656.347974,274,-0.00120821,0.00326794,1.08E-05
380,957.483705,275,-0.00192008,0.00521457,7.81E-05
400,1188.010519,276,-0.00263585,0.00718452,0.00010744
400,1207.515034,277,-0.00298614,0.0081283,0.000158688
400,1014.901983,278,-0.00281486,0.00768156,0.00011689
400,704.972267,279,-0.00220875,0.00600017,9.72E-05
400,391.853835,280,-0.00147345,0.00400735,1.72E-05
400,165.885574,281,-0.000760557,0.00210792,-5.78E-05
400,152.920185,282,-0.000406395,0.0012687,-5.04E-05
400,357.419036,283,-0.000593734,0.00171427,-6.88E-05
400,662.935366,284,-0.00122954,0.00333769,-7.84E-06
400,963.732875,285,-0.00194356,0.00527761,6.50E-05
420,1173.466691,286,-0.0026188,0.00710191,0.000100016
420,1193.857041,287,-0.00295399,0.00802094,0.000151509
420,994.398905,288,-0.00277702,0.00756409,0.00011586
420,688.527946,289,-0.00216956,0.00587153,8.63E-05
420,373.847237,290,-0.00142952,0.00389116,2.92E-05
420,149.634546,291,-0.000713558,0.001998,-6.52E-05
420,140.518508,292,-0.000374117,0.00115331,-6.35E-05
420,344.485854,293,-0.00057264,0.00163387,-7.38E-05
420,660.535558,294,-0.00121978,0.00330581,-5.49E-06
420,966.712505,295,-0.00194702,0.0052769,6.78E-05
440,1187.978307,296,-0.00265866,0.00722785,0.000119793
440,1206.886895,297,-0.00299785,0.00814975,0.000175302
440,1007.332111,298,-0.00281576,0.00767463,0.000126281
440,698.030541,299,-0.00220765,0.00597757,0.000106924
440,386.587146,300,-0.00146661,0.00397636,2.69E-05
440,159.942433,301,-0.000753531,0.00207564,-5.01E-05
440,155.191141,302,-0.000408091,0.00124351,-5.03E-05
440,346.273629,303,-0.000590322,0.00168674,-7.01E-05
440,659.279283,304,-0.00122748,0.00331649,-2.93E-06
440,962.975888,305,-0.00194683,0.00525135,7.74E-05
460,1181.841875,306,-0.00260986,0.00717899,0.000122106
460,1203.327441,307,-0.00295999,0.00810728,0.000174649
460,995.33306,308,-0.00277816,0.00763295,0.0001211
460,696.242765,309,-0.00216356,0.00592842,0.000107567
460,379.548789,310,-0.00142027,0.00392395,3.39E-05
460,149.135258,311,-0.000702021,0.00202253,-4.93E-05
460,151.164623,312,-0.000360493,0.00119305,-5.09E-05
460,350.267937,313,-0.0005675,0.00169242,-6.10E-05
460,668.057103,314,-0.00121,0.00336296,5.65E-06
460,974.829983,315,-0.00194494,0.00533954,7.83E-05
480,1186.738136,316,-0.0026638,0.00727803,0.000117203
480,1206.307074,317,-0.00280559,0.00768422,0.000117379
480,696.194446,318,-0.00218776,0.00596641,9.93E-05
480,385.153705,319,-0.00144589,0.00397404,2.43E-05
480,161.150388,320,-0.000731626,0.00207495,-5.44E-05
480,145.012103,321,-0.000393095,0.00124243,-5.43E-05
480,353.118713,322,-0.000582634,0.00170969,-7.26E-05
480,658.586721,323,-0.00122386,0.00335553,-6.18E-06
480,967.598341,324,-0.00194773,0.00531122,6.50E-05
500,1192.391384,325,-0.00264525,0.00728358,0.000110757
500,1211.026168,326,-0.00299834,0.00820415,0.000161311
500,1007.847507,327,-0.00280379,0.00771319,0.000108493
500,698.078859,328,-0.00218023,0.0059998,9.56E-05
500,379.436047,329,-0.00142887,0.00397612,1.48E-05
500,156.415203,330,-0.000710511,0.00206748,-6.25E-05
500,146.848195,331,-0.000375604,0.00125255,-6.01E-05
500,366.277379,332,-0.000574701,0.00174721,-7.71E-05
500,973.364327,333,-0.00194958,0.00538249,6.10E-05
520,1182.920985,334,-0.00262711,0.0072715,0.00011267
520,1198.946576,335,-0.00296123,0.00815192,0.000158157
520,995.139787,336,-0.00277161,0.00764769,0.000105895
520,682.665328,337,-0.0021383,0.0059218,8.31E-05
520,370.642127,338,-0.00140505,0.00392583,1.52E-05
520,146.413331,339,-0.000685341,0.00203535,-6.85E-05
520,141.8231,340,-0.000348761,0.00121353,-6.55E-05
520,354.374987,341,-0.000553321,0.00171922,-7.85E-05
520,672.003095,342,-0.00120725,0.0033998,-1.42E-05
520,977.503597,343,-0.00194531,0.00539061,6.00E-05
540,1198.43118,344,-0.00273397,0.00728581,0.000152683
540,1213.007222,345,-0.003065,0.00818321,0.000198806
540,1009.055465,346,-0.00287334,0.0076757,0.000147395
540,695.195868,347,-0.00224374,0.00594555,0.000126186
540,378.695167,348,-0.00149088,0.00392444,5.04E-05
540,156.125293,349,-0.000764943,0.00201981,-2.93E-05
540,151.857184,350,-0.000450292,0.00124063,-2.83E-05
540,364.666772,351,-0.000628585,0.00171046,-4.49E-05
540,668.894619,352,-0.00127809,0.0033759,2.29E-05
540,974.846089,353,-0.00200249,0.00534362,9.47E-05
560,1179.345426,354,-0.00264761,0.00725017,0.000140536
560,1191.006258,355,-0.00298202,0.00813291,0.000184302
560,989.116102,356,-0.00278848,0.00761396,0.000142901
560,674.58007,357,-0.00215145,0.00587969,0.000107195
560,355.599049,358,-0.001407,0.00385925,4.54E-05
560,134.349882,359,-0.000681842,0.00196663,-3.74E-05
560,139.970902,360,-0.000366101,0.00116852,-4.37E-05
560,350.783331,361,-0.000588881,0.0017097,-5.82E-05
560,668.68524,362,-0.00124373,0.00341692,2.05E-05
560,979.114208,363,-0.00198282,0.00541778,8.61E-05
580,1191.747139,364,-0.00267966,0.00735225,0.000137469
580,1205.888315,365,-0.00300636,0.00821096,0.00017662
580,998.087205,366,-0.00280367,0.00768256,0.000132925
580,682.24657,367,-0.00217274,0.00594591,0.000104358
580,371.366901,368,-0.00143144,0.0039338,3.53E-05
580,152.662488,369,-0.000715859,0.00204301,-4.93E-05
580,148.458803,370,-0.000392071,0.00123972,-4.94E-05
580,361.05901,371,-0.000597052,0.00174073,-6.34E-05
580,671.761504,372,-0.00124446,0.00341853,6.22E-06
580,979.677922,373,-0.00197507,0.00539273,7.14E-05
600,1202.795939,374,-0.00270265,0.00740068,0.000129403
600,1211.251654,375,-0.00302693,0.00827565,0.000171478
600,1005.689288,376,-0.00283511,0.00774214,0.000125511
600,687.078398,377,-0.00219216,0.00600006,0.000104964
600,372.349371,378,-0.00143646,0.0039646,3.05E-05
600,152.275942,379,-0.000712259,0.00206252,-5.09E-05
