MD_N_cycles--1,MD_Load--1 ,MD_index--1 ,eyy--1 ,exx--1 ,exy--1
1,303.962961,27,-0.00151118,0.00417056,-0.000166071
1,303.061021,28,-0.00155,0.00425394,-0.000168345
1,304.446143,29,-0.00155187,0.00425166,-0.000163467
1,303.608627,30,-0.00153648,0.00419695,-0.00015718
1,292.59207,31,-0.00149387,0.00407662,-0.000156954
1,285.360442,32,-0.00143642,0.00393292,-0.000160551
1,275.084764,33,-0.00139702,0.00384274,-0.000158736
1,275.873962,34,-0.00138427,0.00383064,-0.000162633
1,282.799575,35,-0.00140478,0.00389038,-0.000168216
1,295.330103,36,-0.00144462,0.00400465,-0.000167891
1,306.459403,37,-0.00147948,0.00411711,-0.000166326
1,311.178484,38,-0.00149817,0.00420588,-0.000173975
1,306.1856,39,-0.00150107,0.00420561,-0.000173908
1,295.120724,40,-0.00147235,0.00414418,-0.000168069
1,288.243429,41,-0.00142693,0.00401399,-0.000170839
1,282.49356,42,-0.00137666,0.00388418,-0.000174038
1,274.537158,43,-0.0013428,0.00381058,-0.000163113
1,279.465617,44,-0.00133627,0.00379478,-0.000163573
1,285.054426,45,-0.00135735,0.0038477,-0.000166403
1,297.778227,46,-0.00140833,0.00397402,-0.000169044
1,301.692004,47,-0.00144937,0.00409592,-0.000168817
1,305.493038,48,-0.00147797,0.00417779,-0.000166699
1,304.059597,49,-0.00147863,0.00417841,-0.000168841
1,292.350479,50,-0.00145314,0.00412095,-0.000166538
1,284.313546,51,-0.00140672,0.0039861,-0.000166757
1,277.532888,52,-0.00136288,0.00386213,-0.000166137
1,262.82804,53,-0.00132293,0.00377708,-0.00016344
1,270.285154,54,-0.00132255,0.00376897,-0.000165048
1,281.011801,55,-0.00134557,0.00382419,-0.000162366
1,295.491164,56,-0.00139655,0.00395578,-0.000166543
1000,482.305592,57,-0.00221447,0.00625695,-0.000249718
1000,492.371895,58,-0.00249091,0.00699815,-0.000280671
1000,416.512245,59,-0.00237902,0.00668963,-0.000270783
1000,293.751708,60,-0.00188589,0.00535936,-0.000227124
1000,157.333249,61,-0.00123106,0.00359075,-0.000135293
1000,72.856898,62,-0.000662994,0.00199459,-8.38E-05
1000,67.010394,63,-0.000411822,0.00131459,-3.59E-05
1000,144.577239,64,-0.00054406,0.00168893,-7.86E-05
1000,271.750807,65,-0.00102127,0.00298639,-0.000113224
1000,398.586176,66,-0.00165396,0.00471379,-0.000199625
4000,485.848931,67,-0.0023522,0.00633549,-0.000226636
4000,509.428239,68,-0.00271454,0.00732974,-0.000273441
4000,449.529713,69,-0.00266327,0.0072241,-0.000274596
4000,322.77486,70,-0.00219719,0.00599633,-0.000217139
4000,181.959436,71,-0.00151438,0.00418661,-0.000154819
4000,76.303598,72,-0.000846255,0.00242059,-8.34E-05
4000,52.273339,73,-0.000482247,0.00147006,-3.32E-05
4000,118.582037,74,-0.000507388,0.00155461,-4.93E-05
4000,245.820024,75,-0.000978335,0.00282985,-0.000128559
4000,379.79038,76,-0.00164317,0.00462706,-0.000218376
8000,489.424482,77,-0.00225224,0.00654948,-0.000277951
8000,510.314073,78,-0.00259143,0.00747602,-0.000324862
8000,443.344977,79,-0.00252581,0.00729395,-0.000320273
8000,312.901834,80,-0.00204342,0.00600506,-0.000258569
8000,171.103942,81,-0.00135034,0.00415773,-0.000184885
8000,67.912334,82,-0.000694822,0.00241808,-0.00010171
8000,56.57366,83,-0.00036598,0.00153509,-5.31E-05
8000,125.781452,84,-0.000456427,0.00178579,-0.000105142
8000,254.549517,85,-0.000932394,0.00304174,-0.000139485
8000,391.225697,86,-0.00160484,0.0048466,-0.000225975
12000,488.586965,87,-0.00243502,0.00668199,-0.000297356
12000,505.466142,88,-0.00275656,0.00754099,-0.000338809
12000,433.810176,89,-0.00265215,0.00727187,-0.000330282
12000,303.495885,90,-0.00214876,0.00593453,-0.000255522
12000,163.179754,91,-0.00144995,0.00406716,-0.000195482
12000,67.47747,92,-0.000811548,0.00236781,-0.000100521
12000,56.171008,93,-0.000508448,0.00156748,-6.51E-05
12000,134.365988,94,-0.00062247,0.00188231,-0.000123949
12000,261.217432,95,-0.00112251,0.00320893,-0.000153958
12000,398.457328,96,-0.00180382,0.00502885,-0.000237243
16000,490.310316,97,-0.00238396,0.00680791,-0.000284515
16000,507.849842,98,-0.00267284,0.00758755,-0.000329501
16000,423.792194,99,-0.00255253,0.00724554,-0.000307178
16000,289.854037,100,-0.00202666,0.00584795,-0.000237796
16000,153.532216,101,-0.00131891,0.00397298,-0.000177007
16000,59.73045,102,-0.000706246,0.00230349,-8.45E-05
16000,60.761239,103,-0.000441182,0.00158219,-4.60E-05
16000,135.348459,104,-0.000578928,0.00197104,-0.000105687
16000,270.736124,105,-0.00109578,0.00334199,-0.000145849
16000,409.361145,106,-0.00177477,0.00517628,-0.000232764
20000,497.396993,107,-0.00246687,0.00689435,-0.000300044
20000,497.960706,108,-0.00273237,0.00760842,-0.000333068
20000,419.86231,109,-0.00258548,0.00719091,-0.000320338
20000,283.782046,110,-0.00203323,0.00573316,-0.000246912
20000,137.877112,111,-0.00134042,0.00386598,-0.000175393
20000,59.070101,112,-0.000739395,0.00223384,-9.55E-05
20000,59.666026,113,-0.000493519,0.00158093,-5.59E-05
20000,146.381119,114,-0.000663778,0.00204469,-0.000117215
20000,280.818528,115,-0.00119049,0.00346963,-0.000154061
20000,414.88553,116,-0.00187893,0.00531462,-0.000256798
24000,499.50689,117,-0.0024986,0.0070328,-0.000306994
24000,501.536257,118,-0.00273606,0.00768055,-0.000341953
24000,410.794586,119,-0.0026009,0.00729664,-0.000322894
24000,275.906174,120,-0.00199399,0.00568928,-0.000259524
24000,138.29587,121,-0.00128852,0.00380124,-0.000176139
24000,62.194679,122,-0.000713922,0.00222042,-0.000115816
24000,63.273786,123,-0.000493953,0.00163811,-6.74E-05
24000,155.577687,124,-0.000681641,0.00216275,-0.000121206
24000,287.840777,125,-0.00122607,0.00364445,-0.000163266
24000,421.778933,126,-0.00190648,0.00548144,-0.00026994
28000,429.268261,127,-0.00187936,0.00561194,-0.000239513
28000,502.534834,128,-0.00243508,0.00710316,-0.00029154
28000,496.027976,129,-0.00265029,0.00767696,-0.000320126
28000,400.373951,130,-0.00244485,0.00711004,-0.000289151
28000,262.844146,131,-0.0018641,0.00556819,-0.000244456
28000,129.43753,132,-0.00116971,0.0036712,-0.000142938
28000,55.881099,133,-0.000614275,0.00214134,-0.000101905
28000,67.042606,134,-0.000425803,0.00163428,-4.10E-05
28000,163.389133,135,-0.000643765,0.00223831,-8.69E-05
28000,297.842651,136,-0.00119969,0.00377188,-0.000147193
32000,435.565739,137,-0.00208236,0.00575364,-0.000274367
32000,505.739945,138,-0.00261661,0.00720367,-0.000327919
32000,494.014716,139,-0.00280301,0.00771467,-0.000356792
32000,396.669553,140,-0.00257393,0.0070715,-0.000322672
32000,257.786838,141,-0.00196669,0.00546564,-0.000279413
32000,120.563084,142,-0.00127593,0.00357197,-0.00017466
32000,57.652767,143,-0.000736193,0.00210654,-0.000143636
32000,68.685426,144,-0.000575961,0.00166393,-7.32E-05
32000,171.200579,145,-0.00139115,0.00390643,-0.000194745
32000,434.82486,146,-0.00207551,0.0057389,-0.000275767
36000,447.886892,147,-0.00191393,0.00587037,-0.00022764
36000,501.181923,148,-0.00243077,0.00727224,-0.000291409
36000,489.086254,149,-0.00259108,0.00771699,-0.000310297
36000,387.005904,150,-0.00233449,0.00699601,-0.000278729
36000,249.153981,151,-0.00172965,0.00535462,-0.000227968
36000,115.570202,152,-0.00105112,0.00346873,-0.000136018
36000,52.06396,153,-0.00053984,0.00206824,-9.90E-05
36000,75.43387,154,-0.00039575,0.0016874,-4.01E-05
36000,181.508466,155,-0.000674455,0.00244693,-7.45E-05
36000,320.874343,156,-0.00118008,0.00385319,-0.000144782
40000,441.331717,157,-0.00211013,0.00600883,-0.000231003
40000,506.110385,158,-0.00261223,0.00735007,-0.000294739
40000,482.337805,159,-0.00274896,0.00772821,-0.000318738
40000,378.743485,160,-0.0024592,0.00692982,-0.000272105
40000,232.854633,161,-0.00184985,0.00526715,-0.000221814
40000,105.970982,162,-0.0011645,0.0033772,-0.000147334
40000,50.405035,163,-0.000675182,0.00205053,-9.98E-05
40000,83.325845,164,-0.000555561,0.00172952,-4.35E-05
40000,185.148439,165,-0.000804223,0.0024266,-8.16E-05
40000,329.281716,166,-0.00144425,0.00418417,-0.000167753
44000,455.070205,167,-0.00214143,0.00595088,-0.000258253
44000,509.122223,168,-0.00268709,0.00743214,-0.000326314
44000,477.457661,169,-0.00279903,0.00773386,-0.000345435
44000,366.341804,170,-0.00247676,0.00685356,-0.000293247
44000,227.12087,171,-0.00185363,0.00515484,-0.000238136
44000,103.15242,172,-0.00117443,0.00327177,-0.00016758
44000,50.662732,173,-0.000695596,0.00199959,-0.000119958
44000,83.744603,174,-0.000603182,0.00174698,-7.33E-05
44000,191.252641,175,-0.000924961,0.00264643,-0.000127529
44000,336.223436,176,-0.00153393,0.00430882,-0.000192507
48000,463.799702,177,-0.0022267,0.00625187,-0.000286766
48000,506.078173,178,-0.00268928,0.00749684,-0.000331637
48000,472.658048,179,-0.002774,0.00772293,-0.000351207
48000,357.515672,180,-0.00179653,0.00504764,-0.000240514
48000,95.936899,181,-0.00112468,0.00318159,-0.000174098
48000,45.637638,182,-0.000671651,0.00196864,-0.000126756
48000,95.534248,183,-0.000603852,0.00179704,-9.06E-05
48000,200.207618,184,-0.000959122,0.0027499,-0.000154027
48000,348.23857,185,-0.00157573,0.00445615,-0.000208705
52000,461.174411,186,-0.00230929,0.00636351,-0.000271523
52000,499.973967,187,-0.00274367,0.00753689,-0.000319904
52000,465.200932,188,-0.00280248,0.00769894,-0.000327341
52000,350.300149,189,-0.00242984,0.00667145,-0.000275792
52000,203.606,190,-0.00180112,0.00493386,-0.00021948
52000,95.27655,191,-0.00112482,0.00308354,-0.000145779
52000,50.34061,192,-0.000697472,0.00192983,-9.34E-05
52000,95.179914,193,-0.000647076,0.001788,-6.06E-05
52000,211.353022,194,-0.00103348,0.00285007,-0.000133284
52000,353.45694,195,-0.00165793,0.00457465,-0.000197644
56000,474.365293,196,-0.00231552,0.00651102,-0.000228191
56000,511.425393,197,-0.00274736,0.00764884,-0.000278957
56000,465.941811,198,-0.00279213,0.00772799,-0.000284199
56000,342.247109,199,-0.00240192,0.0066249,-0.000231831
56000,200.352573,200,-0.00176798,0.00485114,-0.000179533
56000,87.352363,201,-0.00110817,0.00301701,-0.000105207
56000,51.419717,202,-0.00071395,0.00193645,-5.04E-05
56000,101.815616,203,-0.000705757,0.00191265,-5.36E-05
56000,224.688852,204,-0.00110152,0.00298115,-0.000111869
56000,362.379708,205,-0.0017356,0.00473948,-0.000183344
60000,473.43114,206,-0.00236841,0.0066021,-0.00031577
60000,508.123646,207,-0.00275925,0.00767357,-0.000366919
60000,455.633918,208,-0.00276582,0.00767812,-0.000365642
60000,331.262763,209,-0.00234441,0.0065194,-0.000313468
60000,189.400442,210,-0.00167996,0.00471451,-0.00024883
60000,76.722355,211,-0.00102234,0.00290732,-0.000174694
60000,52.820945,212,-0.000643222,0.00188054,-0.000112315
60000,103.410117,213,-0.000661466,0.00193993,-0.000121358
60000,232.629148,214,-0.00107837,0.00306994,-0.000182591
60000,369.27311,215,-0.00171803,0.00483376,-0.000252118
64000,478.971633,216,-0.00238686,0.00673171,-0.000267572
64000,506.529143,217,-0.00276386,0.0077412,-0.000323293
64000,448.434499,218,-0.00273476,0.0076695,-0.000319669
64000,323.306361,219,-0.00229271,0.00645936,-0.000263466
64000,183.489513,220,-0.00162697,0.00463025,-0.000194186
64000,78.188008,221,-0.000988204,0.0028623,-0.000126186
64000,56.992418,222,-0.000636539,0.00190374,-6.97E-05
64000,114.249504,223,-0.000675494,0.00203638,-0.000100242
64000,238.089107,224,-0.00111536,0.00322345,-0.000143701
64000,378.614637,225,-0.00177091,0.0050208,-0.000214973
68000,487.282372,226,-0.00250316,0.00683953,-0.000279499
68000,506.223128,227,-0.00285391,0.00778867,-0.00033624
68000,445.164965,228,-0.00280121,0.0076398,-0.000324801
68000,314.528548,229,-0.00233738,0.00636754,-0.000277377
68000,172.215261,230,-0.00165884,0.00452322,-0.00019127
68000,72.389822,231,-0.000704342,0.00188262,-6.96E-05
68000,119.918841,232,-0.000775652,0.00208778,-0.000114987
68000,254.74279,233,-0.00123264,0.00333077,-0.000165227
68000,392.836305,234,-0.0018866,0.00514317,-0.000222053
72000,486.654235,235,-0.00244667,0.00694461,-0.000271395
72000,507.108962,236,-0.00278207,0.00783913,-0.000326105
72000,439.946594,237,-0.00269722,0.00761112,-0.000315617
72000,306.282236,238,-0.00220987,0.00628096,-0.000258639
72000,166.159377,239,-0.00153487,0.00441309,-0.000175397
72000,71.938852,240,-0.000910559,0.00270524,-0.000115314
72000,56.026054,241,-0.00060491,0.00188394,-6.72E-05
72000,130.210622,242,-0.000705179,0.0021557,-0.000117069
72000,258.447187,243,-0.00118777,0.00343688,-0.000163023
72000,396.47628,244,-0.00184539,0.00526527,-0.000228203
76000,490.37474,245,-0.00250851,0.00702587,-0.000291579
76000,504.886323,246,-0.0028066,0.0078501,-0.000338036
76000,430.186308,247,-0.00269781,0.0075432,-0.000321237
76000,293.719496,248,-0.00219628,0.00616706,-0.000265964
76000,157.607052,249,-0.00151252,0.00429044,-0.000188996
