MD_N_cycles--1,MD_Load--1 ,MD_index--1 ,eyy--1 ,exx--1 ,exy--1
0,15.454861,0,0,0,-3.75E-19
0,14.069739,1,2.45E-05,-3.34E-05,-2.35E-05
0,13.071163,2,9.95E-06,-3.36E-05,-1.64E-05
0,15.648134,3,2.10E-05,-4.16E-05,-1.57E-05
0,11.750465,4,2.17E-05,-4.95E-05,-2.38E-05
0,10.558616,5,2.26E-05,-4.86E-05,-1.61E-05
0,13.506027,6,1.78E-05,-5.32E-05,-1.21E-05
0,16.517862,7,3.23E-05,-5.43E-05,-3.71E-07
0,12.314177,8,5.38E-06,-5.51E-05,-1.92E-05
0,11.686041,9,5.65E-06,-5.77E-05,-3.74E-06
0,34.717722,10,-8.31E-06,-3.18E-06,-1.27E-05
0,71.036912,11,-5.15E-05,0.000112738,-3.06E-06
0,117.406294,12,-0.000100965,0.000251674,4.10E-06
0,159.040493,13,-0.000160275,0.000351017,-2.39E-05
0,200.835755,14,-0.000211989,0.000461031,-1.40E-05
0,236.253015,15,-0.000244792,0.000549753,-1.91E-05
0,271.976292,16,-0.000380613,0.00066886,-6.55E-05
0,307.860632,17,-0.00036577,0.000834729,-1.08E-05
0,332.164704,18,-0.000361597,0.000868185,-5.43E-05
0,358.079385,19,-0.000411391,0.000945999,-8.70E-05
0,392.304805,20,-0.000452116,0.00103897,-0.000108641
0,418.702672,21,-0.000467494,0.00111549,-0.000113916
0,450.431653,22,-0.000526323,0.00119178,-0.000130887
0,484.753717,23,-0.000559081,0.00127258,-0.000149525
0,502.116076,24,-0.000565752,0.00135446,-0.000184751
0,532.443835,25,-0.000629074,0.00143786,-0.000187245
0,565.847858,26,-0.000661655,0.00152205,-0.000203368
0,600.798069,27,-0.000726172,0.00162696,-0.000224659
0,626.632237,28,-0.000752094,0.0017044,-0.000243285
0,653.803212,29,-0.000781455,0.00178345,-0.000270282
0,680.442687,30,-0.000831408,0.0018639,-0.000299989
0,703.120066,31,-0.000863963,0.00193431,-0.000324051
0,730.548745,32,-0.000890591,0.00201252,-0.000338712
0,757.768046,33,-0.000920779,0.00209332,-0.000355092
0,785.35779,34,-0.000954772,0.00217699,-0.000368337
1,880.625372,35,-0.00105843,0.00239579,-0.000397655
1,922.372394,36,-0.00111241,0.00250551,-0.000433846
1,939.380441,37,-0.00113483,0.00258447,-0.000463111
1,911.291394,38,-0.00114794,0.00257918,-0.000482572
1,867.466687,39,-0.00111885,0.0025025,-0.000482372
1,788.224675,40,-0.00104812,0.00231759,-0.000484337
1,739.632582,41,-0.000965641,0.00212551,-0.000502043
1,721.915878,42,-0.00091573,0.00202081,-0.00049556
1,755.77089,43,-0.000917714,0.0020251,-0.00048946
1,822.160225,44,-0.000977945,0.00217802,-0.000502164
3500,1363.325724,45,-0.00151139,0.00362781,-0.000676524
3500,1424.33577,46,-0.00173594,0.00419482,-0.000663949
3500,1230.579003,47,-0.00168305,0.00404517,-0.00066861
3500,861.861764,48,-0.00136426,0.00321804,-0.000686706
3500,479.1488,49,-0.000932769,0.00213044,-0.000709769
3500,205.490411,50,-0.000524278,0.00114379,-0.000734046
3500,153.693276,51,-0.000305466,0.000618821,-0.000751477
3500,353.360304,52,-0.000363872,0.000778518,-0.000732183
3500,714.925833,53,-0.000684982,0.00157023,-0.000702234
3500,1088.490813,54,-0.00111575,0.00261893,-0.000710653
7000,1357.672471,55,-0.00149999,0.00362831,-0.000666607
7000,1426.816116,56,-0.0017329,0.00422685,-0.000649874
7000,1244.188679,57,-0.00169976,0.00412238,-0.000661028
7000,882.091028,58,-0.00139224,0.00332363,-0.000666928
7000,501.72953,59,-0.0009625,0.00223872,-0.000689433
7000,213.173009,60,-0.000544203,0.00123359,-0.000725028
7000,147.202529,61,-0.00031387,0.000675096,-0.000737168
7000,336.545557,62,-0.000355014,0.000789487,-0.000719681
7000,1067.504546,63,-0.00108764,0.00259147,-0.000697124
10500,1338.699446,64,-0.00149083,0.00357999,-0.000669318
10500,1432.759281,65,-0.00174213,0.00422465,-0.000654109
10500,1262.742937,66,-0.00172981,0.00417408,-0.000664195
10500,918.490823,67,-0.00144232,0.00342638,-0.000667394
10500,525.276627,68,-0.00101343,0.00234231,-0.000687442
10500,227.330249,69,-0.000589179,0.0013172,-0.000726223
10500,148.184999,70,-0.000344026,0.000724559,-0.00074034
10500,315.108367,71,-0.000362099,0.000779676,-0.000727915
10500,660.503346,72,-0.000652323,0.00150611,-0.000702112
10500,1042.797768,73,-0.00108026,0.0025508,-0.000698015
14000,1332.659646,74,-0.00152627,0.00349625,-0.0006623
14000,1435.35237,75,-0.00179307,0.00417722,-0.000654173
14000,1288.045664,76,-0.00179839,0.00417891,-0.000662855
14000,944.808199,77,-0.00152614,0.00346686,-0.000667031
14000,552.608655,78,-0.00110049,0.00238503,-0.000685057
14000,246.190463,79,-0.00067056,0.00135108,-0.000721545
14000,148.780924,80,-0.000411741,0.000717613,-0.000741062
14000,291.77066,81,-0.00040832,0.000722222,-0.00073325
14000,1019.379482,82,-0.00110995,0.00245158,-0.000686284
17500,1312.36592,83,-0.00147848,0.00348513,-0.00066037
17500,1430.198405,84,-0.00175976,0.00420792,-0.000652889
17500,1304.828251,85,-0.00178633,0.00426538,-0.000660395
17500,969.466649,86,-0.00152876,0.00359206,-0.000671558
17500,575.881951,87,-0.00110565,0.00252031,-0.000688029
17500,258.608248,88,-0.000671817,0.00147161,-0.000717215
17500,144.383966,89,-0.000413662,0.000844497,-0.00073403
17500,276.163872,90,-0.000372316,0.00075899,-0.000733303
17500,614.005063,91,-0.00063295,0.00141055,-0.00071885
17500,996.508806,92,-0.00105166,0.00244893,-0.000679457
