MD_N_cycles--1,MD_Load--1,MD_index--1 ,exx--1 ,eyy--1 ,exy--1
3500,782.651966,186,-0.00137613,0.00428912,-0.000101295
3500,918.410292,187,-0.00180636,0.0055303,-0.000130985
3500,904.848952,188,-0.00196749,0.00599372,-0.000149632
3500,723.751973,189,-0.0017794,0.00548318,-0.000132633
3500,476.346341,190,-0.00132175,0.00417284,-0.000098
3500,237.686455,191,-0.00078046,0.00262096,-0.0000885
3500,113.395882,192,-0.00034964,0.00140161,-0.0000486
3500,141.645933,193,-0.000209845,0.000989568,-0.0000562
3500,303.995173,194,-0.000390599,0.00153201,-0.0000504
3500,551.239637,195,-0.000834831,0.00279987,-0.0000958
4500,824.898262,196,-0.00148167,0.00465234,-0.00015031
4500,917.943215,197,-0.00184264,0.0056958,-0.000180378
4500,854.372426,198,-0.00190849,0.00588447,-0.000172398
4500,660.229542,199,-0.00162793,0.00510885,-0.000162687
4500,397.684236,200,-0.00113736,0.00369812,-0.000130945
4500,183.74721,201,-0.000597049,0.00217035,-0.000106013
4500,86.498741,202,-0.000235565,0.00112017,-0.0000836
4500,149.537909,203,-0.00017196,0.000928046,-0.0000678
4500,347.803706,204,-0.000428483,0.00170025,-0.0000849
4500,598.140565,205,-0.000916146,0.00306846,-0.000101457
5500,853.228893,206,-0.0015793,0.00490473,-0.000145129
5500,910.405558,207,-0.00188338,0.00577023,-0.000164295
5500,807.841903,208,-0.00187598,0.00573353,-0.000162209
5500,581.374127,209,-0.00152402,0.00474232,-0.000140901
5500,325.31962,210,-0.0010078,0.00323593,-0.000102822
5500,137.925431,211,-0.00050118,0.00179466,-0.0000847
5500,92.57073,212,-0.000222819,0.000982401,-0.0000642
5500,203.68653,213,-0.000259128,0.00108205,-0.0000656
5500,431.845235,214,-0.000613008,0.00210578,-0.0000751
5500,682.24657,215,-0.00113812,0.00358945,-0.0000999
6500,886.649055,216,-0.00167367,0.00529905,-0.000138814
6500,897.730054,217,-0.00189294,0.00591472,-0.000159161
6500,753.467719,218,-0.00177567,0.00560106,-0.000145026
6500,517.626236,219,-0.00136449,0.00443065,-0.000124169
6500,265.952619,220,-0.00082629,0.00288153,-0.0000973
6500,107.774862,221,-0.000354309,0.00153278,-0.0000611
6500,101.654555,222,-0.00014985,0.000936402,-0.0000593
6500,245.530114,223,-0.000254475,0.00126682,-0.0000667
6500,489.4728,224,-0.000667914,0.00244334,-0.0000871
6500,731.901657,225,-0.00120102,0.00397046,-0.000103563
7500,799.257353,226,-0.0013462,0.00429739,-0.000139926
7500,919.03843,227,-0.00181119,0.00563288,-0.000175886
7500,891.770796,228,-0.00195432,0.00601977,-0.000184922
7500,708.757199,229,-0.00174833,0.00543712,-0.000173273
7500,457.163996,230,-0.00129607,0.00409268,-0.000140704
7500,219.422166,231,-0.000748481,0.00253737,-0.00013466
7500,99.576872,232,-0.000349241,0.00135289,-0.000103147
7500,130.983713,233,-0.000216255,0.00096943,-0.0000948
7500,306.797631,234,-0.000414899,0.00154242,-0.00010035
7500,548.260011,235,-0.000868354,0.00281762,-0.000135782
8500,826.428342,236,-0.0014646,0.00477319,-0.000104415
8500,907.651414,237,-0.00181528,0.00577959,-0.000140715
8500,836.365805,238,-0.00186619,0.0059099,-0.000138558
8500,632.994142,239,-0.00157372,0.0050871,-0.000124653
8500,373.041933,240,-0.00108021,0.00363599,-0.0000926
8500,160.747737,241,-0.000548869,0.0021262,-0.0000691
8500,83.599648,242,-0.00020758,0.00112294,-0.0000532
8500,158.76669,243,-0.000159844,0.0010076,-0.0000473
8500,371.592386,244,-0.00041432,0.00174053,-0.0000617
8500,623.20164,245,-0.000962289,0.00329933,-0.0000785
9500,860.444426,246,-0.00159142,0.00505203,-0.000138284
9500,906.813897,247,-0.00187402,0.00585777,-0.000149895
9500,788.434055,248,-0.00184173,0.00576235,-0.000150818
9500,563.512476,249,-0.00152406,0.00486181,-0.000129124
9500,305.428614,250,-0.000949747,0.00320432,-0.0000878
9500,127.746392,251,-0.000444791,0.0017803,-0.0000761
9500,89.719955,252,-0.00018114,0.00101891,-0.0000628
9500,208.840474,253,-0.000243931,0.00118719,-0.0000695
9500,447.677513,254,-0.00060794,0.00225475,-0.0000807
9500,699.335134,255,-0.0011419,0.00375924,-0.000105579
10500,888.662318,256,-0.0016983,0.00528415,-0.000143706
10500,892.044599,257,-0.0019088,0.00588621,-0.000166828
10500,742.596104,258,-0.00177899,0.00552569,-0.000148445
10500,497.348675,259,-0.00135397,0.00431824,-0.000131235
10500,250.748483,260,-0.000806391,0.0027601,-0.000117128
10500,108.161408,261,-0.000356005,0.00146432,-0.0000701
10500,112.961018,262,-0.00017454,0.000936292,-0.0000709
10500,269.946926,263,-0.000310587,0.00135575,-0.0000752
10500,514.968732,264,-0.000752565,0.0025843,-0.000108777
10500,757.429818,265,-0.00128902,0.00411331,-0.000120461
11500,811.707367,266,-0.00142614,0.00458715,-0.000125938
11500,925.706357,267,-0.00183321,0.00573513,-0.000161906
11500,889.741427,268,-0.00195207,0.00608015,-0.000163703
11500,697.740631,269,-0.00177031,0.00555197,-0.000153367
11500,445.680359,270,-0.00125602,0.00407523,-0.000112856
11500,213.237433,271,-0.000706951,0.00252052,-0.000103316
11500,99.931205,272,-0.000313406,0.00138025,-0.0000713
11500,145.302012,273,-0.00019983,0.00105328,-0.0000727
11500,323.547952,274,-0.000416235,0.00168392,-0.0000746
11500,573.256659,275,-0.000880497,0.00300109,-0.0000984
12500,855.354898,276,-0.00154306,0.00495519,-0.000134317
12500,926.302283,277,-0.00189163,0.00591851,-0.000154354
12500,849.782187,278,-0.00192109,0.00600831,-0.000156948
12500,631.141942,279,-0.00164978,0.00524866,-0.000142587
12500,374.958556,280,-0.0010937,0.0036517,-0.000105125
12500,162.841526,281,-0.000563581,0.0021395,-0.0000871
12500,99.303068,282,-0.000238243,0.00118158,-0.0000753
12500,177.047083,283,-0.000208155,0.00110427,-0.0000735
12500,385.250342,284,-0.00050425,0.00196701,-0.0000855
12500,628.484437,285,-0.000993952,0.00336945,-0.0000954
13500,888.485151,286,-0.00168546,0.00527472,-0.000115928
13500,927.123695,287,-0.00194973,0.00602447,-0.000130704
13500,795.907284,288,-0.00188568,0.00585136,-0.000130042
13500,562.207883,289,-0.0015121,0.00475962,-0.000103383
13500,309.390709,290,-0.00096883,0.0032234,-0.0000655
13500,135.332353,291,-0.000472995,0.0017944,-0.000059
13500,100.800933,292,-0.000225811,0.00106334,-0.0000456
13500,226.637688,293,-0.000277852,0.00124323,-0.0000593
13500,453.830037,294,-0.000642358,0.00228147,-0.0000666
13500,687.271671,295,-0.00115919,0.00374218,-0.0000933
14500,897.552887,296,-0.00175527,0.00548107,-0.000112709
14500,894.412197,297,-0.00194588,0.0060059,-0.000124362
14500,733.576691,298,-0.00179606,0.00556631,-0.000121521
14500,488.635283,299,-0.00135885,0.00431001,-0.000088
14500,237.702561,300,-0.000823819,0.00275479,-0.0000735
14500,99.399705,301,-0.000370177,0.00146116,-0.0000304
14500,105.11736,302,-0.000202056,0.000954302,-0.0000248
14500,271.992398,303,-0.000359013,0.00141048,-0.0000285
14500,517.449069,304,-0.000797612,0.0026609,-0.0000757
14500,758.621669,305,-0.0013427,0.00420604,-0.0000894
15500,812.512672,306,-0.00146924,0.00464184,-0.000115702
15500,921.728149,307,-0.00186663,0.00577487,-0.000150428
15500,877.243091,308,-0.00197131,0.00607097,-0.000146484
15500,680.394369,309,-0.00172148,0.00538082,-0.000136618
15500,432.537796,310,-0.00122803,0.00398361,-0.000104178
15500,201.463892,311,-0.000753656,0.00259276,-0.0000972
15500,98.642719,312,-0.000312655,0.00133962,-0.0000637
15500,148.152787,313,-0.000218262,0.00107022,-0.0000661
15500,342.810822,314,-0.000459945,0.00177722,-0.0000746
15500,590.651234,315,-0.00093398,0.00311892,-0.000087
16500,856.659493,316,-0.00159936,0.00502946,-0.000150308
16500,930.779781,317,-0.00194193,0.00597107,-0.00017573
16500,840.102421,318,-0.00196112,0.00601322,-0.000165883
16500,618.015479,319,-0.00162557,0.00507678,-0.000154376
16500,361.316707,320,-0.00110823,0.0035886,-0.000126508
16500,157.558734,321,-0.000593439,0.00210211,-0.000101714
16500,101.332433,322,-0.000279971,0.00119801,-0.000085
16500,193.507491,323,-0.00027581,0.00119363,-0.0000806
16500,405.817807,324,-0.000598914,0.00212031,-0.000099
16500,657.02443,325,-0.0011125,0.00355344,-0.000121516
17500,885.102869,326,-0.00164442,0.00529736,-0.000136299
17500,907.860793,327,-0.0018896,0.00600197,-0.000155821
17500,772.601761,328,-0.0018092,0.00577281,-0.000150309
17500,532.266668,329,-0.00141688,0.00465844,-0.000126516
17500,278.209343,330,-0.0008823,0.00311263,-0.0000971
17500,118.292128,331,-0.000386379,0.00171094,-0.0000687
17500,90.283668,332,-0.000158011,0.00104747,-0.0000641
17500,225.961232,333,-0.000243725,0.00131379,-0.0000716
17500,467.826223,334,-0.000642979,0.00244408,-0.0000926
17500,723.413745,335,-0.00118368,0.00397839,-0.000103638
18500,776.064572,336,-0.0013625,0.00437177,-0.000128682
18500,913.336869,337,-0.0017919,0.00559307,-0.000153329
18500,895.63626,338,-0.00195391,0.00606239,-0.000165622
18500,726.683282,339,-0.00178282,0.00556982,-0.000150936
18500,474.83237,340,-0.00134167,0.00427964,-0.000119783
18500,103.619496,341,-0.000356314,0.00147342,-0.0000686
18500,114.539413,342,-0.000206159,0.00101853,-0.0000675
18500,287.566974,343,-0.00037315,0.00152213,-0.0000696
18500,527.418736,344,-0.000812979,0.00277943,-0.000108506
19500,804.089182,345,-0.00144147,0.00466117,-0.00013329
19500,900.017121,346,-0.00182238,0.00572633,-0.000165354
19500,846.206633,347,-0.00189995,0.00595145,-0.00016013
19500,647.103078,348,-0.00164452,0.00521494,-0.000150627
19500,395.010627,349,-0.00114054,0.00380292,-0.000123153
19500,170.70129,350,-0.000608137,0.00226578,-0.0000868
