Machine_Displacement,Machine_Load,MD_index--1,v--1,MD_Load--1,Specimen_name
0.100453824,0.011960352,156,0.749267,0.449562183,
0.101376034,0.012206507,157,0.757267,0.439811564,
0.102162637,0.012196175,158,0.765863,0.424701469,
0.103057727,0.01225445,159,0.772868,0.416561282,
0.10388501,0.012205853,160,0.781295,0.411393402,
0.104719073,0.012166697,161,0.786053,0.407483834,
0.105587043,0.011940053,162,0.792727,0.400472502,
0.106360078,0.011976988,163,0.800448,0.388552202,
0.107275516,0.011870477,164,0.80763,0.377330964,
0.108014643,0.011791593,165,0.814364,0.371308676,
0.108943641,0.01202354,166,0.821522,0.3589068,
0.109662428,0.012076037,167,0.831085,0.34766485,
0.110564299,0.01224919,168,0.841211,0.325760912,
0.111350894,0.012063969,169,0.850056,0.316383127,
0.112198524,0.012151694,170,0.863211,0.283195815,
0.113059707,0.012102884,171,0.872629,0.278167748,
0.11387343,0.012108522,172,0.880186,0.275801294,
0.11476174,0.011882509,173,0.887301,0.269634015,
0.115507655,0.012095191,174,0.894925,0.263497806,
0.116443433,0.01222201,175,0.902809,0.257604974,
0.11716222,0.012181456,176,0.91015,0.253664337,
0.118091218,0.012276133,177,0.918006,0.247289929,
0.118843906,0.012285247,178,0.926366,0.242541487,
0.119739003,0.012210793,179,0.93417,0.24265023,
0.120539159,0.012397646,180,0.943176,0.239377585,
0.121359661,0.012349078,181,0.950516,0.239258486,
0.122247972,0.012278539,182,0.953759,0.238978861,
0.123041354,0.01247891,183,0.963586,0.238310869,
0.123943225,0.012638638,184,0.970847,0.238357473,
0.124675572,0.012864049,185,0.977029,0.239424189,
0.12563169,0.012729028,186,0.982875,0.239636497,
0.126364037,0.013035757,187,0.989101,0.239843626,
0.127293035,0.012971595,188,0.995225,0.239439724,
0.128059298,0.01296159,189,1.00146,0.236659011,
0.128954396,0.012878696,190,1.00865,0.236659011,
0.129774883,0.012815721,191,1.01594,0.234173458,
0.130608961,0.012846971,192,1.02373,0.229704641,
0.131476924,0.012931828,193,1.03125,0.224241603,
0.132236391,0.01324806,194,1.03888,0.215676801,
0.133145049,0.013402303,195,1.04669,0.208422093,
0.133870617,0.013464045,196,1.05649,0.200012639,
0.134806395,0.013432996,197,1.06539,0.19666232,
0.135545522,0.013588035,198,1.06962,0.193415567,
0.13647452,0.013510382,199,1.07967,0.188656768,
0.137247562,0.013653391,200,1.08726,0.186989377,
0.138122305,0.013638492,201,1.09558,0.179330766,
0.138963148,0.013685844,202,1.10368,0.1707815,
0.139756531,0.013509096,203,1.11193,0.158742102,
0.140644848,0.013675906,204,1.12105,0.139624057,
0.141397536,0.013573135,205,1.12822,0.115224211,
0.142319754,0.013957694,206,1.13514,0.109719747,
0.143031761,0.013566098,207,1.14314,0.107073669,
0.143953979,0.013868625,208,1.14948,0.105178434,
0.144733787,0.01381176,209,1.15701,0.104127253,
0.145615324,0.013604641,210,1.16499,0.103376409,
0.146429047,0.013642665,211,1.17229,0.102470217,
0.14728345,0.013599036,212,1.17925,0.101356897,
0.148158193,0.014188946,213,1.18677,0.100129655,
0.148938015,0.014255987,214,1.19206,0.100259111,
0.149860233,0.014590582,215,1.19915,0.098037648,
0.150619701,0.014448448,216,1.20766,0.096582563,
0.151548699,0.014802722,217,1.21347,0.096297761,
0.152281046,0.01480523,218,1.22018,0.095489956,
0.153196484,0.014910169,219,1.22964,0.094599299,
0.153955951,0.015083249,220,1.23449,0.094169506,
0.154790014,0.014946082,221,1.24201,0.089545341,
0.155644432,0.015501836,222,1.24912,0.092005003,
0.156431019,0.015690248,223,1.25716,0.090948643,
0.157346457,0.015773103,224,1.26177,0.090296186,
0.15810594,0.015925228,225,1.26746,0.089581589,
0.159041718,0.015906897,226,1.27408,0.089037874,
0.159774065,0.01608614,227,1.28122,0.087013184,
0.160703063,0.016211786,228,1.28832,0.0873187,
0.16144219,0.01640596,229,1.29568,0.086469469,
0.162310153,0.016433685,230,1.303,0.085552922,
0.163130656,0.016812021,231,1.31223,0.084579413,
0.163951159,0.017183208,232,1.31829,0.083248607,
0.164819121,0.01735721,233,1.32586,0.081803879,
0.165585384,0.01751227,234,1.33274,0.080856262,
0.166507602,0.018128309,235,1.33877,0.0811566,
0.167267069,0.018078064,236,1.34544,0.080338439,
0.168202847,0.018313581,237,1.3518,0.079504743,
0.16896911,0.018459017,238,1.35947,0.078847107,
0.169891328,0.018712898,239,1.36451,0.078282679,
0.170644015,0.018794043,240,1.37159,0.079442604,
0.171525538,0.019247669,241,1.37843,0.077272923,
0.172346041,0.019442389,242,1.38624,0.077039902,
0.173152983,0.019755367,243,1.39332,0.075367332,
0.174034521,0.019942514,244,1.40019,0.074046882,
0.174807549,0.019995678,245,1.4079,0.073016413,
0.175736547,0.02021633,246,1.41512,0.071820241,
0.176455334,0.020227474,247,1.42112,0.073249434,
0.177384332,0.020366459,248,1.42544,0.070613712,
0.178137019,0.020596127,249,1.43273,0.068899716,
0.179038897,0.020950645,250,1.44069,0.067159829,
0.1798255,0.021254837,251,1.44809,0.064115026,
0.180686682,0.021655903,252,1.45424,0.062012663,
0.181520745,0.021667255,253,1.46195,0.058714127,
0.182307348,0.02200058,254,1.46837,0.064265195,
0.183202431,0.022338335,255,1.4755,0.059314802,
0.183941558,0.022541431,256,1.48306,0.056549624,
0.184877351,0.02258713,257,1.48873,0.056042157,
0.185623258,0.023285513,258,1.49558,0.055047936,
0.186545476,0.023374353,259,1.50171,0.052722908,
0.187311724,0.024109533,260,1.51117,0.052267223,
0.188200042,0.024353928,261,1.51537,0.056047335,
0.189000189,0.024945078,262,1.5216,0.050983021,
0.189841047,0.025292894,263,1.52929,0.049786848,
0.19070901,0.025871647,264,1.53712,0.049072252,
0.191502392,0.026446531,265,1.54398,0.046695442,
0.192411035,0.026676004,266,1.55054,0.047301295,
0.193170518,0.02712999,267,1.55956,0.043593679,
0.194119856,0.02749024,268,1.56478,0.042273228,
0.194852203,0.027997379,269,1.57193,0.040885461,
0.195774421,0.028750111,270,1.57892,0.039792854,
0.196547449,0.029285561,271,1.58542,0.037524786,
0.197435766,0.029639343,272,1.59593,0.035132441,
0.198222369,0.030242666,273,1.59871,0.036556456,
0.199029297,0.030809765,274,1.60856,0.033822348,
0.199910834,0.031139116,275,1.61361,0.032869552,
0.200663522,0.031666367,276,1.62104,0.0320255,
0.2015993,0.03235511,277,1.62961,0.030710228,
0.202352002,0.033143642,278,1.63662,0.030011166,
0.20328778,0.033642139,279,1.64405,0.028421448,
0.204026908,0.034597523,280,1.64998,0.02947263,
0.204915211,0.034821491,281,1.6571,0.029022123,
0.205722153,0.035646248,282,1.66418,0.028664825,
0.206549436,0.036301357,283,1.67185,0.028178071,
0.207410634,0.036698151,284,1.67781,0.027820773,
0.208176881,0.037575356,285,1.68435,0.027411692,
0.209092319,0.038153526,286,1.69019,0.027380622,
0.209817886,0.038810459,287,1.69883,0.027204562,
0.210753664,0.039763908,288,1.70559,0.026779947,
0.211513132,0.040442894,289,1.71161,0.026370867,
0.21242857,0.041077774,290,1.71871,0.025889291,
0.213228732,0.041903511,291,1.72644,0.025765013,
0.214117035,0.042627335,292,1.73377,0.025376645,
0.214951098,0.043419624,293,1.74376,0.025309328,
0.215778381,0.044198784,294,1.74821,0.025107377,
0.216653138,0.044812363,295,1.75409,0.02448081,
0.217405826,0.04573769,296,1.76196,0.024196007,
0.218328044,0.046516495,297,1.76826,0.023786927,
0.219053611,0.047615154,298,1.77435,0.023201786,
0.219982609,0.048587517,299,1.78159,0.022813419,
0.220728517,0.049358276,300,1.78931,0.022471655,
0.221637174,0.049966541,301,1.79575,0.021964188,
0.222430557,0.050868568,302,1.80247,0.021705276,
0.2232714,0.051460354,303,1.81112,0.019794507,
0.224139363,0.052119179,304,1.81779,0.020633381,
0.224939525,0.053034103,305,1.82674,0.020327865,
0.225827843,0.053716236,306,1.8331,0.020213944,
0.22656019,0.054656464,307,1.83951,0.019923963,
0.227482408,0.055753971,308,1.84622,0.019494169,
0.228214756,0.056729675,309,1.85462,0.019054019,
0.229123414,0.057608837,310,1.86456,0.017324489,
0.229889661,0.058386116,311,1.87148,0.018613869,
0.230771184,0.059162048,312,1.87848,0.016889517,
0.231591687,0.059768921,313,1.88698,0.017863025,
0.232405409,0.060770573,314,1.89403,0.01708629,
0.233300507,0.061468937,315,1.90196,0.017272706,
0.23408033,0.062463055,316,1.90963,0.017412519,
0.235002533,0.063389412,317,1.91763,0.015972969,
0.235734895,0.064414581,318,1.92564,0.01620599,
0.236677453,0.065126442,319,1.93289,0.01652704,
0.2374098,0.06604686,320,1.94039,0.0159419,
0.238338798,0.066807899,321,1.94673,0.01547068,
0.239125386,0.067845177,322,1.95328,0.015921187,
0.240000144,0.068524239,323,1.95838,0.015434433,
0.240834206,0.069293915,324,1.96602,0.01186145,
0.241647929,0.070119759,325,1.9707,0.014341825,
0.242529452,0.070888702,326,1.9806,0.014015596,
0.243282154,0.07195845,327,1.98604,0.013456346,
0.244190797,0.072917267,328,1.99427,0.012156609,
0.244923145,0.073975044,329,2.00213,0.013192256,
0.245858923,0.0746586,330,2.0136,0.013062801,
0.246598065,0.075514107,331,2.01988,0.012058223,
0.247506708,0.076080986,332,2.03234,0.011229705,
0.24828653,0.077037476,333,2.04581,0.01112614,
0.249140933,0.077773933,334,2.05924,0.010442613,
0.249995336,0.078468262,335,2.08151,0.009847116,
0.250768363,0.079677002,336,2.09676,0.010515108,
0.251683801,0.080278847,337,2.10985,0.009422501,
0.252443284,0.081300865,338,2.12047,0.009080737,
0.253379077,0.082025131,339,2.12862,0.009060024,
0.254097849,0.082906921,340,2.13574,0.008733795,
0.255013287,0.083818001,341,2.14154,0.006046291,
0.25578633,0.084644974,342,2.14876,0.008495597,
0.256647497,0.085514526,343,2.15863,0.008298824,
0.257495135,0.086453331,344,2.16509,0.008226328,
0.258322418,0.087394684,345,2.1733,0.008210794,
0.259217501,0.088368149,346,2.1788,0.007843139,
