-1      50      1     100 10700       100
-1      50      1     100 39637       100
-1      50      1     100  9350       100
-1      50      2      90 64871        90
-1      50      2      90 93498        90
-1      50      2      90 143896       90
-1      50      3      80 670275       80
-1      50      3      80 702056       80
-1      50      3      80 1446527       80
-1      50      3      80 5000000       80
-1      50      4      75 4500000       75
-1      50      4      75 1700786       75
-1      50      4      75 5269524       75
0.1	50	1	210	8400	210
0.1	50	1	210	7284	210
0.1	50	1	210	15000	210
0.1	50	2	200	82000	200
0.1	50	2	200	214300	200
0.1	50	2	200	99783	200
0.1	50	3	180	337760	180
0.1	50	3	180	245995	180
0.1	50	3	180	72100	180
0.1	50	4	150	898645	150
0.1	50	4	150	701093	150
0.1	50	4	150	182123	150
0.1	50	5	140	1204333	140
0.1	50	5	140	1464000	140
0.1	50	5	140	1500000	140
10	50	1	200	5500	200
10	50	1	200	2161	200
10	50	1	200	5607	200
10	50	2	180	20776	180
10	50	2	180	11400	180
10	50	2	180	6728	180
10	50	3	170	53626	170
10	50	3	170	33052	170
10	50	3	170	36350	170
10	50	4	160	437115	160
10	50	4	160	100184	160
10	50	4	160	770046	160
10	50	5	150	2357018	150
10	50	5	150	431315	150
10	50	5	150	225912	150
0.5	50	1	240	25210	240
0.5	50	1	240	9500	240
0.5	50	1	240	3500	240
0.5	50	2	230	107441	230
0.5	50	2	230	28461	230
0.5	50	2	230	21333	230
0.5	50	3	220	38970	220
0.5	50	3	220	586000	220
0.5	50	3	220	185694	220
0.5	50	4	210	923020	210
0.5	50	4	210	956833	210
0.5	50	4	210	154000	210
0.5	50	5	190	1996000	190
0.5	50	5	190	243500	190
0.5	50	5	190	1900000	190
