N_cycles,Load,eyy,exx,Specimen_name
30000,58.936503,-0.00037195,0.00126346,
30000,137.644336,-0.000690187,0.00209993,
30000,269.540145,-0.00112917,0.00332874,
30000,407.023365,-0.00165297,0.0045138,
35000,509.013936,-0.00190281,0.00529743,
35000,506.521487,-0.00183833,0.00508268,
35000,423.282192,-0.00147439,0.00418602,
35000,288.204396,-0.00101584,0.00292725,
35000,153.152766,-0.00057422,0.00178883,
35000,63.483408,-0.000328565,0.0011602,
35000,65.560429,-0.000398129,0.00133592,
35000,144.899421,-0.000726485,0.00218344,
35000,283.174451,-0.00122151,0.00345753,
35000,415.582675,-0.0016575,0.00459588,
40000,511.641635,-0.00192825,0.00534957,
40000,505.916086,-0.00179022,0.00509534,
40000,412.162815,-0.00149985,0.00409451,
40000,278.279754,-0.000969433,0.00288949,
40000,144.8801,-0.000559207,0.00174291,
40000,59.416311,-0.000324256,0.00117007,
40000,68.938405,-0.000410086,0.00141566,
40000,155.915688,-0.000782149,0.00230774,
40000,292.461495,-0.00123646,0.00358491,
40000,426.402574,-0.00169151,0.00471239,
45000,515.309465,-0.00190606,0.00540527,
45000,500.506119,-0.00187829,0.00504568,
45000,401.79697,-0.00138454,0.0040442,
45000,264.278347,-0.000960401,0.00280203,
45000,138.0533,-0.00053511,0.00172822,
45000,54.94025,-0.00031625,0.00118906,
45000,72.554676,-0.000446405,0.00148973,
45000,163.476692,-0.000791716,0.0024254,
45000,305.226355,-0.00127811,0.00372736,
45000,434.304967,-0.00176179,0.00479143,
50000,516.613654,-0.00193424,0.00537168,
50000,494.8965,-0.0018725,0.00498743,
50000,392.893102,-0.00138902,0.00395015,
50000,253.635606,-0.000974615,0.00269058,
50000,126.128942,-0.000527548,0.00164295,
50000,56.952867,-0.000371291,0.00119525,
50000,73.3082,-0.000478252,0.00151176,
50000,174.702273,-0.000872037,0.00253834,
50000,314.394257,-0.00135738,0.00378124,
50000,443.788486,-0.00176818,0.0048894,
55000,519.895059,-0.00194699,0.00537817,
55000,490.430059,-0.00180479,0.00491175,
55000,379.071986,-0.00135258,0.00381841,
55000,246.489997,-0.000928617,0.0026176,
55000,116.407194,-0.000500101,0.00154363,
55000,55.44904,-0.000370371,0.00120402,
55000,81.223421,-0.000507256,0.00157764,
55000,183.496611,-0.000910064,0.00261627,
55000,328.621093,-0.0014443,0.00390722,
55000,449.993833,-0.00175863,0.00493675,
60000,456.385953,-0.00183011,0.00503996,
60000,520.793501,-0.00194485,0.00542359,
60000,481.481079,-0.00181948,0.00486696,
60000,370.387098,-0.00132744,0.0037942,
60000,234.926285,-0.000921715,0.00255962,
60000,109.83157,-0.000497709,0.0015407,
60000,52.36732,-0.000373578,0.0012319,
60000,88.726459,-0.000567207,0.00170221,
60000,196.557703,-0.00096368,0.00276664,
60000,335.937386,-0.00146073,0.00401045,
65000,465.338145,-0.00188229,0.00511106,
65000,519.109325,-0.00196393,0.00539713,
65000,477.262597,-0.00177237,0.00483561,
65000,361.045291,-0.00133632,0.00369526,
65000,221.114881,-0.000868226,0.00245758,
