Machine_Displacement,Machine_Load,MD_index--1,v--1,MD_Load--1,Specimen_name
0.102250785,0.011918305,,,,
0.1029967,0.012189331,,,,
0.103918917,0.01213562,,,,
0.104644485,0.011869662,,,,
0.105573483,0.011975251,,,,
0.10632617,0.011774679,,,,
0.107228048,0.011907364,,,,
0.108021423,0.011737603,,,,
0.108855486,0.011876028,,,,
0.109730236,0.0122369,,,,
0.110516831,0.012388127,,,,
0.111418709,0.012615552,,,,
0.112164617,0.012803562,,,,
0.113113962,0.013250284,,,,
0.11385987,0.01351998,,,,
0.114802428,0.013706944,,,,
0.115555122,0.014360055,,,,
0.116450213,0.014583664,,,,
0.117250375,0.01462617,,,,
0.118091218,0.01505985,,,,
0.118938841,0.014661509,,,,
0.119718656,0.014338158,,,,
0.120620534,0.015024318,,,,
0.121352881,0.015589162,,,,
0.122288659,0.015411402,,,,
0.123034567,0.015976861,,,,
0.123963565,0.01629763,,,,
0.12472982,0.016645365,,,,
0.12561135,0.01701685,,,,
0.126438633,0.017351357,,,,
0.127245575,0.017781042,,,,
0.128127113,0.018104248,,,,
0.12889336,0.018558165,,,,
0.129815578,0.018720732,,,,
0.130527586,0.019054907,,,,
0.131463364,0.019072765,,,,
0.132222831,0.019579063,,,,
0.133124709,0.020029491,,,,
0.133931652,0.020342852,,,,
0.134799615,0.02072904,,,,
0.135654017,0.021206657,,,,
0.13644062,0.021478367,,,,
0.137362838,0.021639624,,,,
0.138108745,0.02207032,,,,
0.139037743,0.022195066,,,,
0.139770091,0.022470568,,,,
0.140692309,0.022673647,,,,
0.141438216,0.023223864,,,,
0.142299414,0.023607862,,,,
0.143126696,0.024088184,,,,
0.143926844,0.024277817,,,,
0.144828722,0.024615986,,,,
0.145594969,0.024821781,,,,
0.146523967,0.024872662,,,,
0.14726311,0.025191858,,,,
0.148198888,0.025587217,,,,
0.148924455,0.026002565,,,,
0.149812758,0.026414064,,,,
0.150619701,0.026816624,,,,
0.151453763,0.027174402,,,,
0.152308166,0.027527456,,,,
0.153087988,0.027817636,,,,
0.154010206,0.028010649,,,,
0.154762894,0.028501863,,,,
0.155705452,0.028573721,,,,
0.156464934,0.02885462,,,,
0.157407492,0.029311323,,,,
0.15814662,0.030212387,,,,
0.159041718,0.030434446,,,,
0.159841865,0.030920023,,,,
0.160669148,0.031292685,,,,
0.161537126,0.031764097,,,,
0.162310153,0.031829639,,,,
0.163225591,0.032442329,,,,
0.163964719,0.032779827,,,,
0.164900497,0.033278152,,,,
0.165646404,0.033940826,,,,
0.166568622,0.034498344,,,,
0.167328104,0.035208778,,,,
0.168202847,0.035517246,,,,
0.16901657,0.036229794,,,,
0.169823512,0.036341141,,,,
0.170711815,0.036813507,,,,
0.171464518,0.037243031,,,,
0.172400296,0.03789312,,,,
0.173132643,0.038179535,,,,
0.174054861,0.038901592,,,,
0.174807549,0.039489899,,,,
0.175702646,0.039822075,,,,
0.176489234,0.040288002,,,,
0.177330092,0.040975231,,,,
0.178191274,0.041399696,,,,
0.178991437,0.041574715,,,,
0.17990686,0.042285812,,,,
0.180673122,0.042626301,,,,
0.1816089,0.043308483,,,,
0.182361588,0.043973045,,,,
0.183290586,0.044479137,,,,
0.184050068,0.045021458,,,,
0.184951931,0.045548458,,,,
0.185718194,0.045799469,,,,
0.186538696,0.04614917,,,,
0.187406659,0.046738899,,,,
0.188172907,0.047177197,,,,
0.189095125,0.047725231,,,,
0.189841047,0.048456062,,,,
0.190776825,0.048999565,,,,
0.191529512,0.049687077,,,,
0.192417815,0.049945892,,,,
0.193217978,0.05053463,,,,
0.194045261,0.051044655,,,,
0.194892883,0.051188385,,,,
0.195679486,0.052001331,,,,
0.196588144,0.052764606,,,,
0.197327271,0.052834526,,,,
0.198263049,0.053678322,,,,
0.199015737,0.054433178,,,,
0.199937955,0.054884159,,,,
0.200731337,0.05564603,,,,
0.201626435,0.056029957,,,,
0.202446923,0.056368294,,,,
0.203281,0.056909943,,,,
0.204148963,0.057503986,,,,
0.204915211,0.0580942,,,,
0.205823869,0.058842274,,,,
0.206562996,0.059439053,,,,
0.207485214,0.059972794,,,,
0.208217561,0.060546444,,,,
0.209119439,0.061250553,,,,
0.209919602,0.061728798,,,,
0.210774004,0.062018414,,,,
0.211614847,0.062631187,,,,
0.21242179,0.063116936,,,,
0.213310108,0.063809483,,,,
0.214035675,0.06443647,,,,
0.214971453,0.065193718,,,,
0.21569702,0.065762932,,,,
0.216619238,0.066407005,,,,
0.217378706,0.066845253,,,,
0.218267024,0.067268402,,,,
0.219073951,0.067914413,,,,
0.219887674,0.068388161,,,,
0.220775992,0.069138214,,,,
0.221562579,0.069822212,,,,
0.222478017,0.070504433,,,,
0.223223925,0.071075302,,,,
0.224173278,0.071807549,,,,
0.224905625,0.072401466,,,,
0.225827843,0.072719368,,,,
0.226607651,0.073213356,,,,
0.227495968,0.073856972,,,,
0.228316471,0.074486595,,,,
0.229157314,0.075178139,,,,
0.230011716,0.076038391,,,,
0.230771184,0.07648217,,,,
0.231679842,0.077206589,,,,
0.232412189,0.077651047,,,,
0.233347967,0.078413681,,,,
0.23410067,0.078850464,,,,
0.235022888,0.07964624,,,,
0.235795915,0.080204277,,,,
0.236670673,0.080505768,,,,
0.237497956,0.081498657,,,,
0.238284543,0.08217923,,,,
0.239186421,0.082855919,,,,
0.239945889,0.083594421,,,,
0.240868106,0.084093559,,,,
0.241586894,0.084749222,,,,
0.242522672,0.085280449,,,,
0.243275359,0.085659546,,,,
0.244156897,0.08634301,,,,
0.2449774,0.08696949,,,,
0.245811462,0.087789093,,,,
