Machine_Displacement,Machine_Load,MD_index--1,v--1,MD_Load--1,Specimen_name
0.000264459,0.000255238,30,0.0218584,0.01699826,BAPVDF1
0.000725568,0.000316951,31,0.0245055,0.018531018,
0.001464697,6.0879E-06,32,0.0261928,0.021208165,
0.002271637,-0.000227645,33,0.0281124,0.02492096,
0.00303111,-0.000105145,34,0.0313185,0.029224074,
0.003973669,-0.00020813,35,0.036359,0.035173867,
0.004760266,-0.000171973,36,0.0401582,0.040963135,
0.005736731,0.000120773,37,0.0442163,0.046488312,
0.006523327,0.000305235,38,0.0477291,0.052945572,
0.007506574,0.000380324,39,0.0513838,0.059190524,
0.008299951,0.000390268,40,0.0560539,0.066144895,
0.009256073,0.000481604,41,0.0615102,0.073244256,
0.010049451,0.000510983,42,0.0660446,0.080385043,
0.010978448,0.000470473,43,0.0706283,0.087945267,
0.011778607,0.000877694,44,0.0757235,0.095179262,
0.012639794,0.000733823,45,0.0811498,0.102076671,
0.013514545,0.001250687,46,0.0859656,0.111614981,
0.014335047,0.001326428,47,0.0909392,0.117704586,
0.015250483,0.001862209,48,0.0956243,0.125580682,
0.01605064,0.002423669,49,0.0997527,0.133829611,
0.01698642,0.00296853,50,0.103778,0.142037115,
0.017739112,0.003144589,51,0.108765,0.144833362,
0.01867489,0.003584991,52,0.114508,0.156272084,
0.019407239,0.004170111,53,0.120226,0.163816773,
0.020336237,0.004523643,54,0.126263,0.171723939,
0.021116052,0.005020119,55,0.132449,0.179020072,
0.021997582,0.005650207,56,0.136721,0.186870277,
0.022811303,0.00603755,57,0.142183,0.193047912,
0.023638586,0.006438241,58,0.145994,0.201462545,
0.024520118,0.006727484,59,0.15001,0.208391024,
0.025306715,0.007503544,60,0.15402,0.216505319,
0.026228931,0.007667188,61,0.158466,0.22404483,
0.026995184,0.007801349,62,0.1628,0.231014735,
0.027937744,0.008582,63,0.167985,0.238388542,
0.028670093,0.008581854,64,0.172918,0.242453457,
0.029599091,0.009230708,65,0.177693,0.253410603,
0.030372126,0.009723352,66,0.181737,0.260856906,
0.031267218,0.009969923,67,0.185883,0.268784785,
0.032074157,0.010055806,68,0.190078,0.276080919,
0.032915004,0.010288246,69,0.19809,0.283672212,
0.03377619,0.01039805,70,0.20048,0.291848646,
0.034535661,0.010278856,71,0.205087,0.29888069,
0.035451099,0.010551637,72,0.210885,0.307165868,
0.03620379,0.011083997,73,0.214054,0.315067855,
0.037126008,0.011128265,74,0.219021,0.322954308,
0.037858356,0.011821811,75,0.224572,0.33046275,
0.03877379,0.012029056,76,0.230155,0.338649541,
0.039546825,0.012367613,77,0.235886,0.34675348,
0.040408015,0.012250935,78,0.240742,0.355069727,
0.041248858,0.012147511,79,0.245092,0.363158132,
0.042055797,0.012115382,80,0.250101,0.371800608,
0.042944111,0.012348035,81,0.256733,0.379723309,
0.043703582,0.012084298,82,0.261668,0.387464772,
0.0446258,0.012046894,83,0.26748,0.396076179,
0.045364928,0.012255641,84,0.273292,0.404817042,
0.046293925,0.012178207,85,0.277886,0.413345597,
0.047039837,0.012407514,86,0.282345,0.421687736,
0.047948491,0.012470648,87,0.287426,0.430376817,
0.04874865,0.012415119,88,0.293421,0.438511826,
0.04960984,0.012350257,89,0.299169,0.448050138,
0.050457466,0.012459764,90,0.304396,0.45662012,
0.051257621,0.012013048,91,0.311238,0.465495617,
0.052166279,0.012067189,92,0.316732,0.474262372,
0.052925751,0.011980833,93,0.321345,0.483106801,
0.053854749,0.012174766,94,0.326341,0.491723387,
0.05461422,0.01250783,95,0.331889,0.499873932,
0.055536438,0.012359526,96,0.337813,0.509583127,
0.056255225,0.012367476,97,0.345699,0.518448269,
0.057136755,0.012479445,98,0.351295,0.527763918,
0.057950474,0.012093376,99,0.356271,0.537405796,
0.058757417,0.012281417,100,0.362068,0.546364147,
0.059645727,0.012358706,101,0.365959,0.555006626,
0.060425542,0.01223636,102,0.372396,0.564342989,
0.06135454,0.012551373,103,0.379236,0.572980289,
0.062086891,0.012391012,104,0.383622,0.581503669,
0.063015886,0.012493714,105,0.388762,0.590229,
0.063768581,0.012210955,106,0.394281,0.599011292,
0.064677231,0.012390561,107,0.399412,0.614825632,
0.065457046,0.012354148,108,0.407475,0.61456672,
0.066297896,0.012490094,109,0.413313,0.624959445,
0.067145519,0.012236505,110,0.41964,0.633581212,
0.067904994,0.012317049,111,0.426165,0.642213336,
0.068827212,0.012266958,112,0.432296,0.651668801,
0.069573119,0.012541913,113,0.437235,0.659482763,
0.070515677,0.012284141,114,0.442613,0.668037214,
0.071281932,0.012674041,115,0.448531,0.677653205,
0.07221771,0.012541372,116,0.454521,0.686476925,
0.072983965,0.012455874,117,0.460116,0.69528511,
0.073885843,0.012332623,118,0.465905,0.703104252,
0.074685998,0.012634854,119,0.473029,0.713098255,
0.075513281,0.012221187,120,0.47805,0.718157396,
0.076381251,0.012623562,121,0.483275,0.72602832,
0.077147506,0.012614511,122,0.490164,0.731004609,
0.078062937,0.012833072,123,0.49611,0.737451518,
0.078788504,0.012825333,124,0.503231,0.743344356,
0.07973107,0.013032718,125,0.509149,0.749547888,
0.080470197,0.012993105,126,0.515499,0.7541617,
0.081372067,0.012988133,127,0.521995,0.758330184,
0.08217223,0.012721288,128,0.528656,0.756667969,
0.08304698,0.012812029,129,0.536711,0.738735722,
0.083860703,0.013084147,130,0.543445,0.738963565,
0.084647298,0.012885222,131,0.548937,0.739942252,
0.085549168,0.013230427,132,0.554798,0.739227655,
0.086288303,0.013223996,133,0.561336,0.740159738,
0.087217294,0.013256701,134,0.568698,0.740967544,
0.087956429,0.013289152,135,0.575666,0.74247959,
0.088892207,0.013203684,136,0.582026,0.74524477,
0.089638114,0.01312015,137,0.58829,0.747631939,
0.090519644,0.013022258,138,0.595124,0.749868939,
0.091340147,0.0130817,139,0.602672,0.730403933,
0.09217421,0.01307507,140,0.607783,0.723366705,
0.0930354,0.013325361,141,0.615409,0.724102015,
0.093815215,0.01343864,142,0.623063,0.721921976,
0.094737433,0.01350943,143,0.626808,0.717929553,
0.095490128,0.013640081,144,0.633741,0.718338634,
0.096432686,0.013460494,145,0.646341,0.67937238,
0.097178593,0.013822606,146,0.6575,0.640105793,
0.098121151,0.013469322,147,0.668161,0.598353656,
0.098880626,0.013570945,148,0.677654,0.569831921,
0.099768937,0.013724865,149,0.722432,0.258107263,
0.100555539,0.013559986,150,0.732834,0.257454805,
