Nb of cycle	Image name	Date	Time	Time [ms]	ai0	ai1	ai2	ai3	ai4	ai5	ai6	ai7	
0	GRASSHOPER_1_cycles_CA_Pl1_S60_R0.1_LR1_1_cycle_0000000000__0023_0.tif	2020.11.01	19:32:28	,615	0,001484	-69,457023	-0,000000	0,000000	0,000000	0,000000	0,000000	0,000000	
0	GRASSHOPER_1_cycles_CA_Pl1_S60_R0.1_LR1_1_cycle_0000000000__0024_0.tif	2020.11.01	19:32:29	,615	0,008058	-69,449628	-0,000000	0,000000	0,000000	0,000000	0,000000	0,000000	
0	GRASSHOPER_1_cycles_CA_Pl1_S60_R0.1_LR1_1_cycle_0000000000__0025_0.tif	2020.11.01	19:32:30	,615	0,009701	-69,460721	-0,000000	0,000000	0,000000	0,000000	0,000000	0,000000	
0	GRASSHOPER_1_cycles_CA_Pl1_S60_R0.1_LR1_1_cycle_0000000000__0026_0.tif	2020.11.01	19:32:31	,866	0,014632	-69,453326	-0,000000	0,000000	0,000000	0,000000	0,000000	0,000000	
0	GRASSHOPER_1_cycles_CA_Pl1_S60_R0.1_LR1_1_cycle_0000000000__0027_0.tif	2020.11.01	19:32:32	,865	-0,005090	-69,459489	-0,000000	0,000000	0,000000	0,000000	0,000000	0,000000	
0	GRASSHOPER_1_cycles_CA_Pl1_S60_R0.1_LR1_1_cycle_0000000000__0028_0.tif	2020.11.01	19:32:34	,115	0,009701	-69,445930	-0,000000	0,000000	0,000000	0,000000	0,000000	0,000000	
0	GRASSHOPER_1_cycles_CA_Pl1_S60_R0.1_LR1_1_cycle_0000000000__0029_0.tif	2020.11.01	19:32:35	,365	-0,011663	-69,412651	-0,000000	0,000000	0,000000	0,000000	0,000000	0,000000	
0	GRASSHOPER_1_cycles_CA_Pl1_S60_R0.1_LR1_1_cycle_0000000000__0030_0.tif	2020.11.01	19:32:36	,368	0,012988	-69,475512	-0,000000	0,000000	0,000000	0,000000	0,000000	0,000000	
0	GRASSHOPER_1_cycles_CA_Pl1_S60_R0.1_LR1_1_cycle_0000000000__0031_0.tif	2020.11.01	19:32:37	,366	-0,011663	-69,434837	-0,000000	0,000000	0,000000	0,000000	0,000000	0,000000	
0	GRASSHOPER_1_cycles_CA_Pl1_S60_R0.1_LR1_1_cycle_0000000000__0032_0.tif	2020.11.01	19:32:38	,615	-0,008376	-69,445930	-0,000000	0,000000	0,000000	0,000000	0,000000	0,000000	
0	GRASSHOPER_1_cycles_CA_Pl1_S60_R0.1_LR1_1_cycle_0000000000__0033_0.tif	2020.11.01	19:32:39	,615	0,008058	-69,449628	-0,000000	0,000000	0,000000	0,000000	0,000000	0,000000	
0	GRASSHOPER_1_cycles_CA_Pl1_S60_R0.1_LR1_1_cycle_0000000000__0034_0.tif	2020.11.01	19:32:40	,615	0,006414	-69,424977	-0,000000	0,000000	0,000000	0,000000	0,000000	0,000000	
0	GRASSHOPER_1_cycles_CA_Pl1_S60_R0.1_LR1_1_cycle_0000000000__0035_0.tif	2020.11.01	19:32:41	,868	0,001484	-69,438535	-0,000000	0,000000	0,000000	0,000000	0,000000	0,000000	
0	GRASSHOPER_1_cycles_CA_Pl1_S60_R0.1_LR1_1_cycle_0000000000__0036_0.tif	2020.11.01	19:32:43	,117	-0,001803	-69,441000	-0,000000	0,000000	0,000000	0,000000	0,000000	0,000000	
0	GRASSHOPER_1_cycles_CA_Pl1_S60_R0.1_LR1_1_cycle_0000000000__0037_0.tif	2020.11.01	19:32:44	,365	-0,000159	-69,459489	-0,000000	0,000000	0,000000	0,000000	0,000000	0,000000	
0	GRASSHOPER_1_cycles_CA_Pl1_S60_R0.1_LR1_1_cycle_0000000000__0038_0.tif	2020.11.01	19:32:45	,616	-0,001803	-69,465651	-0,000000	0,000000	0,000000	0,000000	0,000000	0,000000	
0	GRASSHOPER_1_cycles_CA_Pl1_S60_R0.1_LR1_1_cycle_0000000000__0039_0.tif	2020.11.01	19:32:46	,617	0,006414	-69,449628	-0,000000	0,000000	0,000000	0,000000	0,000000	0,000000	
0	GRASSHOPER_1_cycles_CA_Pl1_S60_R0.1_LR1_1_cycle_0000000000__0040_0.tif	2020.11.01	19:32:47	,865	-0,003446	-69,431139	-0,000000	0,000000	0,000000	0,000000	0,000000	0,000000	
0	GRASSHOPER_1_cycles_CA_Pl1_S60_R0.1_LR1_1_cycle_0000000000__0041_0.tif	2020.11.01	19:32:49	,117	-0,003446	-69,470582	-0,000000	0,000000	0,000000	0,000000	0,000000	0,000000	
0	GRASSHOPER_1_cycles_CA_Pl1_S60_R0.1_LR1_1_cycle_0000000000__0042_0.tif	2020.11.01	19:32:50	,117	-0,005090	-69,449628	-0,000000	0,000000	0,000000	0,000000	0,000000	0,000000	
0	GRASSHOPER_1_cycles_CA_Pl1_S60_R0.1_LR1_1_cycle_0000000000__0043_0.tif	2020.11.01	19:32:51	,366	0,004771	-69,454558	-0,000000	0,000000	0,000000	0,000000	0,000000	0,000000	
0	GRASSHOPER_1_cycles_CA_Pl1_S60_R0.1_LR1_1_cycle_0000000000__0044_0.tif	2020.11.01	19:32:52	,365	0,003128	-69,455791	-0,000000	0,000000	0,000000	0,000000	0,000000	0,000000	
0	GRASSHOPER_1_cycles_CA_Pl1_S60_R0.1_LR1_1_cycle_0000000000__0045_0.tif	2020.11.01	19:32:53	,617	0,012988	-69,437302	-0,000000	0,000000	0,000000	0,000000	0,000000	0,000000	
0	GRASSHOPER_1_cycles_CA_Pl1_S60_R0.1_LR1_1_cycle_0000000000__0046_0.tif	2020.11.01	19:32:54	,617	0,004771	-69,464419	-0,000000	0,000000	0,000000	0,000000	0,000000	0,000000	
0	GRASSHOPER_1_cycles_CA_Pl1_S60_R0.1_LR1_1_cycle_0000000000__0047_0.tif	2020.11.01	19:32:55	,866	-0,005090	-69,423744	-0,000000	0,000000	0,000000	0,000000	0,000000	0,000000	
0	GRASSHOPER_1_cycles_CA_Pl1_S60_R0.1_LR1_1_cycle_0000000000__0048_0.tif	2020.11.01	19:32:56	,866	-0,003446	-69,453326	-0,000000	0,000000	0,000000	0,000000	0,000000	0,000000	
0	GRASSHOPER_1_cycles_CA_Pl1_S60_R0.1_LR1_1_cycle_0000000000__0049_0.tif	2020.11.01	19:32:57	,865	0,017919	-69,458256	-0,000000	0,000000	0,000000	0,000000	0,000000	0,000000	
0	GRASSHOPER_1_cycles_CA_Pl1_S60_R0.1_LR1_1_cycle_0000000000__0050_0.tif	2020.11.01	19:32:59	,117	0,476437	-69,327604	-0,000000	0,000000	0,000000	0,000000	0,000000	0,000000	
0	GRASSHOPER_1_cycles_CA_Pl1_S60_R0.1_LR1_1_cycle_0000000000__0051_0.tif	2020.11.01	19:33:00	,366	1,748457	-69,076159	-0,000000	0,000000	0,000000	0,000000	0,000000	0,000000	
1	GRASSHOPER_1_cycles_CA_Pl1_S60_R0.1_LR1_1_cycle_0000000001__0052_0.tif	2020.11.01	19:33:01	,367	2,395970	-68,870320	-0,000000	0,000000	0,000000	0,000000	0,000000	0,000000	
1	GRASSHOPER_1_cycles_CA_Pl1_S60_R0.1_LR1_1_cycle_0000000001__0053_0.tif	2020.11.01	19:33:01	,616	2,438700	-68,907297	-0,000000	0,000000	0,000000	0,000000	0,000000	0,000000	
1	GRASSHOPER_1_cycles_CA_Pl1_S60_R0.1_LR1_1_cycle_0000000001__0054_0.tif	2020.11.01	19:33:01	,865	2,486359	-68,877716	-0,000000	0,000000	0,000000	0,000000	0,000000	0,000000	
1	GRASSHOPER_1_cycles_CA_Pl1_S60_R0.1_LR1_1_cycle_0000000001__0055_0.tif	2020.11.01	19:33:02	,115	2,555384	-68,834576	-0,000000	0,000000	0,000000	0,000000	0,000000	0,000000	
1	GRASSHOPER_1_cycles_CA_Pl1_S60_R0.1_LR1_1_cycle_0000000001__0056_0.tif	2020.11.01	19:33:02	,365	2,658920	-68,845669	-0,000000	0,000000	0,000000	0,000000	0,000000	0,000000	
1	GRASSHOPER_1_cycles_CA_Pl1_S60_R0.1_LR1_1_cycle_0000000001__0057_0.tif	2020.11.01	19:33:02	,615	2,793682	-68,795133	-0,000000	0,000000	0,000000	0,000000	0,000000	0,000000	
1	GRASSHOPER_1_cycles_CA_Pl1_S60_R0.1_LR1_1_cycle_0000000001__0058_0.tif	2020.11.01	19:33:02	,867	2,910366	-68,745831	-0,000000	0,000000	0,000000	0,000000	0,000000	0,000000	
