N_cycles,Load,eyy,exx,Specimen_name
7,916.777937,-0.00256595,0.00676144,
7,949.658165,-0.00263291,0.00692339,
7,936.369853,-0.00256781,0.00675991,
7,886.636553,-0.00242196,0.00638221,
7,822.455796,-0.00222427,0.00585657,
7,705.822675,-0.00191767,0.00503751,
7,598.208099,-0.00164621,0.00434081,
7,497.607369,-0.00136331,0.00359637,
7,382.230956,-0.00108386,0.00286923,
7,309.950521,-0.000911144,0.00243314,
7,252.165817,-0.000773191,0.00207022,
7,225.391554,-0.000738777,0.00197488,
7,241.824179,-0.000796462,0.00213853,
7,287.692562,-0.000934693,0.00250004,
7,369.087737,-0.00116756,0.00310276,
7,478.759546,-0.00146593,0.00386564,
7,594.966962,-0.00176872,0.00466452,
7,714.290229,-0.00208241,0.00549305,
8,831.034476,-0.00238344,0.00627801,
8,906.455475,-0.00254874,0.00671301,
8,965.545218,-0.00272792,0.0071708,
8,1001.077378,-0.0027691,0.00730163,
8,981.490245,-0.00270455,0.00711005,
8,930.051748,-0.00255138,0.00670495,
8,850.491086,-0.00231615,0.00609474,
8,722.617705,-0.00194373,0.00513139,
8,595.889551,-0.00165285,0.00434339,
8,484.304727,-0.00133132,0.0035156,
8,351.384727,-0.00101032,0.00267401,
8,268.931735,-0.000818453,0.00218807,
8,211.726683,-0.000677165,0.00180705,
8,175.383636,-0.000617845,0.00165488,
8,193.545498,-0.000695343,0.00185805,
8,248.586576,-0.000849262,0.00225966,
8,337.116056,-0.00111466,0.00295172,
8,462.152986,-0.00144199,0.00381418,
8,592.962384,-0.00179087,0.00469827,
8,730.331732,-0.00214476,0.0056553,
9,862.364068,-0.00246752,0.00650263,
9,940.287272,-0.00266839,0.00703108,
9,1015.964575,-0.00287646,0.0075687,
9,1049.63711,-0.00291612,0.00766087,
9,1025.490068,-0.00284572,0.00746599,
9,972.583055,-0.00267427,0.00702344,
9,875.140329,-0.00238828,0.00627833,
9,742.996844,-0.002008,0.00529279,
9,595.831587,-0.00163899,0.0043195,
9,466.263568,-0.00129625,0.00341772,
9,330.996081,-0.000960829,0.00251962,
9,227.681108,-0.000719525,0.00191541,
9,163.177513,-0.00056672,0.00151755,
9,129.022591,-0.000499417,0.00136213,
9,144.334584,-0.000577197,0.00156371,
9,212.494698,-0.000761889,0.00204432,
9,306.129764,-0.00104079,0.00277132,
9,447.048652,-0.00141488,0.00375236,
9,594.223095,-0.00179828,0.0047578,
9,743.257682,-0.00219892,0.00580176,
10,888.752246,-0.0025547,0.00672839,
10,979.83826,-0.00279602,0.00736686,
10,1061.230018,-0.00300653,0.00791625,
10,1092.844871,-0.00304693,0.00802492,
10,1071.92931,-0.00297936,0.00784622,
10,1010.834723,-0.00276929,0.00729161,
10,895.229743,-0.00245309,0.00645417,
10,760.347379,-0.00205555,0.00541096,
10,596.749346,-0.00163891,0.00433031,
10,453.791744,-0.00126459,0.00336017,
10,315.374932,-0.000921462,0.00244343,
10,204.5199,-0.000664546,0.00177215,
10,137.40796,-0.000503211,0.00137261,
10,105.064395,-0.000451788,0.00122749,
10,126.042307,-0.000541188,0.00146726,
10,196.231135,-0.000739132,0.0019848,
10,295.720497,-0.00101305,0.00273058,
10,442.812484,-0.00141557,0.00377107,
10,594.749598,-0.00180443,0.00478375,
10,743.38327,-0.0022103,0.00584396,
210,892.930497,-0.00283941,0.0076467,
210,981.094155,-0.00308684,0.0082783,
210,1061.833815,-0.00328376,0.0088215,
210,1088.81633,-0.00332583,0.00891673,
210,1069.035912,-0.00325659,0.00872582,
210,1010.93133,-0.00305605,0.00818955,
210,895.176609,-0.00271476,0.00733084,
210,759.304028,-0.00232244,0.00627151,
210,598.971288,-0.00190694,0.0051855,
210,457.670471,-0.00151991,0.00417766,
210,315.717883,-0.00115483,0.00321441,
210,207.041308,-0.000906996,0.00257224,
210,147.17962,-0.000754064,0.00215807,
210,109.44063,-0.000684619,0.00199805,
210,131.804833,-0.000776778,0.00224339,
210,202.752017,-0.000977034,0.00275837,
210,302.062663,-0.00127411,0.00354066,
210,447.372282,-0.00167084,0.00458436,
210,598.633166,-0.00206518,0.00562243,
210,745.89504,-0.00248171,0.00669821,
410,894.968904,-0.00290255,0.00792097,
410,980.282654,-0.00313936,0.00855287,
410,1060.978838,-0.00334628,0.00909836,
410,1088.43473,-0.00338934,0.0092022,
410,1067.857299,-0.00330142,0.00899681,
410,1007.970314,-0.00309961,0.00844921,
410,893.886906,-0.0027834,0.00760754,
410,757.932215,-0.00236801,0.00652975,
410,595.628714,-0.00194961,0.00541979,
410,457.081175,-0.00156997,0.00443624,
410,312.409136,-0.00119244,0.00343055,
410,204.452276,-0.000943406,0.00278363,
410,146.078315,-0.00079273,0.00238494,
410,110.058906,-0.00073237,0.0022113,
410,129.578073,-0.000819219,0.0024516,
410,203.379954,-0.00102522,0.00299731,
410,302.159269,-0.00131282,0.00376224,
410,448.744086,-0.00172541,0.00483528,
410,598.275723,-0.00211458,0.00585637,
410,744.759913,-0.00252118,0.00694314,
610,978.90117,-0.00323127,0.00874254,
610,1063.258777,-0.00344716,0.0092918,
610,1090.231633,-0.00348513,0.00940235,
610,1066.867071,-0.00340157,0.00918086,
610,1009.820345,-0.00286019,0.00776011,
610,757.111059,-0.00246352,0.00671548,
610,596.9812,-0.00203349,0.00560169,
610,452.859497,-0.0016504,0.00457445,
610,315.114097,-0.0012933,0.0036136,
610,202.133741,-0.00101464,0.00291905,
610,143.484454,-0.000871457,0.00253281,
610,110.841411,-0.000810678,0.00237548,
610,129.896872,-0.000897259,0.00260186,
610,202.230346,-0.00110221,0.0031478,
610,303.19295,-0.00140665,0.0039415,
610,448.961449,-0.00180172,0.0049939,
610,600.125731,-0.00220372,0.00603414,
610,746.576116,-0.00261136,0.00712255,
810,894.939922,-0.00303716,0.00825311,
810,982.784782,-0.00328022,0.00891183,
810,1063.500296,-0.00348168,0.00944407,
810,1089.594022,-0.00351652,0.00954255,
810,1068.190595,-0.00344465,0.00934007,
810,1011.221152,-0.00323524,0.00879392,
810,891.206062,-0.00290408,0.00791212,
810,755.367311,-0.00248412,0.0068449,
810,595.763963,-0.00206454,0.00573864,
810,454.245792,-0.00166887,0.0047158,
810,310.795821,-0.00128972,0.00372287,
810,203.515202,-0.0010488,0.00306807,
810,142.127145,-0.000891088,0.00265142,
810,106.310607,-0.000834881,0.00247757,
810,132.471412,-0.000929891,0.00274446,
810,200.984133,-0.00113078,0.00324892,
810,305.347258,-0.00143879,0.00406864,
810,453.173466,-0.00183499,0.00511671,
810,596.845952,-0.0022256,0.00613363,
810,748.71595,-0.00265035,0.00725935,
1010,899.118174,-0.00274096,0.0073728,
1010,979.944528,-0.00310882,0.00833468,
1010,1065.70295,-0.00334978,0.00896482,
1010,1091.246014,-0.0035658,0.0095434,
1010,1066.103871,-0.00360518,0.00962764,
1010,1011.008616,-0.00351667,0.00939067,
1010,890.660233,-0.00331831,0.00887982,
1010,751.855663,-0.00297255,0.00796217,
1010,598.565542,-0.002577,0.00690385,
1010,450.763149,-0.00215488,0.00581146,
1010,310.96005,-0.00174679,0.00474629,
1010,204.326689,-0.00138567,0.00379194,
1010,139.422187,-0.00112099,0.00310926,
1010,110.227965,-0.000969009,0.00270031,
