Machine_N_cycles,Machine_Load,Machine_Displacement,index,Camera_N_cycles,exx,eyy,exy,crack_length,Th_time,Th_N_cycles,Th_specimen_max,Th_specimen_mean,Th_chamber,Th_uppergrips,Th_lowergrips
1,6.503698242,3.860395867,,,,,,,,,,,,,
1,6.510512207,3.882105928,,,,,,,,,,,,,
1,6.50809375,3.903567791,,,,,,,,,,,,,
1,6.513609863,3.925746307,,,,,,,,,,,,,
1,6.517804199,3.947161604,,,,,,,,,,,,,
1,6.524562012,3.970446531,,,,,,,,,,,,,
1,6.527438477,3.993983846,,,,,,,,,,,,,
1,6.536270996,4.016277846,,,,,,,,,,,,,
1,6.550211914,4.04139189,,,,,,,,,,,,,
1,6.561459473,4.066995345,,,,,,,,,,,,,
1,6.573482422,4.093989264,,,,,,,,,,,,,
1,6.581821777,4.120703321,,,,,,,,,,,,,
1,6.582552734,4.144635517,,,,,,,,,,,,,
1,6.587027344,4.167976789,,,,,,,,,,,,,
1,6.583581055,4.19304939,,,,,,,,,,,,,
2,6.584729004,4.214568529,,,,,,,,,,,,,
2,6.584649902,4.237110727,,,,,,,,,,,,,
2,6.579879883,4.260033835,,,,,,,,,,,,,
2,6.582693359,4.284122027,,,,,,,,,,,,,
2,6.590770508,4.306934774,,,,,,,,,,,,,
2,6.587575195,4.330891185,,,,,,,,,,,,,
2,6.596875488,4.354723729,,,,,,,,,,,,,
2,6.603192383,4.380906932,,,,,,,,,,,,,
2,6.615815918,4.406577442,,,,,,,,,,,,,
2,6.625245605,4.432181828,,,,,,,,,,,,,
2,6.62706543,4.458752461,,,,,,,,,,,,,
2,6.627342285,4.483982455,,,,,,,,,,,,,
2,6.624866211,4.506926518,,,,,,,,,,,,,
2,6.636929688,4.533396102,,,,,,,,,,,,,
2,6.62825,4.553404637,,,,,,,,,,,,,
3,6.627645996,4.575941246,,,,,,,,,,,,,
3,6.625962402,4.597367719,,,,,,,,,,,,,
3,6.627249512,4.620100837,,,,,,,,,,,,,
3,6.622487305,4.643338267,,,,,,,,,,,,,
3,6.633931152,4.66612028,,,,,,,,,,,,,
3,6.63342627,4.691433161,,,,,,,,,,,,,
3,6.64433252,4.71514184,,,,,,,,,,,,,
3,6.652617676,4.739740863,,,,,,,,,,,,,
3,6.661958496,4.767197184,,,,,,,,,,,,,
3,6.66903418,4.791583866,,,,,,,,,,,,,
3,6.674532227,4.815599881,,,,,,,,,,,,,
3,6.671889648,4.837624729,,,,,,,,,,,,,
3,6.675962891,4.863538314,,,,,,,,,,,,,
3,6.673493652,4.885785282,,,,,,,,,,,,,
3,6.670814453,4.907303024,,,,,,,,,,,,,
4,6.671821289,4.930648953,,,,,,,,,,,,,
4,6.672341797,4.950803239,,,,,,,,,,,,,
4,6.673211914,4.973112606,,,,,,,,,,,,,
4,6.67212207,4.995142575,,,,,,,,,,,,,
4,6.679464844,5.018188618,,,,,,,,,,,,,
4,6.689615234,5.042835139,,,,,,,,,,,,,
4,6.697472168,5.067232065,,,,,,,,,,,,,
4,6.706027344,5.091820844,,,,,,,,,,,,,
4,6.711378418,5.115905311,,,,,,,,,,,,,
4,6.719007813,5.141710397,,,,,,,,,,,,,
4,6.723604004,5.16321836,,,,,,,,,,,,,
4,6.725287598,5.190088879,,,,,,,,,,,,,
4,6.725633301,5.210692063,,,,,,,,,,,,,
4,6.727701172,5.235241726,,,,,,,,,,,,,
5,6.726582031,5.256963428,,,,,,,,,,,,,
5,6.72594043,5.277770106,,,,,,,,,,,,,
5,6.733128906,5.299262702,,,,,,,,,,,,,
5,6.734334473,5.322954617,,,,,,,,,,,,,
5,6.735502441,5.345278885,,,,,,,,,,,,,
5,6.745595215,5.368214101,,,,,,,,,,,,,
5,6.752913574,5.392896943,,,,,,,,,,,,,
5,6.758137695,5.417400971,,,,,,,,,,,,,
5,6.775897461,5.441305228,,,,,,,,,,,,,
5,6.780246582,5.466255825,,,,,,,,,,,,,
5,6.779114258,5.491649266,,,,,,,,,,,,,
5,6.79057959,5.514970515,,,,,,,,,,,,,
5,6.79148584,5.539512262,,,,,,,,,,,,,
5,6.794228516,5.561384838,,,,,,,,,,,,,
5,6.789405273,5.583941005,,,,,,,,,,,,,
6,6.794251465,5.605654791,,,,,,,,,,,,,
6,6.792578125,5.628157873,,,,,,,,,,,,,
6,6.792371582,5.649269093,,,,,,,,,,,,,
6,6.800565918,5.671480205,,,,,,,,,,,,,
6,6.802617188,5.692990962,,,,,,,,,,,,,
6,6.810363281,5.718913861,,,,,,,,,,,,,
6,6.815203125,5.743580405,,,,,,,,,,,,,
