Machine_N_cycles,Machine_Load,Machine_Displacement,index,Camera_N_cycles,exx,eyy,exy,crack_length,Th_time,Th_N_cycles,Th_specimen_max,Th_specimen_mean,Th_chamber,Th_uppergrips,Th_lowergrips
4,6.209194824,2.738674171,,,,,,,,,,,,,
4,6.242291504,2.749473089,,,,,,,,,,,,,
4,6.263385742,2.759856405,,,,,,,,,,,,,
4,6.282851074,2.77207559,,,,,,,,,,,,,
4,6.304424805,2.780547831,,,,,,,,,,,,,
4,6.31652832,2.787218429,,,,,,,,,,,,,
4,6.320047363,2.795191482,,,,,,,,,,,,,
4,6.315156738,2.800531453,,,,,,,,,,,,,
4,6.303376953,2.800344955,,,,,,,,,,,,,
4,6.28070459,2.800697694,,,,,,,,,,,,,
4,6.255130371,2.799731679,,,,,,,,,,,,,
4,6.21783252,2.796800574,,,,,,,,,,,,,
4,6.177991211,2.788265934,,,,,,,,,,,,,
5,6.134254883,2.782431431,,,,,,,,,,,,,
5,6.094568359,2.775861882,,,,,,,,,,,,,
5,6.05696582,2.769671613,,,,,,,,,,,,,
5,6.023742676,2.763340482,,,,,,,,,,,,,
5,5.99885791,2.758351155,,,,,,,,,,,,,
5,5.979004395,2.755605616,,,,,,,,,,,,,
5,5.96905127,2.753886627,,,,,,,,,,,,,
5,5.967769531,2.75412132,,,,,,,,,,,,,
5,5.976115723,2.757448936,,,,,,,,,,,,,
5,5.996645996,2.761604032,,,,,,,,,,,,,
5,6.02296875,2.769853221,,,,,,,,,,,,,
5,6.060779297,2.780301264,,,,,,,,,,,,,
5,6.097578125,2.792211482,,,,,,,,,,,,,
5,6.135345703,2.801851369,,,,,,,,,,,,,
5,6.173037598,2.814270556,,,,,,,,,,,,,
5,6.213381836,2.826160518,,,,,,,,,,,,,
5,6.24439502,2.837540815,,,,,,,,,,,,,
5,6.266775391,2.848113887,,,,,,,,,,,,,
5,6.296571289,2.859161468,,,,,,,,,,,,,
5,6.316977539,2.867849777,,,,,,,,,,,,,
5,6.327639648,2.875290113,,,,,,,,,,,,,
5,6.331181641,2.881255001,,,,,,,,,,,,,
5,6.329565918,2.886337461,,,,,,,,,,,,,
5,6.320130859,2.888893709,,,,,,,,,,,,,
5,6.292763184,2.88793724,,,,,,,,,,,,,
5,6.261766113,2.88456725,,,,,,,,,,,,,
5,6.226755859,2.879546024,,,,,,,,,,,,,
5,6.185958496,2.872659359,,,,,,,,,,,,,
6,6.138415039,2.865262097,,,,,,,,,,,,,
6,6.099122559,2.85741617,,,,,,,,,,,,,
6,6.058276367,2.851020778,,,,,,,,,,,,,
6,6.030495117,2.845462412,,,,,,,,,,,,,
6,6.001953613,2.840358298,,,,,,,,,,,,,
6,5.984172363,2.835973166,,,,,,,,,,,,,
6,5.974044922,2.835141728,,,,,,,,,,,,,
6,5.973949707,2.835609252,,,,,,,,,,,,,
6,5.984908203,2.839701949,,,,,,,,,,,,,
6,6.006412109,2.845704788,,,,,,,,,,,,,
6,6.035166504,2.853217768,,,,,,,,,,,,,
6,6.066353516,2.862291178,,,,,,,,,,,,,
6,6.104476074,2.87301722,,,,,,,,,,,,,
6,6.148380859,2.885158639,,,,,,,,,,,,,
6,6.187328613,2.895850455,,,,,,,,,,,,,
6,6.225845703,2.907639835,,,,,,,,,,,,,
6,6.262590332,2.920547733,,,,,,,,,,,,,
6,6.291415039,2.931373892,,,,,,,,,,,,,
6,6.312258301,2.941295039,,,,,,,,,,,,,
6,6.330019043,2.951529576,,,,,,,,,,,,,
6,6.342625977,2.956660232,,,,,,,,,,,,,
6,6.343564453,2.963655861,,,,,,,,,,,,,
6,6.340518066,2.965557156,,,,,,,,,,,,,
6,6.325683105,2.967790235,,,,,,,,,,,,,
6,6.303056152,2.967126435,,,,,,,,,,,,,
6,6.27272168,2.961457707,,,,,,,,,,,,,
6,6.230665527,2.955087461,,,,,,,,,,,,,
6,6.185475098,2.948800568,,,,,,,,,,,,,
7,6.146909668,2.942279447,,,,,,,,,,,,,
7,6.105436523,2.93405843,,,,,,,,,,,,,
7,6.069687012,2.928413684,,,,,,,,,,,,,
7,6.03752002,2.922007116,,,,,,,,,,,,,
7,6.005340332,2.9171356,,,,,,,,,,,,,
7,5.992946777,2.914439188,,,,,,,,,,,,,
7,5.984724121,2.912114374,,,,,,,,,,,,,
7,5.983040039,2.913108794,,,,,,,,,,,,,
7,5.993790527,2.916390309,,,,,,,,,,,,,
7,6.018674316,2.921296284,,,,,,,,,,,,,
7,6.045031738,2.928695176,,,,,,,,,,,,,
7,6.074638184,2.938933903,,,,,,,,,,,,,
7,6.113226074,2.94914702,,,,,,,,,,,,,
7,6.156424805,2.960783197,,,,,,,,,,,,,
7,6.193010254,2.971969079,,,,,,,,,,,,,
7,6.23252832,2.983807819,,,,,,,,,,,,,
7,6.27110791,2.995053306,,,,,,,,,,,,,
7,6.299125977,3.004425438,,,,,,,,,,,,,
7,6.319918457,3.015928203,,,,,,,,,,,,,
7,6.340308105,3.024852602,,,,,,,,,,,,,
7,6.35310791,3.030575113,,,,,,,,,,,,,
7,6.357300781,3.035781905,,,,,,,,,,,,,
7,6.354851563,3.040972864,,,,,,,,,,,,,
7,6.338833496,3.042268101,,,,,,,,,,,,,
7,6.312684082,3.039078787,,,,,,,,,,,,,
7,6.282094238,3.035058035,,,,,,,,,,,,,
7,6.239671387,3.029152285,,,,,,,,,,,,,
7,6.198520508,3.021871671,,,,,,,,,,,,,
8,6.151106934,3.013030626,,,,,,,,,,,,,
8,6.107861328,3.004460363,,,,,,,,,,,,,
8,6.06501123,2.998284297,,,,,,,,,,,,,
8,6.031041504,2.991897753,,,,,,,,,,,,,
8,6.00602832,2.987174317,,,,,,,,,,,,,
8,5.986458008,2.983300015,,,,,,,,,,,,,
8,5.974981445,2.98098824,,,,,,,,,,,,,
8,5.975774902,2.979927696,,,,,,,,,,,,,
8,5.986356934,2.983555431,,,,,,,,,,,,,
8,6.008838867,2.989743138,,,,,,,,,,,,,
8,6.038543945,2.997419331,,,,,,,,,,,,,
8,6.075284668,3.007876454,,,,,,,,,,,,,
8,6.114253418,3.016650211,,,,,,,,,,,,,
8,6.158493652,3.028703621,,,,,,,,,,,,,
8,6.200873047,3.040159121,,,,,,,,,,,,,
8,6.237041992,3.051056527,,,,,,,,,,,,,
8,6.275915039,3.062532283,,,,,,,,,,,,,
8,6.300059082,3.073154949,,,,,,,,,,,,,
8,6.326302246,3.082643263,,,,,,,,,,,,,
8,6.341991211,3.091581631,,,,,,,,,,,,,
8,6.354376953,3.098255256,,,,,,,,,,,,,
8,6.360226563,3.104297444,,,,,,,,,,,,,
8,6.348446777,3.10602691,,,,,,,,,,,,,
8,6.339851074,3.105810378,,,,,,,,,,,,,
8,6.31142334,3.10472073,,,,,,,,,,,,,
8,6.274871094,3.099883208,,,,,,,,,,,,,
8,6.241741699,3.093318082,,,,,,,,,,,,,
8,6.195197266,3.084877273,,,,,,,,,,,,,
9,6.146947754,3.076527035,,,,,,,,,,,,,
9,6.102567871,3.068400314,,,,,,,,,,,,,
9,6.055999023,3.060502233,,,,,,,,,,,,,
9,6.029895996,3.052992746,,,,,,,,,,,,,
9,5.99560498,3.046628088,,,,,,,,,,,,,
9,5.975405273,3.042116994,,,,,,,,,,,,,
9,5.965943359,3.041351214,,,,,,,,,,,,,
9,5.965833984,3.042555647,,,,,,,,,,,,,
9,5.979279297,3.044730984,,,,,,,,,,,,,
9,6.00035498,3.049795981,,,,,,,,,,,,,
9,6.032247559,3.057980444,,,,,,,,,,,,,
9,6.066771484,3.066959092,,,,,,,,,,,,,
9,6.107132813,3.07753263,,,,,,,,,,,,,
9,6.153010254,3.088583006,,,,,,,,,,,,,
9,6.19264209,3.100912785,,,,,,,,,,,,,
9,6.229820313,3.112632083,,,,,,,,,,,,,
9,6.266783691,3.123604925,,,,,,,,,,,,,
9,6.296747559,3.134304658,,,,,,,,,,,,,
9,6.322522949,3.142512403,,,,,,,,,,,,,
9,6.340235352,3.150627948,,,,,,,,,,,,,
9,6.3521875,3.157298779,,,,,,,,,,,,,
9,6.356263672,3.161768895,,,,,,,,,,,,,
9,6.351848633,3.165253671,,,,,,,,,,,,,
9,6.332738281,3.166610841,,,,,,,,,,,,,
9,6.305837402,3.162347479,,,,,,,,,,,,,
9,6.270027344,3.155343002,,,,,,,,,,,,,
