Machine_Time,Machine_N_cycles,Machine_Displacement,Machine_Load,MD_index--1,MD_N_cycles--1,MD_Displacement--1,MD_Load--1,u--1,v--1,eyy--1,exx--1,exy--1,Crack_length,Crack_N_cycles,Crack_Displacement,Crack_Load,Th_time,Th_N_cycles,Th_specimen_max,Th_specimen_mean,Th_chamber,Th_uppergrips,Th_lowergrips,Specimen_name
,,,,,,,2173.762494,,,0.00744648,-0.00248853,0.00023919,,,,,,,,,,,,
,,,,,,,2207.362313,,,0.00759518,-0.00251346,0.00026826,,,,,,,,,,,,
,,,,,,,2238.636629,,,0.00775926,-0.00257099,0.000258125,,,,,,,,,,,,
,,,,,,,2269.800751,,,0.00789523,-0.0026088,0.000255753,,,,,,,,,,,,
,,,,,,,2304.044842,,,0.0080512,-0.00264802,0.000264717,,,,,,,,,,,,
,,,,,,,2333.030399,,,0.00821333,-0.00267785,0.000269394,,,,,,,,,,,,
,,,,,,,2369.94475,,,0.00837739,-0.00272927,0.000271271,,,,,,,,,,,,
,,,,,,,2397.898957,,,0.00852479,-0.0027647,0.000262259,,,,,,,,,,,,
,,,,,,,2430.738729,,,0.00869763,-0.00281002,0.000277166,,,,,,,,,,,,
,,,,,,,2460.085998,,,0.00884535,-0.00283111,0.000253214,,,,,,,,,,,,
,,,,,,,2489.529345,,,0.00900644,-0.00290686,0.00025923,,,,,,,,,,,,
,,,,,,,2518.701436,,,0.0091719,-0.00289634,0.000293685,,,,,,,,,,,,
,,,,,,,2545.807978,,,0.00932159,-0.00296351,0.000257996,,,,,,,,,,,,
,,,,,,,2575.435013,,,0.00948552,-0.00301453,0.000294519,,,,,,,,,,,,
,,,,,,,2606.652901,,,0.00965443,-0.00305514,0.000283722,,,,,,,,,,,,
,,,,,,,2631.521538,,,0.00980924,-0.00309764,0.000280875,,,,,,,,,,,,
,,,,,,,2658.698745,,,0.00997424,-0.00314075,0.00028444,,,,,,,,,,,,
,,,,,,,2681.385982,,,0.0101238,-0.00317445,0.000292227,,,,,,,,,,,,
,,,,,,,2712.075498,,,0.0102957,-0.0032078,0.000288477,,,,,,,,,,,,
,,,,,,,2736.667242,,,0.0104539,-0.00324442,0.000290153,,,,,,,,,,,,
,,,,,,,2762.635088,,,0.0106527,-0.00328491,0.000313106,,,,,,,,,,,,
,,,,,,,2787.710031,,,0.0107981,-0.00333457,0.000293581,,,,,,,,,,,,
,,,,,,,2812.454376,,,0.0109647,-0.00337485,0.000311479,,,,,,,,,,,,
,,,,,,,2835.831104,,,0.011129,-0.00342526,0.000298154,,,,,,,,,,,,
,,,,,,,2861.044519,,,0.0113001,-0.00344205,0.00030955,,,,,,,,,,,,
,,,,,,,2886.037539,,,0.0114472,-0.0035065,0.000265855,,,,,,,,,,,,
,,,,,,,2907.687799,,,0.0116407,-0.00353487,0.000312728,,,,,,,,,,,,
,,,,,,,2932.3474,,,0.0118232,-0.00356927,0.000302523,,,,,,,,,,,,
,,,,,,,2953.26017,,,0.0119915,-0.00360092,0.000318836,,,,,,,,,,,,
,,,,,,,2975.664897,,,0.0121548,-0.00364618,0.000311594,,,,,,,,,,,,
,,,,,,,2995.879734,,,0.0123326,-0.00368317,0.000311923,,,,,,,,,,,,
,,,,,,,3018.405974,,,0.0124937,-0.0037133,0.00031137,,,,,,,,,,,,
,,,,,,,3038.56148,,,0.0126844,-0.00375696,0.000316432,,,,,,,,,,,,
,,,,,,,3060.593236,,,0.0128452,-0.0037846,0.000323391,,,,,,,,,,,,
,,,,,,,3081.141518,,,0.013015,-0.00383025,0.000305163,,,,,,,,,,,,
,,,,,,,3101.588081,,,0.0132058,-0.00386465,0.000322616,,,,,,,,,,,,
,,,,,,,3119.440679,,,0.0133717,-0.00390625,0.000322636,,,,,,,,,,,,
,,,,,,,3138.533751,,,0.0135581,-0.00394997,0.00032505,,,,,,,,,,,,
,,,,,,,3159.531331,,,0.0137218,-0.00399377,0.000319276,,,,,,,,,,,,
,,,,,,,3176.595576,,,0.0139005,-0.00402158,0.000328521,,,,,,,,,,,,
,,,,,,,3195.787558,,,0.0140895,-0.0040657,0.000327777,,,,,,,,,,,,
,,,,,,,3211.783703,,,0.0142601,-0.00410038,0.00032271,,,,,,,,,,,,
,,,,,,,3229.893457,,,0.0144512,-0.00413105,0.000324288,,,,,,,,,,,,
,,,,,,,3247.952352,,,0.0146408,-0.00416342,0.000343295,,,,,,,,,,,,
,,,,,,,3264.722742,,,0.0148085,-0.00420827,0.000327022,,,,,,,,,,,,
,,,,,,,3280.368514,,,0.0149935,-0.00425609,0.00032871,,,,,,,,,,,,
