Machine_Time,Machine_N_cycles,Machine_Displacement,Machine_Load,MD_index--1,MD_N_cycles--1,MD_Displacement--1,MD_Load--1,u--1,v--1,eyy--1,exx--1,exy--1,Crack_length,Crack_N_cycles,Crack_Displacement,Crack_Load,Th_time,Th_N_cycles,Th_specimen_max,Th_specimen_mean,Th_chamber,Th_uppergrips,Th_lowergrips,Specimen_name
,,,,,,,0.0,,,0.0,0.0,0.0,,,,,,,,,,,,TT1M1S1
,,,,,,,11.323376,,,5.8e-05,-3.63e-05,1.32e-05,,,,,,,,,,,,
,,,,,,,47.556482,,,0.000223662,-8.68e-05,2.59e-05,,,,,,,,,,,,
,,,,,,,79.938016,,,0.000389717,-0.000144133,4.36e-05,,,,,,,,,,,,
,,,,,,,118.953588,,,0.000544144,-0.00022475,3.72e-05,,,,,,,,,,,,
,,,,,,,154.498025,,,0.000709441,-0.000285647,4.5e-05,,,,,,,,,,,,
,,,,,,,188.254134,,,0.000872725,-0.000363913,7.16e-05,,,,,,,,,,,,
,,,,,,,224.112366,,,0.00103276,-0.000404537,6.9e-05,,,,,,,,,,,,
,,,,,,,257.743518,,,0.00119616,-0.00046399,7.92e-05,,,,,,,,,,,,
,,,,,,,294.409835,,,0.00138744,-0.000541221,9.11e-05,,,,,,,,,,,,
,,,,,,,330.45135,,,0.00156504,-0.000592905,9.8e-05,,,,,,,,,,,,
,,,,,,,363.441043,,,0.00168396,-0.000667717,0.00010745,,,,,,,,,,,,
,,,,,,,399.315948,,,0.00184946,-0.000731379,0.000114816,,,,,,,,,,,,
,,,,,,,435.885084,,,0.00202125,-0.000782343,0.0001285,,,,,,,,,,,,
,,,,,,,467.133662,,,0.0021842,-0.000855458,0.000151426,,,,,,,,,,,,
,,,,,,,500.045611,,,0.00234799,-0.000905128,0.000140558,,,,,,,,,,,,
,,,,,,,537.400622,,,0.0024965,-0.000975866,0.000149099,,,,,,,,,,,,
,,,,,,,573.517133,,,0.00268729,-0.0010379,0.000177597,,,,,,,,,,,,
,,,,,,,604.485253,,,0.00285264,-0.00106937,0.000176367,,,,,,,,,,,,
,,,,,,,639.185546,,,0.00301089,-0.00114014,0.000240595,,,,,,,,,,,,
,,,,,,,671.08116,,,0.0031968,-0.00119483,0.000204622,,,,,,,,,,,,
,,,,,,,708.708325,,,0.00333851,-0.00122397,0.00020237,,,,,,,,,,,,
,,,,,,,748.623671,,,0.00354834,-0.00133943,0.000206885,,,,,,,,,,,,
,,,,,,,784.662451,,,0.0037105,-0.00140987,0.000234459,,,,,,,,,,,,
,,,,,,,814.664224,,,0.00384929,-0.00146323,0.000218995,,,,,,,,,,,,
,,,,,,,850.169844,,,0.00404645,-0.00150613,0.000232707,,,,,,,,,,,,
,,,,,,,883.056839,,,0.00420981,-0.00158577,0.0002381,,,,,,,,,,,,
,,,,,,,916.907426,,,0.00437621,-0.00163513,0.000272028,,,,,,,,,,,,
,,,,,,,950.535864,,,0.00450691,-0.00171756,0.000247988,,,,,,,,,,,,
,,,,,,,984.802996,,,0.00472269,-0.00178602,0.000283144,,,,,,,,,,,,
,,,,,,,1006.110268,,,0.0047305,-0.0018416,0.000318427,,,,,,,,,,,,
,,,,,,,1037.381116,,,0.00489547,-0.00191604,0.000314662,,,,,,,,,,,,
,,,,,,,1067.971623,,,0.00454971,-0.00199947,0.000460279,,,,,,,,,,,,
,,,,,,,1043.098786,,,0.00467069,-0.00208945,0.000465714,,,,,,,,,,,,
,,,,,,,1074.366861,,,0.00482661,-0.00213507,0.000463335,,,,,,,,,,,,
,,,,,,,1104.285359,,,0.00497722,-0.00217356,0.000483662,,,,,,,,,,,,
,,,,,,,1134.620397,,,0.00509391,-0.00225948,0.000456773,,,,,,,,,,,,
,,,,,,,1167.724026,,,0.00530347,-0.00232759,0.000512543,,,,,,,,,,,,
,,,,,,,1198.614457,,,0.00543341,-0.00240702,0.000495991,,,,,,,,,,,,
,,,,,,,1230.404613,,,0.005607,-0.00240978,0.000510151,,,,,,,,,,,,
,,,,,,,1261.414459,,,0.00576805,-0.00254938,0.0005447,,,,,,,,,,,,
,,,,,,,1291.388519,,,0.00592075,-0.00256289,0.000531647,,,,,,,,,,,,
,,,,,,,1321.73469,,,0.00605844,-0.00265113,0.000572896,,,,,,,,,,,,
,,,,,,,1353.427671,,,0.00622231,-0.0026968,0.000562037,,,,,,,,,,,,
,,,,,,,1379.425194,,,0.00639207,-0.00274801,0.000563833,,,,,,,,,,,,
,,,,,,,1412.151199,,,0.00653775,-0.00280703,0.000559156,,,,,,,,,,,,
,,,,,,,1439.698251,,,0.00670145,-0.00286522,0.000573163,,,,,,,,,,,,
,,,,,,,1470.880297,,,0.0068806,-0.00293183,0.00058865,,,,,,,,,,,,
,,,,,,,1501.60971,,,0.00701691,-0.0029825,0.000597467,,,,,,,,,,,,
,,,,,,,1530.895127,,,0.00719671,-0.00304662,0.000626689,,,,,,,,,,,,
,,,,,,,1558.383881,,,0.00736028,-0.0031048,0.000624549,,,,,,,,,,,,
,,,,,,,1585.692138,,,0.00750229,-0.00315743,0.000645509,,,,,,,,,,,,
,,,,,,,1615.6718,,,0.00767888,-0.00321257,0.000672621,,,,,,,,,,,,
,,,,,,,1644.968343,,,0.00783222,-0.00328183,0.000653663,,,,,,,,,,,,
,,,,,,,1670.163374,,,0.00800402,-0.00336339,0.000677773,,,,,,,,,,,,
,,,,,,,1700.165265,,,0.0081602,-0.00340826,0.000684655,,,,,,,,,,,,
,,,,,,,1728.731491,,,0.00832807,-0.00347387,0.000691903,,,,,,,,,,,,
,,,,,,,1753.057356,,,0.0084792,-0.00351446,0.000694509,,,,,,,,,,,,
,,,,,,,1784.161701,,,0.00864247,-0.00357143,0.000716292,,,,,,,,,,,,
,,,,,,,1810.456415,,,0.00880404,-0.00365934,0.000724332,,,,,,,,,,,,
,,,,,,,1837.195441,,,0.00896437,-0.00369323,0.000732139,,,,,,,,,,,,
,,,,,,,1862.85147,,,0.00911104,-0.00373942,0.000721219,,,,,,,,,,,,
,,,,,,,1893.075548,,,0.0092802,-0.00380003,0.000745168,,,,,,,,,,,,
,,,,,,,1912.450175,,,0.00944658,-0.00384752,0.000771395,,,,,,,,,,,,
,,,,,,,1937.620253,,,0.00958994,-0.0039124,0.000755894,,,,,,,,,,,,
,,,,,,,1962.479319,,,0.00976912,-0.00395942,0.000783712,,,,,,,,,,,,
,,,,,,,1941.385768,,,0.00993565,-0.00388837,0.000948526,,,,,,,,,,,,
,,,,,,,1964.417615,,,0.0100855,-0.00394237,0.000950938,,,,,,,,,,,,
,,,,,,,1991.345498,,,0.0102577,-0.00398604,0.000973499,,,,,,,,,,,,
,,,,,,,2018.012354,,,0.010417,-0.00406008,0.000984308,,,,,,,,,,,,
,,,,,,,2041.985592,,,0.0105674,-0.00410067,0.000995663,,,,,,,,,,,,
,,,,,,,2066.516997,,,0.0107279,-0.00420736,0.000987172,,,,,,,,,,,,
,,,,,,,2092.442426,,,0.0108941,-0.00421038,0.00101619,,,,,,,,,,,,
,,,,,,,2113.172219,,,0.0110393,-0.00427127,0.000995688,,,,,,,,,,,,
,,,,,,,2140.186213,,,0.0111993,-0.00434541,0.00104959,,,,,,,,,,,,
,,,,,,,2161.574147,,,0.0113493,-0.00439619,0.00102368,,,,,,,,,,,,
,,,,,,,2184.164495,,,0.0115046,-0.00442861,0.00104425,,,,,,,,,,,,
,,,,,,,2212.489215,,,0.0116849,-0.00448254,0.00104616,,,,,,,,,,,,
,,,,,,,2231.078009,,,0.0118481,-0.00454904,0.001074,,,,,,,,,,,,
,,,,,,,2255.873255,,,0.0120008,-0.00461236,0.00107977,,,,,,,,,,,,
,,,,,,,2279.027336,,,0.012179,-0.00467363,0.00108353,,,,,,,,,,,,
,,,,,,,2299.501678,,,0.0123239,-0.00473599,0.00109028,,,,,,,,,,,,
,,,,,,,2319.284567,,,0.0124829,-0.004757,0.00108973,,,,,,,,,,,,
,,,,,,,2344.365852,,,0.012639,-0.0048515,0.00108468,,,,,,,,,,,,
,,,,,,,2365.07069,,,0.0128286,-0.00489599,0.00111658,,,,,,,,,,,,
,,,,,,,2386.186518,,,0.0129463,-0.00495771,0.0011428,,,,,,,,,,,,
,,,,,,,2406.399844,,,0.0131672,-0.00498073,0.00116311,,,,,,,,,,,,
,,,,,,,2429.526182,,,0.0133227,-0.005078,0.00118073,,,,,,,,,,,,
,,,,,,,2449.098042,,,0.0134698,-0.00513069,0.00116321,,,,,,,,,,,,
,,,,,,,2468.75599,,,0.0136257,-0.00515774,0.00118338,,,,,,,,,,,,
,,,,,,,2486.061874,,,0.0137756,-0.00520172,0.00117456,,,,,,,,,,,,
