n_cycles,hysteresis_area,stiffness,creep
1,0.5205,,
2,0.52438,2.9090381974,1.9247203015
3,0.43966,3.1584455761,2.1256405745
4,0.389,3.2870639831,2.2730396595
5,0.35782,3.3846277608,2.3911101745
6,0.33505,3.4388155388,2.488352708
7,0.32077,3.4882581155,2.572104917
8,0.30817,3.5057446391,2.647213405
9,0.29647,3.5401621577,2.716225921
10,0.28854,3.5511917758,2.7776417555
11,0.28499,3.5721095121,2.8329194755
12,0.27986,3.5689699547,2.8895806755
13,0.27481,3.5929312299,2.941801795
14,0.27313,3.5861597872,2.992625232
15,0.26893,3.6033602337,3.0380956595
16,0.26665,3.5928821333,3.0841673725
17,0.26448,3.6067052435,3.1287429155
18,0.26394,3.5975705018,3.1719746765
19,0.2653,3.6055468026,3.2117607775
20,0.26242,3.5999121183,3.252869938
21,0.26328,3.6066270444,3.294178168
22,0.26143,3.6007546014,3.3338369105
23,0.26078,3.6080430149,3.372219391
24,0.26028,3.5979959631,3.408665303
25,0.25964,3.6095971691,3.4452212275
26,0.26107,3.6013084567,3.4824578325
27,0.25988,3.6067349704,3.516907338
28,0.25955,3.5963620066,3.551568254
29,0.25914,3.6043949419,3.5861380165
30,0.25813,3.5985328088,3.621820011
31,0.25687,3.599305408,3.6548788195
32,0.25548,3.6099153735,3.686828073
33,0.25594,3.6007130899,3.718647873
34,0.25592,3.612234161,3.7496273875
35,0.25745,3.5987819353,3.7806349575
36,0.25533,3.6082373184,3.811152768
37,0.25515,3.6021429053,3.841420752
38,0.25507,3.6113238698,3.8726899075
39,0.25568,3.600772252,3.9008997845
40,0.25519,3.6139044848,3.930107225
41,0.25495,3.6040505092,3.9588969665
42,0.2571,3.6145592851,3.987231292
43,0.25699,3.6029961778,4.014501697
44,0.25673,3.6128802296,4.0406998015
45,0.25524,3.6054425707,4.069289542
46,0.25403,3.6130893516,4.096398596
47,0.25797,3.6046938369,4.123313003
48,0.25747,3.6144352339,4.1484034155
49,0.25734,3.6079573419,4.1741847525
50,0.25564,3.6181517032,4.198956885
51,0.25742,3.6073568547,4.223968368
52,0.25988,3.6156006633,4.2481974235
53,0.25588,3.6123702647,4.272263497
54,0.25831,3.6177390172,4.297623411
55,0.25773,3.6095049094,4.3209046125
56,0.25688,3.6239569902,4.3432973325
57,0.25791,3.6134672098,4.365794361
58,0.26004,3.6172879944,4.389239475
59,0.25671,3.6166355067,4.411574686
60,0.25791,3.6263323041,4.43334179
61,0.25869,3.6159561445,4.4552418405
62,0.25783,3.6281258582,4.4771749525
63,0.25811,3.6189815347,4.499528324
64,0.25695,3.6305715806,4.519339185
65,0.2557,3.6236827238,4.541345639
66,0.25658,3.63268511,4.560020985
67,0.2589,3.624972951,4.5810313895
68,0.25873,3.6336375376,4.60047042
69,0.25969,3.6224174114,4.6203408855
70,0.25819,3.6315043791,4.6393254305
71,0.26079,3.6251019023,4.659744911
72,0.25777,3.6358059486,4.678495927
73,0.25943,3.627753921,4.696729593
74,0.25968,3.6368489615,4.7154603525
75,0.25775,3.6339592003,4.733515205
76,0.26232,3.6344672613,4.75163362
77,0.25923,3.6312184071,4.770569038
78,0.25998,3.6370272279,4.7881871
79,0.25975,3.6336719939,4.804585129
80,0.25823,3.6454162743,4.8223535995
81,0.25998,3.6348285218,4.837605171
82,0.25956,3.6436549268,4.8553613015
83,0.25843,3.6391847339,4.873726051
84,0.25872,3.6500984488,4.890209064
85,0.25783,3.6407793049,4.905839218
86,0.25989,3.6499542178,4.921438871
87,0.2593,3.6409259326,4.9369551705
88,0.25898,3.6519816484,4.953697324
89,0.25791,3.6477634831,4.968308378
90,0.2596,3.6562856912,4.98338067
91,0.25913,3.6481774512,4.998752149
92,0.25945,3.6559075005,5.0122821705
93,0.25938,3.6505868447,5.0285952165
94,0.26013,3.6580169859,5.042139208
95,0.25825,3.6557181101,5.0579996315
96,0.25994,3.657740118,5.072682863
97,0.25855,3.6541701807,5.087617319
98,0.25981,3.6598084163,5.1031077745
99,0.25774,3.6578430628,5.115556298
100,102.61397,3.6654229665,5.1296975
500,99.91942,3.976975095,7.0850693155
1000,85.21462,4.1288336752,7.711775368
1500,77.88889,4.1997434933,8.0189751465
2000,73.94789,4.244181957,8.225114085
2500,71.3001,4.2853816859,8.382679429
3000,68.85601,4.3012269162,8.511858061
3500,67.44987,4.3214900959,8.622985333
4000,65.99879,4.3433116047,8.718591649
4500,63.88882,4.3604566881,8.802758064
5000,63.65597,4.3738436038,8.879753761
5500,62.65857,4.3798978245,8.951141499
6000,61.2626,4.3897647145,9.016109165
6500,60.84333,4.3996335408,9.076230228
7000,60.52922,4.4103058943,9.1302013025
7500,59.73366,4.415898324,9.1827907595
8000,60.53694,4.4130499148,9.229853749
8500,57.19735,4.4306442288,9.2811882495
9000,57.81297,4.4359084255,9.3222828585
9500,57.45997,4.4399783002,9.3664396555
10000,57.72131,4.4385762045,9.404537268
10500,57.15949,4.4416863651,9.442253038
11000,57.35578,4.4530878057,9.4785806725
11500,58.0252,4.4506765013,9.516613558
12000,56.03875,4.4572485958,9.552448988
12500,55.05254,4.4602080665,9.584993124
13000,55.64431,4.4669082646,9.6169030295
13500,55.69837,4.472702739,9.6482164225
14000,55.10851,4.4694339288,9.6789798695
14500,55.23924,4.4683571693,9.71175637
15000,54.44806,4.4787331932,9.737684393
15500,54.57967,4.4764551019,9.7648627105
16000,54.6343,4.4726775442,9.793621955
16500,54.7176,4.4710655981,9.822358845
17000,54.62955,4.4804685374,9.8489238885
17500,53.63277,4.4849189778,9.875220246
18000,53.89935,4.4835386198,9.898603429
18500,53.90191,4.4852539391,9.925328659
19000,54.58546,4.4895699297,9.951322342
19500,53.66651,4.4950221938,9.972329715
20000,52.93766,4.4927381399,9.998566469
20500,53.38953,4.4925542519,10.018717033
21000,53.07678,4.4989552898,10.041726287
21500,52.94302,4.5039445119,10.063984431
22000,53.44797,4.4994182037,10.0849838925
22500,52.44616,4.5024921549,10.107149834
23000,52.73236,4.5073241632,10.126207491
23500,52.9543,4.5068660545,10.145860258
24000,52.09388,4.5079952036,10.1644839135
24500,52.31168,4.5089310168,10.186030528
25000,51.85468,4.5118081678,10.2019468325
25500,51.76861,4.5120323621,10.2220396515
26000,52.21208,4.5088104992,10.240484962
26500,51.78087,4.5118855367,10.26052097
27000,51.87414,4.5127811324,10.2754672975
27500,51.7182,4.5125721309,10.2936713965
28000,51.88323,4.5129292003,10.3102391585
28500,52.18856,4.5105220086,10.328982493
29000,50.92809,4.5190757676,10.344507639
29500,51.21818,4.5208533955,10.362278205
30000,51.02297,4.5179354669,10.376262015
30500,50.84835,4.5192295737,10.3923264
31000,50.4238,4.5271431634,10.40859148
31500,50.40984,4.5245059798,10.423146655
32000,50.62991,4.527288706,10.43901546
32500,50.40421,4.5268620333,10.45246655
33000,50.38319,4.5297301851,10.46983572
33500,49.71926,4.5272489647,10.482765735
34000,50.04117,4.5272502324,10.497250595
34500,50.00123,4.5320448382,10.50907653
35000,49.97167,4.5324029369,10.523311795
35500,50.93389,4.5319111424,10.537378955
36000,49.96688,4.5318891289,10.552584195
36500,49.8328,4.5298244204,10.563970075
37000,49.27185,4.5346336502,10.578786955
37500,50.44998,4.5323744405,10.591345835
38000,49.7224,4.5384392097,10.60442347
38500,50.27894,4.5329677323,10.614554865
39000,50.02938,4.5340434813,10.628769175
39500,49.45842,4.5382205046,10.642484295
40000,49.6585,4.5398131072,10.65477822
40500,49.2901,4.536493599,10.6655336
41000,49.63813,4.5307991311,10.679931845
41500,49.37513,4.5360119642,10.68940572
42000,49.20059,4.540079513,10.70161257
42500,49.08241,4.5375071618,10.71284665
43000,49.41069,4.5348454589,10.72264137
43500,48.68651,4.5448031929,10.738148355
44000,49.48392,4.5409970529,10.748039
44500,49.26463,4.5356145,10.759018365
45000,50.29048,4.5361029404,10.770351625
45500,49.19104,4.5377615047,10.78134542
46000,48.26014,4.5481246237,10.792763905
46500,49.04931,4.5373636482,10.803001
47000,49.13478,4.5378927269,10.814812035
47500,49.25091,4.5446753989,10.823561805
48000,49.17106,4.5417361095,10.834970045
48500,47.89553,4.5401331383,10.84585441
49000,49.45301,4.5389965355,10.855413505
49500,49.18149,4.5473211868,10.86561382
50000,48.66868,4.5437644441,10.875239965
50500,48.46337,4.5391349581,10.8867744
51000,48.69389,4.539650353,10.89634001
51500,48.65505,4.5442983139,10.908787605
52000,48.80793,4.5463429126,10.916519445
52500,48.56588,4.5426586566,10.927099735
53000,47.02933,4.5512742618,10.9461369
53500,47.88115,4.5437035724,10.94602514
54000,48.83215,4.5490559798,10.95652301
54500,48.68632,4.5459848459,10.966439265
55000,49.01681,4.5434421445,10.97592339
55500,48.01579,4.5502532728,10.985056405
56000,49.95932,4.5441997777,10.996234135
56500,48.15634,4.5501292649,11.003515215
57000,47.98389,4.5466669566,11.010675225
57500,48.18557,4.5467531418,11.024705135
58000,48.03623,4.5475051424,11.03399228
58500,48.00086,4.5482626806,11.04374323
59000,47.59225,4.5521286106,11.04867179
59500,46.20574,4.5597806332,11.06989244
60000,47.10276,4.5530549009,11.0699106
60500,48.94075,4.5428998215,11.077990755
61000,48.44411,4.548475024,11.086944025
61500,47.57414,4.5501858027,11.095530355
62000,47.89912,4.5504892247,11.10357465
62500,47.49977,4.5466406321,11.11280918
63000,48.40696,4.5444534172,11.12174988
63500,49.16452,4.5467786491,11.130531785
64000,47.44778,4.5527516319,11.13882661
64500,47.72401,4.548658105,11.14957221
65000,48.99976,4.5414814211,11.155411605
65500,46.53368,4.5530528368,11.1679039
66000,47.52385,4.5510176686,11.1762397
66500,48.36271,4.5452660709,11.184024625
67000,47.85713,4.5445017152,11.1925588
67500,48.16978,4.5423400028,11.201400775
68000,47.14984,4.5490646054,11.20864181
68500,46.52136,4.5493190181,11.21431589
69000,47.90933,4.5474174508,11.22424938
69500,48.52567,4.5431005885,11.23483852
70000,47.97624,4.5455377528,11.24029979
70500,47.68704,4.5455700042,11.250138285
71000,47.27378,4.5456457618,11.258334855
71500,47.95041,4.5417047455,11.267186145
72000,47.62926,4.5510492262,11.272846255
72500,48.78781,4.5436054674,11.28279418
73000,47.65289,4.5424901844,11.287833565
73500,47.03652,4.5477580252,11.293890885
74000,47.42754,4.5454796535,11.30492613
74500,48.06347,4.5468874266,11.313245165
75000,47.62731,4.5445657952,11.32261939
75500,47.55104,4.5474851161,11.327920945
76000,47.92592,4.5445468877,11.339295655
76500,47.72264,4.5493932301,11.34206448
77000,47.111,4.5481322089,11.346490125
77500,46.25698,4.5531030974,11.364873965
78000,47.97549,4.5502826137,11.36854524
78500,47.92793,4.5503442584,11.375666595
79000,47.9562,4.5437806,11.38053043
79500,47.34295,4.550166576,11.38980454
80000,47.80122,4.5509581513,11.39509864
80500,47.69606,4.5465457564,11.40190987
81000,47.14312,4.548461704,11.410378385
81500,46.96382,4.5475358837,11.4165633
82000,47.38473,4.547016833,11.423609685
82500,47.01947,4.5472751418,11.43279858
83000,48.54564,4.5456785783,11.436169035
83500,46.4558,4.5497867485,11.4509305
84000,46.03287,4.5549107524,11.45810727
84500,45.837,4.5519332469,11.468291745
85000,47.30254,4.5427274559,11.4682354
85500,46.03555,4.5526374901,11.479590555
86000,46.46215,4.5504158928,11.487902145
86500,48.01837,4.5469219019,11.488041375
87000,45.99108,4.5521719099,11.498438195
87500,46.65204,4.547858741,11.50074275
88000,45.92387,4.5555228265,11.510562615
88500,47.37737,4.5454306702,11.51294168
89000,46.24411,4.5511449275,11.52222557
89500,45.85451,4.5506020001,11.53115416
90000,46.57885,4.5482400133,11.53583778
90500,46.38161,4.5520420385,11.543059255
91000,47.54676,4.541980056,11.549849995
91500,46.86264,4.5508397684,11.555799285
92000,47.32061,4.5496258321,11.566878295
92500,46.76682,4.5518787267,11.568979825
93000,46.69176,4.5481935932,11.58219716
93500,46.10971,4.5499176549,11.584208345
94000,46.91739,4.548995477,11.589534115
94500,45.85367,4.5556272199,11.596696915
95000,45.97858,4.5536170341,11.606777085
95500,46.65915,4.5514312978,11.609921235
96000,45.19126,4.5509644985,11.613813695
96500,46.63867,4.5515194245,11.62140071
97000,46.07717,4.5476197078,11.62848528
97500,46.78834,4.5536234024,11.63275028
98000,46.08668,4.5470579125,11.64201414
98500,46.73872,4.5513043848,11.647914535
99000,46.34615,4.5514178112,11.65628387
99500,46.17736,4.5487302671,11.66129578
100000,46.41646,4.5464655512,11.666839475
100500,46.25295,4.554348599,11.671392245
101000,46.25217,4.5520124835,11.678732
101500,46.65416,4.5513676718,11.684096885
102000,45.66693,4.5501743343,11.691409165
102500,46.74413,4.5526071096,11.698042505
103000,46.26703,4.5544936652,11.705839075
103500,46.02258,4.5485049303,11.71106752
104000,46.35914,4.5483832967,11.717638005
104500,45.91484,4.5479282343,11.71962544
105000,46.21352,4.5552396667,11.72961993
105500,46.17682,4.5484370188,11.736130805
106000,45.33883,4.5501527333,11.742122935
106500,46.75313,4.5528183883,11.74865989
107000,44.75976,4.5567860465,11.75403595
107500,46.53819,4.5476901244,11.7564057
108000,45.3699,4.5532302518,11.76464837
108500,45.45457,4.552017418,11.7723057
109000,45.63028,4.5531913147,11.77931065
109500,46.69526,4.5433604708,11.78432908
110000,46.67915,4.5454007681,11.78977033
110500,46.4605,4.5454896271,11.791059745
111000,46.14992,4.5525848562,11.80842798
111500,46.15273,4.546792119,11.80339977
112000,45.74831,4.5503594606,11.813288555
112500,46.38943,4.5466119349,11.81683736
113000,45.90659,4.5516539025,11.82500366
113500,46.14199,4.5434821554,11.82938367
114000,47.12832,4.5406604146,11.83629921
114500,46.85966,4.547465027,11.84574608
115000,45.90815,4.5528071189,11.849516535
115500,46.69881,4.5467195933,11.8575641
116000,46.34711,4.5461743851,11.86282001
116500,46.47147,4.5458372168,11.869526935
117000,46.48333,4.5490989288,11.871130205
117500,45.93522,4.5460038106,11.877878105
118000,46.39404,4.5410412467,11.886846275
118500,46.33245,4.5448479853,11.892654465
119000,45.6694,4.5492055572,11.898099445
119500,45.95532,4.5399775468,11.902789115
120000,45.61391,4.5427796617,11.91109465
120500,46.6286,4.5427834839,11.914778035
121000,46.42389,4.5467505873,11.92104025
121500,46.46141,4.5435737927,11.927826795
122000,46.07461,4.5435251905,11.93380449
122500,45.60183,4.544783033,11.941076725
123000,46.83088,4.542724853,11.944305155
123500,46.26273,4.5394434942,11.951559225
124000,45.92247,4.5376985188,11.958402115
124500,47.05506,4.5474527285,11.962838005
125000,45.93649,4.5403709591,11.97013911
125500,47.13509,4.5377773229,11.97640225
126000,46.05619,4.5370936074,11.98225608
126500,46.81896,4.5434127304,11.98714133
127000,46.5428,4.5430803353,11.995301115
127500,46.44343,4.535940201,11.99976867
128000,45.02269,4.5417426681,12.0058069
128500,46.71224,4.5347798545,12.01241277
129000,46.37648,4.5422224991,12.022519485
129500,46.53938,4.5412840939,12.024789585
130000,46.44628,4.5404161091,12.033562175
130500,46.34175,4.5365333062,12.03516126
131000,47.20552,4.5389287639,12.039422525
131500,46.25008,4.5428977637,12.04813225
132000,46.94487,4.5337144615,12.059640605
132500,46.08069,4.5305306467,12.059551665
133000,46.19375,4.5319974842,12.068516105
133500,45.63518,4.5389109367,12.077784635
134000,47.92038,4.5263817901,12.078853325
134500,45.76328,4.5348028171,12.093935625
135000,46.5975,4.535305324,12.099946385
135500,45.60864,4.5398801683,12.1046626
136000,46.44804,4.5337037505,12.10913295
136500,46.03792,4.5338880082,12.117175385
137000,46.24054,4.536861234,12.122081125
137500,46.87593,4.5301504734,12.12689653
138000,46.2204,4.5307891607,12.1308947
138500,47.69076,4.5266001183,12.13918347
139000,46.92307,4.531303704,12.146559545
139500,45.66076,4.5313590257,12.154221065
140000,46.73392,4.5267566422,12.158840425
140500,47.17072,4.524344501,12.16821326
141000,46.37173,4.5260798987,12.17522146
141500,46.84029,4.5273715246,12.182073205
142000,47.34518,4.5209269502,12.186144475
142500,46.39273,4.5220788533,12.19452545
143000,45.43478,4.5273560876,12.202154845
143500,46.49347,4.5245046485,12.210970745
144000,46.58721,4.5230925334,12.216598725
144500,46.67004,4.5225268162,12.224087955
145000,47.46291,4.5257530247,12.230266815
145500,46.54196,4.5255755781,12.23960845
146000,47.15579,4.5186814793,12.24641828
146500,46.93646,4.51530773,12.253252325
147000,47.57299,4.5161284902,12.261315715
147500,46.80561,4.5178572391,12.269404255
148000,45.58883,4.5155017349,12.275945395
148500,46.21286,4.5153370555,12.282613665
149000,46.69187,4.5186410219,12.292239815
149500,46.56785,4.5168949764,12.299359775
150000,46.60517,4.5130461289,12.305022215
150500,46.38896,4.5110270217,12.31531706
151000,46.41884,4.5172899877,12.322256345
151500,46.2744,4.5175608472,12.32995046
152000,46.19547,4.5115790221,12.338074855
152500,46.12737,4.5119855501,12.343974315
153000,46.71296,4.5151560478,12.35291315
153500,46.26393,4.5171679989,12.358902955
154000,46.18889,4.5185243658,12.36573886
154500,46.52183,4.5139391099,12.373920995
155000,46.92384,4.5140352783,12.380289845
155500,46.19863,4.5142785522,12.38716487
156000,45.84406,4.51486351,12.394704855
156500,45.41829,4.5166863703,12.4032218
157000,45.89896,4.5202285552,12.409750375
157500,45.54406,4.5184062791,12.419555805
158000,47.23827,4.5074202811,12.419976295
158500,45.76041,4.5174996943,12.43472332
159000,47.91265,4.5062628545,12.436427175
159500,44.78339,4.5201929365,12.451185845
160000,44.57498,4.5258484404,12.45494466
160500,45.06139,4.5183615309,12.46868167
161000,47.1372,4.5099001991,12.466620655
161500,46.75978,4.5150926629,12.47411594
162000,46.72621,4.5125547049,12.47913437
162500,46.47768,4.5115373319,12.48610439
163000,44.52221,4.5187194995,12.50622375
163500,46.71529,4.5133494297,12.502443045
164000,46.58553,4.5157689376,12.509001885
164500,46.68253,4.5077749879,12.516541405
165000,45.54562,4.5107209032,12.525543105
165500,45.83461,4.514311585,12.533304745
166000,47.15032,4.5139275683,12.53781142
166500,44.95324,4.5139228763,12.546917885
167000,46.2459,4.5108595178,12.55140267
167500,45.88434,4.5194815089,12.55789725
168000,46.16496,4.513433044,12.56804308
168500,47.09232,4.5078899856,12.575659435
169000,45.99599,4.5098532467,12.58099638
169500,46.5985,4.5119225545,12.58704392
170000,46.46704,4.5100863292,12.59687543
170500,47.11486,4.508344557,12.60021655
171000,45.21244,4.511587835,12.61295425
171500,45.88831,4.5147185397,12.61715358
172000,47.59164,4.5040911565,12.620073745
172500,43.40712,4.5189411607,12.64007855
173000,46.42049,4.5047297587,12.63680635
173500,45.80611,4.5144300302,12.64247438
174000,46.34688,4.511630306,12.65152311
174500,45.86041,4.5045291476,12.65879674
175000,46.67411,4.5084638199,12.6663018
175500,45.69805,4.5124016066,12.67203083
176000,45.67244,4.5106888125,12.67639501
176500,45.95872,4.5069359069,12.688229795
177000,45.97494,4.5027379338,12.69276766
177500,45.26222,4.508470987,12.69922499
178000,45.99197,4.5050168861,12.70914031
178500,46.79367,4.5055385808,12.71394966
179000,46.89568,4.5011223896,12.72223238
179500,45.70316,4.5095615554,12.727063615
180000,46.03349,4.5091500578,12.734738645
180500,45.93644,4.5023333284,12.743980155
181000,45.98064,4.5029008055,12.747353405
181500,46.61448,4.5020079863,12.757658495
182000,47.11861,4.5014231977,12.76254654
182500,45.65313,4.5011090044,12.76917104
183000,46.60597,4.5021927817,12.776513115
183500,47.05929,4.5024503843,12.782712005
184000,45.6914,4.5056817048,12.792936995
184500,45.96194,4.4979702257,12.79576775
185000,46.74842,4.496241929,12.805697975
185500,45.67442,4.5037172051,12.81132689
186000,45.73599,4.4979036995,12.82002358
186500,46.32384,4.4986994557,12.825838755
187000,46.5916,4.4946574929,12.83329539
187500,46.02877,4.498958647,12.83955248
188000,46.55223,4.5015100315,12.84746779
188500,46.40301,4.4973665333,12.85318984
189000,47.27162,4.4861191996,12.858860195
189500,47.07017,4.49290688,12.86946051
190000,46.80121,4.496020563,12.87385914
190500,46.15286,4.4976109356,12.881062925
191000,46.51627,4.4899782864,12.888127475
191500,46.61284,4.4948141164,12.89589936
192000,46.83266,4.4909678214,12.903759255
192500,46.26599,4.4970138666,12.911505065
193000,46.03502,4.4911983442,12.9203354
193500,46.31955,4.4920800188,12.9237948
194000,46.65804,4.4931015315,12.93391874
194500,46.65717,4.4928661468,12.94020191
195000,46.8687,4.4897285387,12.947715355
195500,46.76326,4.4846940704,12.95242086
196000,46.0849,4.4899832868,12.9597676
196500,47.18231,4.4887484562,12.96734111
197000,47.00189,4.4845706618,12.97553722
197500,45.77212,4.4835225916,12.983262535
198000,46.2977,4.4877234817,12.989876325
198500,46.25468,4.4876296286,12.994956225
199000,46.81628,4.4806284987,13.004872485
199500,46.48677,4.4800509902,13.01329909
200000,46.15182,4.4839474563,13.020933605
200500,46.60087,4.4816799977,13.0263418
201000,46.43457,4.4798739768,13.032430315
201500,46.78207,4.4776099265,13.04297941
202000,46.52701,4.4801916553,13.04760203
202500,46.50225,4.480612021,13.055939695
203000,46.3848,4.4735397446,13.062122275
203500,46.36979,4.4776469448,13.071460185
204000,46.30266,4.4755405464,13.078803195
204500,45.98203,4.4782094133,13.08546914
205000,45.98479,4.4764400501,13.09287874
205500,46.61257,4.47412133,13.10035307
206000,46.3834,4.4811457091,13.10774311
206500,46.49814,4.4753393603,13.11502373
207000,46.53009,4.4728924247,13.12150387
207500,46.60067,4.470303369,13.13112024
208000,46.35319,4.4714328291,13.137239495
208500,46.29405,4.4705170484,13.147753665
209000,45.96527,4.4689707223,13.154355345
209500,46.54489,4.4712327414,13.15969974
210000,46.52792,4.4702196963,13.16944789
210500,46.57165,4.4689888537,13.17778602
211000,46.9662,4.4658883808,13.182822615
211500,47.36794,4.4622759053,13.19227321
212000,47.56433,4.464842839,13.20052147
212500,47.13982,4.4612120974,13.20779929
213000,47.08775,4.4634331418,13.215219605
213500,46.83446,4.4594263443,13.22111767
214000,46.21622,4.4630457473,13.22986791
