n_cycles,hysteresis_area,stiffness,creep
1,0.02486,,
2,0.00929,1.1360033482,2.6146186285
3,0.00849,1.1652989753,2.814967884
4,0.00847,1.3321754727,2.9926262795
5,0.0081,1.3704801122,3.152661375
6,0.00822,1.5092554366,3.297838033
7,0.00818,1.570236723,3.4315282245
8,0.00784,1.7423318841,3.5547805015
9,0.00787,1.7824758108,3.6704165395
10,0.00769,1.9682811324,3.775672871
11,0.00723,2.0211919793,3.873443813
12,0.00904,2.1322770176,3.9622442565
13,0.00843,2.3082738134,4.044670146
14,0.00808,2.339795163,4.1225051975
15,0.00815,2.494655061,4.1945606935
16,0.00758,2.5432348338,4.2594166005
17,0.00728,2.6951316858,4.322009627
18,0.00715,2.7479043725,4.3788249605
19,0.0072,2.8638464004,4.43656859
20,0.00685,2.8876861035,4.488350358
21,0.00645,2.9682823636,4.5383553955
22,0.00639,3.0071588568,4.587442614
23,0.00622,3.0942378811,4.633110482
24,0.00588,3.1002370131,4.6781031415
25,0.00644,3.1592839681,4.7217819375
26,0.00603,3.1805543519,4.7629459295
27,0.00646,3.1864162477,4.8077453395
28,0.00626,3.2336014973,4.845951684
29,0.00721,3.2632913301,4.884610651
30,0.00656,3.3031233712,4.924042616
31,0.00667,3.3174245953,4.9612144935
32,0.00723,3.3234683065,5.000247387
33,0.00634,3.3524258995,5.034997128
34,0.00675,3.3509957275,5.072238622
35,0.00677,3.3559116889,5.108369747
36,0.0065,3.407953523,5.143667571
37,0.00639,3.4232128551,5.1767306865
38,0.00667,3.4703877456,5.2093518895
39,0.00671,3.4747256974,5.2418233825
40,0.0063,3.485252693,5.27585065
41,0.00663,3.4996690271,5.3076238835
42,0.00643,3.5302549206,5.33832144
43,0.00643,3.5383702832,5.369885359
44,0.00627,3.5808236888,5.3986478595
45,0.00634,3.5789132557,5.427579163
46,0.00732,3.5968362323,5.4554408415
47,0.00706,3.6104123242,5.485047819
48,0.0064,3.638762755,5.512430798
49,0.00708,3.6379144545,5.5409534835
50,0.00695,3.6522096723,5.5695471815
51,0.00706,3.6901274368,5.595390918
52,0.00639,3.6934877293,5.6216139345
53,0.00719,3.7240363893,5.645719124
54,0.00669,3.7105995783,5.671760999
55,0.00652,3.7359271792,5.69554721
56,0.00687,3.7475784501,5.720492685
57,0.00651,3.7746299263,5.743937334
58,0.00692,3.7572675706,5.768469069
59,0.00677,3.7797087575,5.7919579555
60,0.00678,3.8111903449,5.8145432265
61,0.00636,3.7996239878,5.8370819315
62,0.00667,3.8158499671,5.8578485625
63,0.00659,3.8480169843,5.8796652595
64,0.00626,3.8397808815,5.9027327225
65,0.00708,3.8522931794,5.9248148465
66,0.00704,3.8574270935,5.9473712465
67,0.00699,3.8893805731,5.965926452
68,0.00751,3.9085797785,5.988258403
69,0.00677,3.8845127143,6.009626668
70,0.00707,3.9045302304,6.0286596415
71,0.0074,3.9013182852,6.0504698195
72,0.0066,3.9309347814,6.069380324
73,0.00687,3.9536221628,6.088614231
74,0.00733,3.9575398165,6.1073587275
75,0.00653,3.9566467113,6.1262378
76,0.00689,3.9635660691,6.1446104665
77,0.00668,4.0000510448,6.1627936085
78,0.0068,3.9833104596,6.1813367065
79,0.00714,3.984721123,6.198970834
80,0.00718,3.9920093315,6.2173684125
81,0.00684,3.9945778163,6.2336218545
82,0.00768,4.0051009548,6.2517793845
83,0.00746,4.0270200671,6.2682663555
84,0.00791,4.0209856206,6.285262061
85,0.00771,4.0168443216,6.301013287
86,0.00741,4.0373250083,6.3163179435
87,0.00764,4.0312589897,6.334865931
88,0.00778,4.0240516363,6.3508641905
89,0.00763,4.0376128773,6.3682307955
90,0.00749,4.0553612662,6.382977823
91,0.0075,4.0769801511,6.397405406
92,0.0071,4.0835082771,6.4122299665
93,0.00734,4.0969518059,6.427688524
94,0.00726,4.0994324469,6.44143275
95,0.00716,4.1268617365,6.4584629145
96,0.00707,4.1242501742,6.472504232
97,0.00754,4.1200345024,6.4881877045
98,0.00719,4.1303901913,6.5028471875
99,0.00825,4.1488841189,6.5164237745
100,3.17808,4.1225098032,6.5299179405
500,6.58867,4.5837356552,8.668556344
1000,5.84717,4.7089478987,9.449210484
1500,5.39311,4.7986030861,9.8507641815
2000,4.69145,4.8267450827,10.119121522
2500,4.37704,4.848792569,10.31917473
3000,4.31081,4.8848768073,10.47969749
3500,4.36578,4.9198640737,10.61249245
4000,4.28924,4.9127457492,10.72814921
4500,3.80089,4.9196415385,10.831000285
5000,3.83831,4.9242922193,10.92001842
5500,3.60876,4.9562905417,11.00437483
6000,3.71816,4.9666671308,11.080075985
6500,3.41798,4.971638789,11.14926301
7000,3.69913,4.9957295028,11.212375485
7500,3.27367,4.989583514,11.270530525
8000,3.44462,5.0070588617,11.32598892
8500,3.58776,4.9867512777,11.37746219
9000,3.77941,4.998077345,11.426878625
9500,3.60837,5.0218422278,11.47474628
10000,3.25253,5.0164731051,11.518316345
10500,3.43846,5.0178527825,11.56144496
11000,3.0447,5.0396167172,11.6006122
11500,3.64775,5.0203464931,11.638948695
12000,3.44777,5.0325188203,11.67683769
12500,3.46374,5.0287986994,11.71101583
13000,3.32268,5.0469795496,11.744567655
13500,3.06491,5.045610958,11.77638443
14000,3.43733,5.0565240077,11.807980945
14500,3.14633,5.042152275,11.837795375
15000,3.00391,5.0580358397,11.86735509
15500,3.42363,5.0640026634,11.89362071
16000,3.52891,5.0518186717,11.923130135
16500,2.9958,5.0549718288,11.94937248
17000,3.27855,5.0595514731,11.97469421
17500,3.15256,5.0618656884,12.001540045
18000,3.31747,5.0639552267,12.02583034
18500,3.29861,5.0547470639,12.04858348
19000,3.24418,5.07880354,12.07453804
19500,3.26688,5.0843197191,12.097237165
20000,3.65895,5.0957228371,12.121452485
20500,3.06398,5.0817724549,12.14053575
21000,3.10175,5.0735052805,12.16151845
21500,3.14088,5.0758556786,12.18198193
22000,2.80572,5.0913507978,12.203876395
22500,3.20088,5.0571872705,12.22398784
23000,3.6483,5.0698712556,12.24253047
23500,3.15997,5.0884146098,12.26281887
24000,3.51074,5.0745000018,12.2809452
24500,3.46253,5.1018303435,12.302481105
25000,3.00818,5.0993451772,12.317800895
25500,3.62979,5.0859477762,12.337075545
26000,3.25846,5.1183147587,12.35513436
26500,2.76555,5.0940790005,12.374491895
27000,3.24006,5.0928750667,12.39087852
27500,2.93976,5.0894366881,12.40642462
28000,3.12365,5.1089501428,12.42412487
28500,2.92941,5.110180159,12.44135294
29000,3.13753,5.0828580599,12.45306572
29500,2.70552,5.1033853791,12.472301255
30000,3.23329,5.1042566375,12.49071816
30500,3.1878,5.1135640311,12.50585634
31000,3.26007,5.09581352,12.52157707
31500,3.12952,5.1139722946,12.53754087
32000,2.86996,5.1065569521,12.55224133
32500,2.704,5.0982187162,12.56582886
33000,3.22383,5.1141369742,12.58134935
33500,3.06939,5.1172972437,12.59720512
34000,3.23441,5.1167769486,12.611646205
34500,2.7775,5.1169801341,12.627219315
35000,2.98334,5.1247359976,12.641815005
35500,2.998,5.1035194771,12.65470777
36000,2.64616,5.1011295147,12.66760891
36500,3.25346,5.1059410296,12.681018565
37000,3.06618,5.121465583,12.694738805
37500,3.09855,5.1174476678,12.706773355
38000,3.38226,5.1324388083,12.719402555
38500,2.67774,5.1226972487,12.732030825
39000,2.96582,5.1265788835,12.74512522
39500,2.74042,5.1194497431,12.75533158
40000,2.93231,5.115488555,12.76862342
40500,2.92103,5.1291795608,12.781631665
41000,2.6619,5.127759594,12.79125549
41500,3.01024,5.1356771303,12.80156337
42000,2.65378,5.1261085509,12.813892215
42500,2.89708,5.1218025372,12.82550907
43000,2.79415,5.1108868952,12.836802285
43500,2.85344,5.1201828329,12.84671668
44000,2.8199,5.1224587852,12.859437615
44500,2.81717,5.1188742,12.87018089
45000,3.02234,5.1248154732,12.87860796
