n_cycles,hysteresis_area,stiffness,creep
1,5e-05,,
2,3e-05,6.8221880661,0.013863697
3,3e-05,7.2222193218,0.0145654281
4,2e-05,7.4886288197,0.0150322019
5,2e-05,7.6857578502,0.0153777022
6,2e-05,7.7928256219,0.0156533773
7,2e-05,7.8575978286,0.015865652
8,2e-05,7.9185883857,0.0160681469
9,2e-05,7.959772009,0.0162511584
10,2e-05,8.0426664883,0.0163972523
11,2e-05,8.0430588359,0.0165522149
12,2e-05,8.0614822069,0.0167249207
13,2e-05,8.069169618,0.0168633356
14,2e-05,8.1204190503,0.0169977022
15,2e-05,8.1206853808,0.0171310967
16,2e-05,8.1339498687,0.0172414104
17,2e-05,8.1357982448,0.0173763016
18,2e-05,8.1414978764,0.0175029527
19,2e-05,8.1839505228,0.0176100977
20,2e-05,8.1528925961,0.0177424125
21,2e-05,8.1764643918,0.0178482871
22,2e-05,8.1538932923,0.0179828014
23,2e-05,8.1866365717,0.0180879084
24,2e-05,8.186321039,0.0181985859
25,2e-05,8.1918458125,0.0183003634
26,2e-05,8.1866677705,0.0184197459
27,2e-05,8.1944212712,0.0185053359
28,2e-05,8.2252454096,0.0186102872
29,2e-05,8.2030584799,0.0187226804
30,2e-05,8.2038692379,0.0188201106
31,2e-05,8.2072694709,0.018911784
32,2e-05,8.2215668409,0.0190236118
33,2e-05,8.222355826,0.019111875
34,2e-05,8.2057528262,0.0192176238
35,2e-05,8.212934142,0.0192901134
36,2e-05,8.2184198534,0.0193809035
37,2e-05,8.2438883936,0.0194721761
38,2e-05,8.2225766789,0.0195657143
39,2e-05,8.2236797437,0.0196521869
40,2e-05,8.2233496621,0.0197387373
41,2e-05,8.2343164727,0.019837993
42,2e-05,8.2280518081,0.0199169393
43,2e-05,8.2161302535,0.0200058872
44,2e-05,8.2185473703,0.0200976632
45,2e-05,8.2339188978,0.0201589886
46,2e-05,8.2347787222,0.0202511503
47,2e-05,8.2163975747,0.0203409654
48,2e-05,8.2133921258,0.0204291515
49,2e-05,8.2270503204,0.0205006669
50,2e-05,8.2306357923,0.0205901772
51,2e-05,8.2144256304,0.0206794008
52,2e-05,8.2241039813,0.020745927
53,2e-05,8.2104744931,0.0208382022
54,2e-05,8.2094689396,0.0209169164
55,2e-05,8.2347702891,0.0209927013
56,2e-05,8.2226056136,0.0210669401
57,2e-05,8.2219194645,0.021123491
58,2e-05,8.2211793334,0.0212006904
59,2e-05,8.2348001976,0.0212790226
60,2e-05,8.2182772887,0.021353177
61,2e-05,8.2152128878,0.0214381864
62,2e-05,8.2209586762,0.0215073465
63,2e-05,8.2138961899,0.0215776621
64,2e-05,8.2278918973,0.021657977
65,2e-05,8.2234391928,0.0217254332
66,2e-05,8.2079400079,0.0217916087
67,2e-05,8.2199931833,0.0218659785
68,2e-05,8.2223267991,0.0219402245
69,2e-05,8.2268060371,0.0219911148
70,2e-05,8.2211404975,0.0220659189
71,2e-05,8.230692232,0.0221271395
72,2e-05,8.2237951129,0.0221961869
73,2e-05,8.2393461422,0.0222680806
74,2e-05,8.234175203,0.022330811
75,2e-05,8.2332482117,0.0223906325
76,2e-05,8.2224714937,0.0224680152
