n_cycles,hysteresis_area,stiffness,creep
1,0.59366,,
2,0.52358,4.1178342173,0.839546105
3,0.45118,4.1755915919,0.8782140355
4,0.41135,4.2092289286,0.9011203365
5,0.3942,4.2279617706,0.914482036
6,0.38559,4.2447304358,0.921726256
7,0.38391,4.2408573188,0.9292773755
8,0.37529,4.2485504772,0.9375656375
9,0.36837,4.2530050452,0.9430948555
10,0.37233,4.2544259793,0.9485299085
11,0.36811,4.2526972315,0.9545475475
12,0.36762,4.2510051656,0.9624362285
13,0.36747,4.2499925101,0.968029519
14,0.36645,4.2553961878,0.973701099
15,0.36317,4.2524841835,0.9795887455
16,0.36342,4.2497690665,0.9849147755
17,0.36593,4.2476454729,0.9907680215
18,0.36553,4.2521473326,0.996604009
19,0.36761,4.2416156073,1.00224535
20,0.367,4.2388241734,1.0062619985
21,0.36754,4.2386139083,1.01158896
22,0.36929,4.2401587648,1.0149994635
23,0.37048,4.2357537009,1.0199641985
24,0.36961,4.2327712984,1.025157282
25,0.36873,4.2277020883,1.029090141
26,0.37242,4.2297470919,1.0321069275
27,0.37402,4.2220863217,1.0350004015
28,0.37368,4.2226912637,1.041543495
29,0.37761,4.2183440194,1.045366138
30,0.37771,4.2190841181,1.0484106605
31,0.37639,4.214395937,1.053444663
32,0.3761,4.2161983705,1.053163607
33,0.37883,4.2111279107,1.0583198165
34,0.38098,4.2128454485,1.061096962
35,0.38275,4.2047168485,1.0646106675
36,0.38385,4.2013286462,1.069888851
37,0.38438,4.2005868428,1.0729838395
38,0.38542,4.2018582645,1.074754109
39,0.38683,4.1952992864,1.077886118
40,0.39147,4.1909548595,1.0812983385
41,0.38773,4.1899433776,1.084582502
42,0.39153,4.1921229721,1.0870031545
43,0.39338,4.1848637735,1.089904836
44,0.39038,4.1835450821,1.090314443
45,0.39424,4.1814676748,1.0956991755
46,0.3951,4.186543267,1.097161905
47,0.39648,4.178139556,1.099903864
48,0.39893,4.1745501836,1.1027296715
49,0.40003,4.1707541394,1.10730101
50,0.40146,4.1744180688,1.1103258005
51,0.40232,4.1685275382,1.1116234815
52,0.40415,4.1645831239,1.1135487
53,0.40472,4.1636824899,1.116973319
54,0.40539,4.1677051102,1.1186797055
55,0.41143,4.1592002563,1.1212707035
56,0.40667,4.1589492975,1.122715359
57,0.41106,4.1566741181,1.126221963
58,0.41292,4.1557906387,1.130450895
59,0.41472,4.1487329698,1.1323137155
60,0.41356,4.1438064976,1.136230829
61,0.41562,4.1450144507,1.1387105915
62,0.4141,4.1525063389,1.138380059
63,0.41871,4.1394359269,1.1395737235
64,0.4183,4.1399216547,1.144079695
65,0.42088,4.1383217759,1.1454200725
66,0.42105,4.1399795328,1.147079136
67,0.42034,4.1339763146,1.151885139
68,0.42007,4.1338748951,1.1526504825
69,0.42255,4.1362679351,1.154212834
70,0.42462,4.1304714403,1.158366009
71,0.42556,4.1273504455,1.158245432
72,0.4274,4.1235049887,1.162112283
73,0.42643,4.1291822107,1.1639600565
74,0.43006,4.1180088837,1.166216127
75,0.42619,4.1210467093,1.169933588
76,0.42548,4.1185223827,1.1705750365
77,0.42047,4.1331288459,1.167602284
78,0.42812,4.1165227987,1.173521916
79,0.43102,4.1145556786,1.1764685335
80,0.43094,4.1128928031,1.178837032
81,0.43167,4.1181025153,1.1809035205
82,0.43592,4.1082388743,1.179746003
83,0.42881,4.112051822,1.178030478
84,0.43544,4.102374021,1.185056055
