n_cycles,hysteresis_area,stiffness,creep
1,0.00155,,
2,0.00022,4087.6134542743,0.0157299255
3,0.00042,4561.6637551547,0.016440852
4,0.00046,4909.5418804376,0.0170829939
5,0.00043,5480.9260685532,0.0176336885
6,0.00046,5734.7478361701,0.0181341624
7,0.00044,5957.3085156184,0.0186074452
8,0.00044,6269.9421659402,0.0190186081
9,0.00043,6542.7166569131,0.0193998814
10,0.0004,6700.6258595377,0.0197460497
11,0.00043,6705.3034327477,0.0200891773
12,0.00043,6984.2325353145,0.020405899
13,0.00041,7159.1881247609,0.0207074867
14,0.00039,7284.7104875674,0.0209832448
15,0.00041,7424.1950892881,0.0212453109
16,0.00039,7542.0787110685,0.0214958323
17,0.00043,7704.3397957244,0.0217252506
18,0.00042,7778.8921849039,0.0219508591
19,0.00042,7819.5673875622,0.0221802264
20,0.00041,7906.4851840541,0.0223924828
21,0.00039,7996.7250463259,0.0226094824
22,0.00044,8058.6043518238,0.0227987759
23,0.00044,8092.735692068,0.0229938436
24,0.00042,8151.0334915623,0.0231870348
25,0.00042,8216.4853088594,0.0233793609
26,0.00045,8253.5137245052,0.0235703716
27,0.00041,8350.5233256285,0.023743973
28,0.00039,8400.138801849,0.0239240493
29,0.00033,8465.0983887998,0.0240993533
30,0.00034,8443.6278040718,0.02428117
31,0.00032,8518.1718858485,0.0244490053
32,0.0003,8574.6526895965,0.0246073083
33,0.00037,8530.2728304018,0.0247757685
34,0.00033,8579.740449503,0.0249464909
35,0.00037,8670.4497257695,0.0250918194
36,0.00037,8770.9721220404,0.0252515369
37,0.0004,8722.0266999357,0.0254083439
38,0.00042,8767.3708614033,0.0255742634
39,0.00042,8737.4795335054,0.0257295615
40,0.0004,8767.2796814181,0.025880881
41,0.00044,8831.5423476503,0.0260362664
42,0.00046,8811.2721696185,0.0261918714
43,0.00046,8805.775379054,0.0263501424
44,0.00046,8789.8605625595,0.0264938048
45,0.00049,8886.5354510234,0.0266312141
46,0.00055,8901.3479463296,0.0267835567
47,0.00054,8836.8114986403,0.0269417782
48,0.00056,8924.3752256738,0.0270820587
49,0.00054,8944.8568970449,0.0272122037
50,0.0006,8936.5227491315,0.0273723359
51,0.00056,8946.1986061773,0.0275211598
52,0.00062,8930.8565200313,0.0276649152
53,0.00063,8935.885829808,0.027821082
54,0.00059,9019.6313264908,0.0279446031
55,0.00064,9001.8731907551,0.0280976223
56,0.00068,9011.1294517885,0.0282387016
57,0.00071,9027.4742867422,0.0283827598
58,0.00069,9032.5799795028,0.0285196744
59,0.0007,9087.5249355491,0.0286601586
60,0.00069,9112.5239162078,0.0287831412
61,0.00078,9088.5518131939,0.0289215634
62,0.00078,9109.168792079,0.0290628188
63,0.00081,9165.1757609093,0.0291673146
64,0.00074,9157.9962387595,0.0293143225
65,0.00075,9146.8420720078,0.0294463083
66,0.00073,9191.0177883647,0.0295709251
67,0.00083,9159.6982763357,0.029694126
68,0.0008,9160.9519343538,0.0298252096
69,0.00081,9168.811662934,0.0299479318
70,0.00083,9210.0272274004,0.0300711486
71,0.0007,9312.7021560429,0.0301776003
72,0.00083,9182.0178658265,0.0303120891
73,0.00079,9181.8830872058,0.0304374233
74,0.00068,9293.7212862869,0.030533885
75,0.00066,9340.5774231181,0.0306411806
76,0.00068,9352.2135158939,0.0307480164
77,0.00064,9295.6050569303,0.0308658608
78,0.00068,9341.9955816941,0.0309796233
79,0.00069,9265.6411476895,0.0310872114
80,0.00067,9355.0271208602,0.031203941
81,0.00067,9369.9825931634,0.0313055818
82,0.00069,9377.3579366447,0.0314104458
83,0.00069,9377.4761782963,0.0315147961
84,0.00074,9361.1221344174,0.0316308215
85,0.00072,9413.1937182179,0.0317364756
86,0.00067,9398.5143856333,0.0318327307
87,0.00073,9417.2065811079,0.0319456143
88,0.00076,9358.1722407825,0.032053933
89,0.00071,9441.0195829626,0.0321563028
90,0.00072,9462.1428182888,0.0322374792
91,0.00074,9465.9777225498,0.0323419721
92,0.00078,9431.1036548322,0.0324460489
93,0.00073,9461.5271101857,0.0325364774
94,0.00075,9473.6002094702,0.0326403926
95,0.00072,9455.3998412689,0.0327264512
96,0.00076,9510.2096549203,0.0328226932
97,0.00075,9411.3826593974,0.0329383271
98,0.00073,9512.8410642538,0.0330040159
99,0.00081,9538.8114042696,0.0330790484
100,0.30579,9551.1273930851,0.033174995
500,0.60228,10480.1975485069,0.0470281448
1000,0.55228,10716.3066896881,0.0520479487
1500,0.51638,10912.944380136,0.0545153947
2000,0.50151,10994.032329667,0.056122648
2500,0.38655,11123.2936558415,0.0572970574
3000,0.40572,11157.2811319204,0.0582263368
3500,0.39523,11164.6405861064,0.0589978881
4000,0.40812,11224.4671972534,0.0596771075
4500,0.36815,11325.3231801988,0.0602785702
5000,0.42299,11292.1677790962,0.0608236267
5500,0.38216,11365.6382041115,0.0612873671
