n_cycles,hysteresis_area,stiffness,creep
1,0.07376,,
2,0.07842,4831.6402986902,0.0161914148
3,0.07134,5260.3943738778,0.0185930185
4,0.06848,5431.8240481485,0.0206575933
5,0.06601,5565.2838250675,0.0225668431
6,0.06366,5695.3694304285,0.0243236835
7,0.06135,5806.1570764238,0.0259768007
8,0.05827,5957.5498333951,0.0275015656
9,0.05643,6084.2721532716,0.0289164891
10,0.05427,6230.359724327,0.0301873602
11,0.05337,6368.1668915395,0.0313712342
12,0.05187,6480.3159204454,0.0324691122
13,0.04992,6606.9314653522,0.0334601602
14,0.04845,6709.1440792082,0.0343743421
15,0.04664,6811.9051133199,0.0352273637
16,0.04514,6907.8858915745,0.0360009813
17,0.0442,6988.5054346357,0.036725773
18,0.04306,7070.9376437719,0.0373881267
19,0.0422,7127.3770016042,0.0380159763
20,0.04118,7230.7511063893,0.0386095155
21,0.04094,7274.5055222222,0.0391600886
22,0.04002,7329.1001603793,0.0396861797
23,0.03896,7392.4602468597,0.0401653844
24,0.03854,7435.3255634019,0.0406131148
25,0.03794,7486.2173593246,0.04105837
26,0.03732,7522.9929530346,0.0414581853
27,0.03669,7564.2485439945,0.0418556025
28,0.03661,7585.5027914238,0.0422308847
29,0.03627,7652.562747871,0.0426017636
30,0.03627,7662.0892499015,0.0429478299
31,0.0359,7692.3847110449,0.0432893459
32,0.03569,7716.8927382966,0.0435946306
33,0.03501,7748.0730356811,0.0439037409
34,0.03497,7771.0359088761,0.0441915108
35,0.03451,7793.0515775531,0.0444872625
36,0.03436,7815.4483466555,0.0447668412
37,0.03425,7833.0012095591,0.0450468186
38,0.03425,7876.6633078925,0.0453097455
39,0.0343,7870.538702442,0.0455708185
40,0.03392,7900.3144108686,0.045829844
41,0.03351,7924.4959484653,0.0460677533
42,0.03334,7939.0845857143,0.0462938173
43,0.03324,7958.1416796108,0.0465230944
44,0.03293,7971.1143152166,0.0467348786
45,0.03274,7993.2496543634,0.0469437335
46,0.03269,8007.7550108709,0.0471597989
47,0.03226,8049.8499511891,0.0473592736
