n_cycles,hysteresis_area,stiffness,creep
1,0.0071,,
2,0.00423,1014.9062071357,0.0250050041
3,0.00377,1060.1495331887,0.0285775051
4,0.00384,1184.9278290759,0.0320265302
5,0.00394,1399.0098389717,0.0352310119
6,0.00361,1530.3267525775,0.0380993923
7,0.00356,1819.3789353071,0.0406287698
8,0.00393,2023.1233704877,0.0428433021
9,0.00337,2499.4653019061,0.0447181694
10,0.00245,2988.5127303198,0.0462687865
11,0.00247,3299.1908174586,0.0475659152
12,0.00235,3941.0753792546,0.0486334553
13,0.00218,4507.0190382377,0.0495043787
14,0.00202,5200.2935958149,0.0502258103
15,0.00189,5634.3990074597,0.0508297991
16,0.00182,6221.4325412153,0.0513321778
17,0.00158,6632.8292473055,0.0517688692
18,0.00151,6967.1126066402,0.0521613518
19,0.00148,7286.4417885568,0.0525115116
20,0.00144,7416.792236429,0.0528297562
21,0.0014,7717.3603784998,0.0531115802
22,0.00133,7887.9980320541,0.0533657265
23,0.00136,8041.0546869294,0.0536165695
24,0.00118,8196.7877345375,0.0538538647
25,0.00118,8297.1226897123,0.0540682726
26,0.00117,8387.391520918,0.0542853086
27,0.00118,8419.9370778664,0.0545058778
28,0.00116,8507.4034292683,0.0547219592
29,0.00112,8606.5394575694,0.0549146091
30,0.00119,8556.052087594,0.0551110628
31,0.00112,8663.3961633468,0.0553115067
32,0.00107,8721.01840316,0.0554864819
33,0.0011,8760.6851368956,0.0556573708
34,0.00109,8808.7715332478,0.0558510597
35,0.00113,8838.4114418188,0.0560292712
36,0.00116,8819.8101868288,0.0562032103
37,0.00111,8912.1568263331,0.0563816371
38,0.0011,8869.1990734176,0.0565653929
39,0.00105,8970.4587135609,0.0567226583
40,0.00106,8983.5934414921,0.0568928313
41,0.00112,8971.5771769459,0.0570601813
42,0.00106,8961.1941513745,0.0572320219
43,0.001,9028.8842483012,0.0573934463
44,0.00111,9072.7945146524,0.0575435726
45,0.00107,9051.0979611604,0.0577077502
46,0.00101,9104.1603005025,0.0578436797
47,0.00104,9185.3832408332,0.0579991785
48,0.00111,9176.9568194701,0.0581489177
49,0.00111,9176.762825646,0.0583033834
50,0.00099,9194.7685608072,0.0584521971
51,0.00096,9280.510698914,0.0585858797
52,0.00097,9296.9441495588,0.0587183022
53,0.00103,9304.7727491333,0.0588548166
54,0.0011,9348.6692008764,0.058985065
55,0.00105,9302.6656785697,0.0591291318
56,0.00103,9381.3901578272,0.0592493074
57,0.001,9339.6819396893,0.0593838427
58,0.00101,9389.7321221637,0.0595102814
59,0.001,9368.4717887636,0.0596319325
60,0.00099,9412.636710588,0.059751852
61,0.00102,9379.6380094273,0.0598754443
62,0.00102,9471.058356363,0.0599838793
