Crack_length,Load,u,N_cycles,Specimen_name
32.4628,111.920387,2.074343,6006,
32.4628,111.008804,2.072059,7001,
32.4628,111.026783,2.06994,7002,
32.4628,110.787684,2.06834,7003,
32.4628,111.065694,2.073795,7004,
32.4628,111.041006,2.068783,7005,
32.4628,111.013098,2.074501,7006,
32.6058,110.275405,2.071916,8001,
32.6058,110.244277,2.071405,8002,
32.6058,110.258231,2.069121,8003,
32.6058,110.233543,2.068933,8004,
32.6058,110.305192,2.066762,8005,
32.6058,110.255548,2.068723,8006,
32.7488,109.576624,2.068227,9001,
32.7488,109.579844,2.070399,9002,
32.7488,109.747026,2.070947,9003,
32.7488,109.747562,2.073179,9004,
32.7488,109.763395,2.070075,9005,
32.7488,109.705431,2.06861,9006,
32.7488,107.976725,2.065988,10001,
32.7488,108.376566,2.069737,10002,
32.7488,108.268421,2.072675,10003,
32.7488,108.549383,2.072284,10004,
32.7488,108.656186,2.067611,10005,
32.7488,108.571656,2.074216,10006,
32.8918,107.704082,2.071736,11001,
32.8918,107.487525,2.072532,11002,
32.8918,107.39065,2.072292,11003,
32.8918,107.581983,2.075155,11004,
32.8918,107.604525,2.071864,11005,
32.8918,107.588692,2.070151,11006,
32.8918,107.363279,2.072916,12001,
32.8918,107.18429,2.071285,12002,
32.8918,107.005301,2.068843,12003,
32.8918,107.347983,2.072938,12004,
32.8918,107.08178,2.074982,12005,
32.8918,107.345299,2.070489,12006,
33.0348,106.21367,2.073134,13001,
33.0348,106.467261,2.075132,13002,
33.0348,106.438279,2.07275,13003,
33.0348,106.425398,2.075275,13004,
33.0348,106.210719,2.077687,13005,
33.0348,106.205352,2.073389,13006,
33.0348,105.339389,2.071345,14001,
33.0348,105.292964,2.07541,14002,
33.0348,105.331875,2.073239,14003,
33.0348,105.513011,2.075756,14004,
33.0348,105.536089,2.071961,14005,
33.0348,105.318457,2.070699,14006,
33.1778,104.590694,2.071924,15001,
33.1778,104.834355,2.072525,15002,
33.1778,104.933644,2.074058,15003,
33.1778,104.649999,2.063178,15004,
33.1778,104.646242,2.074741,15005,
33.1778,104.81074,2.075711,15006,
33.1778,104.228691,2.071526,16001,
33.1778,104.317246,2.073802,16002,
33.1778,104.063656,2.069467,16003,
33.3208,104.309196,2.076725,16004,
33.3208,104.380577,2.076319,16005,
33.3208,104.203466,2.075095,16006,
33.3208,103.828851,2.070098,17001,
33.3208,103.762568,2.074832,17002,
33.3208,103.870981,2.072217,17003,
33.3208,103.772766,2.069888,17004,
33.3208,103.686625,2.071022,17005,
33.3208,103.736002,2.077446,17006,
33.4638,103.205475,2.070075,18001,
33.4638,103.114236,2.070526,18002,
33.4638,103.318182,2.074636,18003,
33.4638,103.291347,2.073149,18004,
33.4638,103.223455,2.074403,18005,
33.4638,103.092769,2.076387,18006,
33.4638,102.89902,2.074291,19001,
33.4638,102.898484,2.072322,19002,
33.4638,102.619669,2.071518,19003,
33.6068,102.588004,2.075839,19004,
33.6068,102.844545,2.073269,19005,
33.6068,102.784435,2.074576,19006,
33.6068,102.292014,2.074463,20001,
33.6068,102.371982,2.072082,20002,
33.6068,102.46832,2.074636,20003,
33.6068,102.216608,2.073825,20004,
33.6068,102.337365,2.071015,20005,
33.6068,102.216608,2.073314,20006,
33.7499,101.726603,2.071225,21001,
33.7499,101.839309,2.071668,21002,
33.7499,101.696816,2.076297,21003,
33.7499,101.731433,2.07245,21004,
33.7499,101.821867,2.079084,21005,
33.7499,101.673469,2.078311,21006,
33.7499,101.291608,2.075643,22001,
33.7499,101.144285,2.072352,22002,
33.7499,101.019502,2.074253,22003,
33.7499,101.331056,2.076244,22004,
33.7499,101.089541,2.073291,22005,
33.7499,101.201711,2.069114,22006,
33.8929,100.815289,2.077168,23001,
33.8929,100.753837,2.074418,23002,
33.8929,100.875935,2.073412,23003,
33.8929,100.830048,2.073479,23004,
33.8929,100.865201,2.064019,23005,
33.8929,100.987837,2.074185,23006,
33.8929,100.573238,2.066469,24001,
33.8929,100.563577,2.075425,24002,
33.8929,100.89955,2.074351,24003,
33.8929,100.740151,2.07372,24004,
33.8929,100.640593,2.073599,24005,
33.8929,100.370365,2.069129,24006,
34.0359,100.46885,2.077221,25001,
34.0359,100.419473,2.074268,25002,
34.0359,100.336017,2.071901,25003,
34.0359,100.522788,2.076612,25004,
34.0359,100.449797,2.071834,25005,
34.0359,100.534059,2.072104,25006,
34.0359,100.239679,2.072713,26001,
34.0359,100.045663,2.075996,26002,
34.1789,100.129925,2.074772,26003,
34.1789,100.039759,2.077266,26004,
34.1789,99.919807,2.077672,26005,
34.1789,100.076791,2.078311,26006,
34.1789,99.481593,2.0778,27001,
34.1789,99.746722,2.080159,27002,
34.1789,99.710226,2.074764,27003,
34.1789,99.600203,2.070722,27004,
34.1789,99.775972,2.07372,27005,
34.1789,99.718277,2.073344,27006,
