stress_ratio,cycles_to_failure,stress_max,s
0.1,1,124.39952897184061,60.12679350825758
0.1,51,87.51345415040225,41.67119273090092
0.1,101,82.31733545504991,39.10449183435676
0.1,151,79.40362061874366,37.66910761760205
0.1,201,77.39389885726547,36.68072155011066
0.1,251,75.86794329791391,35.93117303405103
0.1,301,74.64237049234164,35.32975368211079
0.1,351,73.62095282737633,34.82891747637206
0.1,401,72.7470366902171,34.40069646744999
0.1,451,71.98451071584682,34.02727685116158
0.1,501,71.3089745716103,33.69662955042392
0.1,551,70.70318614550047,33.40025915950003
0.1,601,70.15452142948679,33.131948774589034
0.1,651,69.65346711828501,32.88701552043832
0.1,701,69.19268053303125,32.661846485801725
0.1,751,68.76637890379781,32.45359737460214
0.1,801,68.36992879732732,32.25998999504479
0.1,851,67.99956193728018,32.07917214135634
0.1,901,67.6521735068975,31.909618177864328
0.1,951,67.32517582915155,31.750056941035663
0.1,1000,67.02239984342589,31.602349876350516
0.1,10000,54.50684237836949,25.527243779999143
0.1,20000,51.21626810174917,23.940351030062015
0.1,30000,49.383820342284714,23.058621622793115
0.1,40000,48.12338192590647,22.452967687891235
0.1,50000,47.16779864146425,21.99426181371471
0.1,60000,46.40106466597617,21.62649991434549
0.1,70000,45.762485427681355,21.320406690538324
0.1,80000,45.21639691316626,21.058792422429615
0.1,90000,44.74009857332466,20.830722269417567
0.1,100000,44.318268033965886,20.628819297283787
0.1,110000,43.94008703021978,20.44787745288671
0.1,120000,43.59764019795848,20.284089196155602
0.1,130000,43.2849659411692,20.134587868282885
0.1,140000,42.99746506706334,19.997162670670562
0.1,150000,42.7315169069994,19.87007371102427
0.1,160000,42.48422141323186,19.751927784808927
0.1,170000,42.25322075114888,19.641592470971936
0.1,180000,42.03657273638849,19.538135207984496
0.1,190000,41.832659060523085,19.440779127476652
0.1,200000,41.64011744816626,19.348870412697444
0.1,210000,41.45779064154475,19.261853758784852
0.1,220000,41.28468744992658,19.17925364053278
0.1,230000,41.11995260111978,19.100659816202437
0.1,240000,40.96284311598848,19.02571596994688
0.1,250000,40.81270958599844,18.95411071292978
0.1,260000,40.66898118389442,18.88557038001374
0.1,270000,40.53115355037756,18.819853209515383
0.1,280000,40.398778920464764,18.75674459984491
0.1,290000,40.27145801138576,18.696053212995285
0.1,300000,40.148833308699004,18.63760775011562
0.1,310000,40.03058347169715,18.58125426501717
0.1,320000,39.91641864190344,18.526853911645546
0.1,330000,39.806076485586914,18.474281044226608
0.1,340000,39.69931883697887,18.423421605993273
0.1,350000,39.59592883624798,18.37417175556781
0.1,360000,39.49570847743412,18.326436690242197
0.1,370000,39.398476497999155,18.28012963331344
0.1,380000,39.3040665545646,18.235170958838957
0.1,390000,39.21232563960521,18.19148743208024
0.1,400000,39.123112701980354,18.149011547803056
0.1,410000,39.03629744067769,18.107680951723026
0.1,420000,38.9517592463719,18.067437932898155
0.1,430000,38.86938626963499,18.028228976904416
0.1,440000,38.789074598081136,17.990004371286492
0.1,450000,38.71072752755024,17.952717856131255
0.1,460000,38.63425491475311,17.91632631372552
0.1,470000,38.559572600718184,17.880789492180437
0.1,480000,38.48660189596911,17.846069758668236
0.1,490000,38.415269119687764,17.81213187855381
0.1,500000,38.34550518622608,17.778942817235645
0.1,510000,38.27724523326078,17.746471561958
0.1,520000,38.210428286670506,17.71468896123302
0.1,530000,38.144996957878526,17.68356757983025
0.1,540000,38.08089716996799,17.65308156756174
0.1,550000,38.01807790935727,17.623206540321416
0.1,560000,37.95649100023224,17.59391947203411
0.1,570000,37.89609089928469,17.565198596338526
0.1,580000,37.83683450860726,17.537023316973215
0.1,590000,37.77868100485658,17.509374125959745
0.1,600000,37.72159168302008,17.482232528784905
0.1,610000,37.66552981331791,17.45558097587761
0.1,620000,37.61046050993987,17.429402799757145
0.1,630000,37.556350610464946,17.403682157300167
0.1,640000,37.503168564939685,17.378403976635592
0.1,650000,37.45088433370397,17.353553908230424
0.1,660000,37.399469293151384,17.329118279776882
0.1,670000,37.34889614869799,17.305084054532678
0.1,680000,37.29913885430961,17.28143879280298
0.1,690000,37.25017253800486,17.25817061628467
0.1,700000,37.20197343281061,17.235268175022156
0.1,710000,37.15451881269922,17.21272061674912
0.1,720000,37.10778693308335,17.19051755841292
0.1,730000,37.06175697548595,17.16864905969846
0.1,740000,37.01640899603951,17.14710559838567
0.1,750000,36.97172387750169,17.125878047390813
0.1,760000,36.92768328450422,17.10495765335582
0.1,770000,36.88426962177725,17.084336016662302
0.1,780000,36.84146599511599,17.06400507275838
0.1,790000,36.79925617487673,17.043957074696465
0.1,800000,36.757624561808676,17.024184576789178
0.1,810000,36.71655615504496,17.004680419298865
0.1,820000,36.676036522091586,16.985437714083425
0.1,830000,36.636051770666946,16.96644983112791
0.1,840000,36.59658852225693,16.947710385897235
0.1,850000,36.55763388726217,16.92921322745085
0.1,860000,36.5191754416238,16.910952427265045
0.1,870000,36.48120120482422,16.89292226871319
0.1,880000,36.44369961916656,16.87511723715794
0.1,890000,36.40665953024542,16.857532010613422
0.1,900000,36.37007016852756,16.840161450938552
0.1,910000,36.33392113196812,16.823000595525805
0.1,920000,36.298202369593206,16.806044649452343
0.1,930000,36.262904165985546,16.789288978063173
0.1,940000,36.22801712661415,16.772729099958127
0.1,950000,36.19353216395387,16.756360680356675
0.1,960000,36.15944048434431,16.740179524816437
0.1,970000,36.12573357554151,16.724181573283072
0.1,980000,36.09240319491921,16.708362894450904
