stress_ratio,cycles_to_failure,stress_max,stress_lowerbound,stress_upperbound
-1.0,1,142.93592397421847,164.46059037612025,130.51783482711332
-1.0,51,125.2313018032113,140.24507948630412,116.50377890166779
-1.0,101,122.1544924823742,136.04547284873937,114.05963531555466
-1.0,151,120.34360881718239,133.57570505020664,112.619164454124
-1.0,201,119.05566619437987,131.8201797769053,111.5936369561732
-1.0,251,118.0553555693509,130.45737144919326,110.79647589814
-1.0,301,117.23737058856277,129.34342985935854,110.14414362034434
-1.0,351,116.5453829370233,128.40142721022264,109.59193826524584
-1.0,401,115.94570815823286,127.58536959341822,109.11311893964714
-1.0,451,115.4165906508397,126.86555637705438,108.69040943473333
-1.0,501,114.94316120019276,126.22169141080218,108.31199882565818
-1.0,551,114.51480603104608,125.63928923615362,107.96945426033214
-1.0,601,114.1236834724004,125.10764915022786,107.65654393200576
-1.0,651,113.7638354431573,124.61864181353528,107.3685319036753
-1.0,701,113.43062866128518,124.16594622304402,107.10173453872021
-1.0,751,113.12038883711517,123.74455025411874,106.8532300730412
-1.0,801,112.83015301363811,123.35041254742545,106.62066195689188
-1.0,851,112.55749702868499,122.98022697559358,106.40210182753529
-1.0,901,112.3004123121829,122.63125447195175,106.19595164898885
-1.0,951,112.05721600221439,122.30120034918833,106.00087230709177
-1.0,1000,111.83098477084413,121.9942294007301,105.81934246226385
-1.0,10000,101.46267170305268,108.02089803965778,97.40438937658963
-1.0,20000,98.34149846521262,103.88060673946728,94.80513550685207
-1.0,30000,96.51572916282174,101.48627708812494,93.25708396187007
-1.0,40000,95.22032522737256,99.80454363475125,92.14165344163999
-1.0,50000,94.2155318731013,98.5122963413422,91.26425179808678
-1.0,60000,93.39455592498169,97.46585154136893,90.53796433869796
-1.0,70000,92.70043065120791,96.58866512797127,89.91632698304898
-1.0,80000,92.0991519895325,95.83509714895227,89.37155475751086
-1.0,90000,91.56878662259082,95.17573645159712,88.88569823214546
-1.0,100000,91.09435863526123,94.59051780437524,88.44648516512564
-1.0,110000,90.66518631682422,94.06514012464801,88.04515163551591
-1.0,120000,90.27338268714163,93.58905134953454,87.67521936060427
-1.0,130000,89.91295828655029,93.15424350207819,87.33176328516137
-1.0,140000,89.57925741336786,92.7544960269257,87.01095091416644
-1.0,150000,89.26858933287036,92.38488107332489,86.70974069985166
-1.0,160000,88.97797875169243,92.04142892181633,86.42567781471874
-1.0,170000,88.70499207227643,91.72089511139258,86.15675185584558
-1.0,180000,88.44761338475075,91.42059428486378,85.9012952289507
-1.0,190000,88.20415403180809,91.13827904997511,85.65790901083896
-1.0,200000,87.97318539742116,90.87204996789146,85.42540783168131
-1.0,210000,87.75348811097699,90.62028753625258,85.20277820851526
-1.0,220000,87.54401307898416,90.38160001516167,84.98914657507412
-1.0,230000,87.34385118609609,90.15478286292236,84.78375442151055
-1.0,240000,87.15220944930157,89.93878681210066,84.58593872811005
-1.0,250000,86.9683920431499,89.73269246665426,84.39511639595625
-1.0,260000,86.79178504871024,89.53568988373397,84.21077173357749
-1.0,270000,86.6218440823599,89.34706201030689,84.03244630718328
-1.0,280000,86.4580841755278,89.16617113280257,83.85973063836147
-1.0,290000,86.30007143112488,88.99244770502689,83.69225735990607
-1.0,300000,86.14741609503031,88.82538107039287,83.52969553285558
-1.0,310000,85.9997667640672,88.66451170570309,83.37174589600089
-1.0,320000,85.85680551385238,88.50942469662596,83.218136869981
-1.0,330000,85.71824377659331,88.35974421748047,83.06862117643102
-1.0,340000,85.58381883443636,88.21512883547948,82.92297296183057
-1.0,350000,85.45329082125653,88.07526749608627,82.78098533811553
-1.0,360000,85.3264401469107,87.93987607440529,82.64246826948111
-1.0,370000,85.20306527447578,87.80869439959804,82.50724674835915
-1.0,380000,85.08298079396803,87.68148367667384,82.3751592142121
-1.0,390000,84.96601574631936,87.55802424375398,82.24605617723317
-1.0,400000,84.85201215958111,87.43811361387132,82.11979901577338
-1.0,410000,84.74082376590235,87.32156475916986,81.99625892171518
-1.0,420000,84.63231487313692,87.20820460246489,81.87531597237485
-1.0,430000,84.52635936924173,87.09787268689698,81.75685831104688
-1.0,440000,84.42283984114411,86.99041999911387,81.64078142119384
-1.0,450000,84.32164679263943,86.88570792527804,81.52698748164609
-1.0,460000,84.22267794825603,86.78360732237752,81.41538479212728
-1.0,470000,84.12583763199169,86.68399768995465,81.30588726003235
