cycles_to_failure,stress_amplitude,stress_mean
1000,0.0,-27.1
1000,0.2354682468874465,-24.39
1000,0.6059322156797102,-23.157
1000,1.1767619741620179,-21.924
1000,1.9461777159151836,-20.691
1000,2.899335384856285,-19.458
1000,4.012087343044176,-18.224999999999998
1000,5.253831132284608,-16.991999999999997
1000,6.589775646182948,-15.758999999999997
1000,7.982793701882884,-14.525999999999996
1000,9.39495899185305,-13.292999999999996
1000,10.788829362596882,-12.059999999999995
1000,12.12851822307936,-10.826999999999995
1000,13.380583771990658,-9.593999999999994
1000,14.514758020377366,-8.360999999999994
1000,15.504532445293016,-7.127999999999993
1000,16.32761355258457,-5.8949999999999925
1000,16.966259087709286,-4.661999999999992
1000,17.40750377404697,-3.4289999999999914
1000,17.64328206758255,-2.195999999999991
1000,17.670454359185914,-0.9629999999999903
1000,17.490742241012374,0.27000000000001023
1000,17.110577820836536,1.5030000000000108
1000,16.540871575464923,2.7360000000000113
1000,15.796702852649313,3.969000000000012
1000,14.896936840061736,5.202000000000012
1000,13.863771606459881,6.435000000000013
1000,12.722218675957055,7.6680000000000135
1000,11.499520517607529,8.90100000000001
1000,10.224508319981696,10.134000000000015
1000,8.926903479529006,11.367000000000019
1000,7.636566373863496,12.600000000000016
1000,6.382696236662944,13.833000000000013
1000,5.192986332388991,15.066000000000017
1000,4.092739199731256,16.29900000000002
1000,3.1039475805800443,17.532000000000018
1000,2.244347927022004,18.765000000000015
1000,1.5264553524132298,19.99800000000002
1000,0.956592079295138,21.231000000000023
1000,0.5339269014539059,22.46400000000002
1000,0.24955336330510663,23.697000000000017
1000,0.08565575086452412,24.93000000000002
1000,0.0,27.7
10000,0.0,-27.1
10000,0.13754456052956746,-24.39
10000,0.39583706028317156,-23.157
10000,0.8300656487085305,-21.924
10000,1.4527937928582777,-20.691
10000,2.260539604010894,-19.458
10000,3.2368633300764613,-18.224999999999998
10000,4.355305937496589,-16.991999999999997
10000,5.58211779136473,-15.758999999999997
10000,6.878747819044229,-14.525999999999996
10000,8.20407896978198,-13.292999999999996
10000,9.516404422272393,-12.059999999999995
10000,10.77514432005945,-10.826999999999995
10000,11.942306361599263,-9.593999999999994
10000,12.983696088658027,-8.360999999999994
10000,13.869884604064053,-7.127999999999993
10000,14.576942936323812,-5.8949999999999925
10000,15.086953492471087,-4.661999999999992
10000,15.388310089662054,-3.4289999999999914
10000,15.475818989135497,-2.195999999999991
10000,15.350614214331692,-0.9629999999999903
