Machine_Displacement,Machine_Load,u--#,v--#,exx--#,eyy--# ,exy--#,Th_chamber,Specimen Name
0.014403,-28.852938,-0.000907513,-0.0129064,-0.000396318,0.000168357,0.000101429,50,S-0.25-50-002
0.005706,-20.429463,-0.00077044,-0.0143444,-0.000328285,0.000214308,6.79E-05,50,
0.030058,-18.045765,-0.00200782,-0.0164155,-0.00033679,0.000277006,1.11E-05,50,
0.021876,-12.891823,-0.00193813,-0.0183906,-0.000349232,0.000303323,-3.69E-05,50,
0.03998,-13.970929,-6.40E-05,-0.0202391,-0.000369228,0.000326983,-3.01E-05,50,
0.047131,-12.279792,0.00162459,-0.0218775,-0.000330932,0.000369688,-1.38E-06,50,
0.031927,-3.550302,0.000515139,-0.0234745,-0.000253323,0.000405733,7.96E-06,50,
0.045391,-3.856317,-0.00115595,-0.0254978,-0.0002384,0.000422094,1.66E-05,50,
0.039915,1.474792,0.00150062,-0.0272434,-0.000153714,0.000417546,1.71E-05,50,
0.066587,-2.69668,0.00285805,-0.0288747,-4.49E-05,0.000438082,6.52E-06,50,
0.047839,7.369614,0.000834712,-0.0307902,3.05E-05,0.000466082,3.28E-05,50,
0.055248,3.471945,-0.000693793,-0.0327186,-2.42E-05,0.000486573,7.74E-05,50,
0.050867,10.880737,-0.000479578,-0.0344508,-0.000118889,0.000518317,5.07E-05,50,
0.059629,14.858936,0.000927682,-0.0361969,-0.000209853,0.00055684,8.78E-05,50,
0.067811,16.276271,5.77E-05,-0.0378927,-0.000243835,0.000611704,0.000107726,50,
0.069357,20.62491,-0.00182394,-0.0398577,-0.000348389,0.000664267,0.000147507,50,
0.08134,24.297094,-0.000125172,-0.0417587,-0.000423945,0.000699165,0.00015567,50,
0.091906,27.228399,0.00176482,-0.043733,-0.000516982,0.00074708,0.000154089,50,
0.07406,34.84657,-3.83E-05,-0.0458119,-0.000589849,0.000815564,0.000158974,50,
0.073931,31.818629,-0.000903019,-0.0481811,-0.000597486,0.000885209,0.000157193,50,
0.082628,39.501225,-0.000121262,-0.0505318,-0.000570346,0.00095227,0.000208523,50,
0.088684,34.9271,0.00156388,-0.0532057,-0.000592708,0.00105414,0.000204909,50,
0.107045,43.060666,0.000960162,-0.055919,-0.000639698,0.00110483,0.00017886,50,
0.103566,46.877805,-0.000487142,-0.0586673,-0.00067547,0.00107566,0.00020049,50,
0.108656,45.782592,0.000734288,-0.0610757,-0.000652646,0.00111592,0.000207665,50,
0.10144,51.580778,0.00338538,-0.063599,-0.000663221,0.00118335,0.000187227,50,
0.123409,50.26008,0.00198882,-0.0661763,-0.000702693,0.00119227,0.000156924,50,
0.124826,57.862146,0.00162957,-0.0686505,-0.000760396,0.00119565,0.000172256,50,
0.115227,57.169585,0.00202075,-0.0709636,-0.000787113,0.0012276,0.000191184,50,
0.125149,61.582648,0.00360163,-0.0732336,-0.000810989,0.00125141,0.000190388,50,
0.126244,63.386528,0.00335106,-0.0752091,-0.000805082,0.00126674,0.000180435,50,
0.144927,65.560848,0.00209432,-0.0774038,-0.000775176,0.00125109,0.00016002,50,
0.138484,69.780639,0.00297002,-0.0794376,-0.000770431,0.0013243,0.00022642,50,
0.134297,73.307868,0.00546359,-0.0814714,-0.000772418,0.00134872,0.000245018,50,
0.167024,73.291762,0.00418498,-0.0832783,-0.000809961,0.0013449,0.000179139,50,
0.163545,83.229208,0.00470111,-0.0865894,-0.000978787,0.00133841,9.24E-05,50,
0.160131,81.441434,0.00596877,-0.0879361,-0.00094552,0.00138274,0.00010807,50,
0.155621,89.204561,0.00528564,-0.0891381,-0.00092823,0.00142549,0.000154519,50,
0.164512,89.591107,0.00366007,-0.0910345,-0.000929019,0.00147283,0.000200678,50,
0.163803,95.27655,0.004109,-0.092933,-0.000926854,0.00148471,0.000242258,50,
0.176301,92.441882,0.00663233,-0.0943846,-0.000927614,0.00150898,0.000291147,50,
0.16754,100.301645,0.00500246,-0.0958508,-0.000932877,0.00153826,0.000332782,50,
0.195242,99.657402,0.00363044,-0.0975693,-0.000957282,0.00158361,0.000332913,50,
0.173853,105.342845,0.00512378,-0.0994979,-0.0010055,0.00161393,0.000262645,50,
0.196917,101.445176,0.0066575,-0.100978,-0.00101235,0.00160087,0.000224776,50,
0.202587,111.962441,0.005717,-0.102205,-0.000977897,0.0015816,0.000226838,50,
0.1792,119.870523,0.00340055,-0.10371,-0.000948374,0.00168728,0.00020915,50,
0.200911,110.303516,0.0036356,-0.105685,-0.000972999,0.00182872,0.000188927,50,
0.176173,118.646461,0.00672688,-0.10732,-0.000953447,0.00189136,0.000195931,50,
0.202264,121.384494,0.00607362,-0.109209,-0.000990632,0.00191333,0.000204708,50,
0.193181,126.522331,0.00371242,-0.111335,-0.00103981,0.00196401,0.000198121,50,
0.215793,127.617544,0.00463135,-0.113455,-0.00110301,0.00202592,0.000184072,50,
0.205679,126.393482,0.00708217,-0.115169,-0.00115398,0.00205588,0.000155642,50,
0.225264,129.131515,0.0079687,-0.117005,-0.00115018,0.00207445,0.00016274,50,
0.213796,138.005961,0.00600451,-0.119147,-0.00116433,0.00209271,0.000167215,50,
0.246137,132.417154,0.00524428,-0.121237,-0.00116324,0.00212127,0.000176586,50,
0.247812,138.505249,0.00787734,-0.122904,-0.00118079,0.00218398,0.000179754,50,
0.225264,143.578662,0.00852873,-0.124685,-0.00112524,0.00222851,0.000157355,50,
0.236925,150.085516,0.00685196,-0.126782,-0.00110156,0.00226069,0.000153618,50,
0.229129,148.007832,0.00762958,-0.128878,-0.00111333,0.00227233,0.000158142,50,
0.256896,147.44412,0.00894082,-0.130399,-0.00116493,0.00228543,0.000167352,50,
0.24079,151.841078,0.00934208,-0.131805,-0.0011801,0.00231081,0.000181711,50,
0.247684,156.769536,0.00860565,-0.133442,-0.00131131,0.00235896,0.000201631,50,
0.235958,161.891268,0.00839376,-0.135515,-0.00123547,0.00240449,0.000237735,50,
0.247555,162.358344,0.00977992,-0.137431,-0.00130009,0.00245512,0.000259346,50,
0.277641,164.081694,0.00983319,-0.139034,-0.00132079,0.00249909,0.000277676,50,
0.271327,161.939586,0.00784785,-0.140855,-0.00138208,0.00253028,0.000294955,50,
0.267848,169.895987,0.0096417,-0.14308,-0.00141638,0.00257099,0.000282251,50,
0.252902,173.664808,0.0118157,-0.145169,-0.00133998,0.00261698,0.000278841,50,
0.297355,178.142296,0.012018,-0.146952,-0.00128393,0.00267532,0.000281474,50,
0.27049,182.990225,0.0109772,-0.148582,-0.00131177,0.00272911,0.000267569,50,
0.267913,181.766163,0.0112088,-0.150908,-0.00138863,0.00279154,0.000275553,50,
0.305408,181.089708,0.0134088,-0.153329,-0.00140813,0.00285324,0.000302859,50,
0.294649,187.210016,0.0141345,-0.155306,-0.00143046,0.00290533,0.000305359,50,
0.318937,186.163121,0.0110145,-0.157433,-0.00133008,0.00294679,0.000277468,50,
0.288915,191.494232,0.0113064,-0.159787,-0.0011733,0.00297947,0.000252283,50,
0.303733,193.539703,0.0128267,-0.161972,-0.00113341,0.00302444,0.000214543,50,
0.325315,191.075474,0.0132091,-0.164155,-0.0012405,0.00307316,0.000184039,50,
0.330275,196.003933,0.0121571,-0.166292,-0.00125595,0.00311372,0.000122164,50,
0.330147,197.421267,0.0120659,-0.168441,-0.00129249,0.00314486,0.000143645,50,
0.335172,201.947074,0.0130184,-0.170521,-0.00123621,0.00317784,0.000127606,50,
0.332659,201.206195,0.0138604,-0.172529,-0.00127692,0.00323294,0.000109939,50,
0.341936,209.388081,0.0115264,-0.174814,-0.00133588,0.0032659,6.06E-05,50,
0.328149,213.978312,0.0123166,-0.17709,-0.00134855,0.00332055,7.34E-05,50,
0.337298,213.785039,0.0139061,-0.179285,-0.00142002,0.0033184,9.97E-05,50,
