Machine_Displacement,Machine_Load,u--#,v--#,exx--#,eyy--# ,exy--#,Th_chamber,Specimen Name
0.228292,207.825792,0.00725312,-0.121638,-0.000347914,0.00387186,9.62E-06,20,
0.238664,212.915311,0.00988639,-0.122829,-0.000340873,0.00390888,2.83E-05,20,
0.239373,211.578507,0.00827146,-0.124221,-0.000328636,0.00394381,3.57E-05,20,
0.229516,217.038467,0.00532299,-0.12581,-0.00032517,0.00397825,3.70E-05,20,
0.236731,215.749981,0.00821464,-0.127306,-0.000364023,0.0040115,6.74E-05,20,
0.239051,219.921454,0.0112283,-0.128621,-0.00040629,0.00403502,9.40E-05,20,
0.249938,222.385684,0.0083435,-0.129886,-0.000464439,0.00407048,0.000102998,20,
0.253868,224.640534,0.00582889,-0.131419,-0.000483411,0.00410318,0.000108025,20,
0.252451,227.136976,0.00772937,-0.132852,-0.000507359,0.00413117,0.000123881,20,
0.249681,231.566147,0.0097964,-0.134051,-0.000507367,0.00415675,0.000129706,20,
0.263532,233.418345,0.00807795,-0.135249,-0.000459102,0.00418135,0.000132384,20,
0.265593,234.416922,0.00495978,-0.136662,-0.000426553,0.00421658,0.000135395,20,
0.260246,235.190014,0.00670849,-0.137976,-0.000433352,0.00424079,0.000148935,20,
0.25535,238.556183,0.00990656,-0.139108,-0.000418462,0.00427494,0.00015783,20,
0.255865,238.217956,0.00792358,-0.140393,-0.000365769,0.00430571,0.000168677,20,
0.258442,243.484643,0.00516249,-0.141967,-0.000324338,0.0043479,0.00015657,20,
0.259538,247.752753,0.00756006,-0.143353,-0.000319741,0.00437777,0.000148071,20,
0.273582,249.218406,0.010031,-0.144527,-0.000345158,0.00440723,0.000140617,20,
0.272938,253.422091,0.00878757,-0.145683,-0.000344679,0.00443786,0.000131466,20,
0.276739,259.188067,0.00645731,-0.147206,-0.000323068,0.00446885,0.000146227,20,
0.271327,256.047382,0.00779312,-0.14853,-0.000322357,0.00450099,0.000143776,20,
0.280798,261.410705,0.0109436,-0.149685,-0.000353721,0.00453625,0.000130297,20,
0.290783,256.208443,0.00973216,-0.150899,-0.000370188,0.00457467,0.000115184,20,
0.294133,266.11368,0.00692796,-0.152366,-0.000367381,0.00461579,0.000114881,20,
0.301285,267.531014,0.00955143,-0.153793,-0.000384973,0.00464543,0.000102479,20,
0.30515,262.666979,0.0126343,-0.154975,-0.000393402,0.00466091,0.000108293,20,
0.294327,272.990974,0.0112127,-0.15606,-0.000423558,0.00467394,0.000112576,20,
0.296002,269.18994,0.00926098,-0.157528,-0.000443944,0.00470585,0.000103603,20,
0.29568,272.298413,0.0107128,-0.159006,-0.000443797,0.00473993,0.000115146,20,
0.307469,279.723315,0.0130459,-0.160311,-0.000459239,0.00477063,0.000124504,20,
0.309466,281.849317,0.01202,-0.161762,-0.000478784,0.00479574,0.00011534,20,
0.302315,279.964906,0.0083829,-0.163301,-0.000493084,0.00481764,0.000112882,20,
0.321771,283.878682,0.00970074,-0.164986,-0.000530829,0.00483923,0.000120805,20,
0.313654,289.741295,0.0123488,-0.166356,-0.000526309,0.00485785,0.00010005,20,
0.309209,287.711929,0.0100439,-0.16763,-0.000515252,0.00488672,8.52E-05,20,
0.313783,290.546598,0.00708519,-0.16921,-0.000529716,0.00492329,6.73E-05,20,
0.317197,294.122148,0.00825024,-0.170794,-0.000535338,0.00494899,7.12E-05,20,
0.33092,295.42674,0.0104221,-0.172022,-0.000528059,0.00497132,7.19E-05,20,
0.333046,301.62758,0.00979084,-0.173401,-0.00053058,0.00500192,4.49E-05,20,
0.323704,305.042068,0.00641701,-0.174919,-0.000527455,0.00503583,4.05E-05,20,
0.324799,301.643686,0.00692528,-0.176428,-0.000530102,0.00506519,4.46E-05,20,
0.339037,303.157657,0.0104165,-0.177679,-0.000542005,0.00509193,6.04E-05,20,
0.34709,307.361343,0.0090528,-0.179034,-0.000570185,0.0051168,6.48E-05,20,
0.339424,312.289803,0.00584317,-0.180393,-0.000578168,0.00513993,5.52E-05,20,
0.344513,313.046789,0.00712008,-0.181839,-0.000597256,0.00516719,5.51E-05,20,
0.33588,315.67208,0.00990538,-0.183121,-0.000608459,0.00518072,5.94E-05,20,
0.356496,318.66781,0.00925931,-0.184189,-0.000607431,0.00519774,7.62E-05,20,
0.347283,323.902285,0.00643746,-0.185647,-0.00061875,0.00521725,7.55E-05,20,
0.356561,323.870073,0.00659867,-0.186892,-0.00065143,0.00524858,7.52E-05,20,
0.356689,322.195041,0.00985782,-0.187921,-0.000675363,0.00527369,8.75E-05,20,
0.375952,324.933074,0.00933794,-0.189098,-0.000668406,0.00528216,9.56E-05,20,
0.367835,325.496787,0.00600062,-0.190242,-0.000658511,0.00530933,9.39E-05,20,
0.366353,328.315351,0.00742418,-0.191582,-0.000675857,0.00534492,0.000116711,20,
0.364871,335.611405,0.0108298,-0.192655,-0.000686224,0.00536709,0.000119419,20,
0.375244,340.39491,0.00995919,-0.193568,-0.00071401,0.00539608,9.59E-05,20,
0.371571,337.962892,0.00706987,-0.194957,-0.000723767,0.00543304,0.000104963,20,
0.372344,335.91742,0.00698791,-0.196537,-0.00078624,0.00547471,8.98E-05,20,
0.380591,341.393487,0.010347,-0.197676,-0.000799057,0.00549752,9.78E-05,20,
0.378336,347.014508,0.0102769,-0.19878,-0.000812147,0.0055254,9.63E-05,20,
0.385745,349.784754,0.00602124,-0.200007,-0.000811144,0.00556667,8.16E-05,20,
0.374406,349.945815,0.00610341,-0.201359,-0.000829935,0.00559204,7.57E-05,20,
0.392252,357.998854,0.0103714,-0.202577,-0.000780197,0.00561912,5.98E-05,20,
0.385036,357.177444,0.00995854,-0.203708,-0.000772959,0.00565162,7.35E-05,20,
0.399338,359.255129,0.00705202,-0.205008,-0.000800937,0.00568339,7.65E-05,20,
0.405008,358.465931,0.00739184,-0.206455,-0.000854396,0.00571246,7.26E-05,20,
0.382588,361.864314,0.01081,-0.207697,-0.000833765,0.00574838,7.54E-05,20,
0.383103,366.986047,0.0112215,-0.208892,-0.000804702,0.00578659,4.72E-05,20,
0.409066,368.90267,0.00753841,-0.210332,-0.00080746,0.0058275,4.29E-05,20,
0.414736,369.418065,0.00641224,-0.211845,-0.000763996,0.00585209,3.11E-05,20,
0.406425,370.09452,0.0101585,-0.213329,-0.000711251,0.00590366,3.58E-05,20,
0.404428,372.462114,0.00947242,-0.214636,-0.000726809,0.00593761,5.08E-05,20,
0.415509,381.851959,0.0058913,-0.216237,-0.000774114,0.00598322,6.82E-05,20,
0.412932,381.127185,0.00596077,-0.217989,-0.000832981,0.0060123,3.86E-05,20,
0.414929,383.446461,0.00937825,-0.219559,-0.000880958,0.00603517,1.06E-05,20,
0.414607,385.105387,0.0096074,-0.220825,-0.000960069,0.00606028,2.42E-09,20,
0.434643,389.180225,0.00645361,-0.222443,-0.000981449,0.00609382,-9.76E-06,20,
0.42266,390.130484,0.00518085,-0.224045,-0.00100609,0.00613854,6.99E-07,20,
0.43213,391.435077,0.00915003,-0.225659,-0.000942541,0.00617188,-1.27E-06,20,
0.438895,390.742515,0.00963135,-0.227033,-0.000827033,0.00620284,1.49E-05,20,
0.435029,397.941933,0.00534835,-0.228534,-0.000870342,0.00623777,4.23E-05,20,
0.448494,398.666707,0.00463952,-0.230351,-0.000880904,0.00627153,6.65E-05,20,
0.438895,407.637794,0.00774038,-0.231981,-0.00083144,0.00630117,8.53E-05,20,
0.445917,405.737276,0.00767764,-0.233556,-0.000818296,0.00633032,9.50E-05,20,
0.45455,407.476733,0.00457601,-0.235184,-0.000833225,0.00634087,0.000101727,20,
0.444564,412.115284,0.00295018,-0.236931,-0.000792645,0.00636533,9.82E-05,20,
0.450491,414.43456,0.00569607,-0.238558,-0.00078087,0.00638551,8.96E-05,20,
0.441214,412.034754,0.00640685,-0.239969,-0.000746137,0.00641371,8.10E-05,20,
0.471365,422.117161,0.00243188,-0.24166,-0.000762164,0.00644001,9.22E-05,20,
0.468143,421.005841,0.00123846,-0.243286,-0.000772323,0.00646867,0.000100563,20,
0.465889,422.390964,0.00445958,-0.244929,-0.000757054,0.0065024,0.000104654,20,
0.455452,424.661922,0.00422458,-0.246387,-0.000780124,0.00653736,0.000107444,20,
0.463956,429.252155,0.000917492,-0.247939,-0.000819407,0.00656867,0.000109112,20,
0.465889,427.416062,-0.000320486,-0.249691,-0.000870222,0.00659173,0.000105292,20,
0.463763,432.795493,0.00193422,-0.251287,-0.000920152,0.00661663,0.00011198,20,
